rank	username	minecraft:picked_up/minecraft:acacia_stairs
1	beeperbeeper5	781
2	Meatlaugh	764
3	MisfitsMike	752
4	corvidpartyfor6	455
5	Caribouse	443
6	Yamdalorian	388
7	Werbe	333
8	Apollo_993	297
9	luseis	286
10	Hoid_the_Roamer	270
11	doublemaki	243
12	Merv__	213
13	fade_emerge78823	212
14	eitanzaki	207
15	ApophisNova	205
15	MyNamaSheff	205
17	Spaghettatron	193
18	IlkeCookes_	190
19	4774	187
20	FreakGenius	184
20	El_Jalapeno	184
22	Doom_melon	182
23	Zaridey	170
24	ConnorDanky_	165
25	kalzor	149
26	HellsSponge	148
27	ImpavidArcher	132
28	Ezekson	130
29	FiguraDei	126
30	Soplight	123
31	craaaash	119
32	Winklepicker279	102
33	Groovy_MoonBird	91
33	Inbefour	91
35	Groundler	87
36	Mr_Byzantine	86
37	Bandito_Roamer	84
38	Franco093	75
39	2Stout	70
40	TheSeismicDuck	69
41	Studio4x32	63
42	Barlycorn	62
43	mariominejedi	61
44	Karetoko	60
45	Lez_	57
46	EdGalbraith	56
47	EveryonesUncle	53
48	EMC_	52
48	thgrocks	52
50	xXTheWolfmanXx	48
51	Mahoose	47
52	ChillenChiggen	46
53	MrShojo	44
54	Malware_Mara	41
55	Steelynan	40
56	shineh10	39
56	Zedducius	39
58	pintsizedrogue	35
58	smogfrogg	35
60	Tongon	33
60	Pumpkin_P_Patch	33
62	kekhon	32
62	xX_Stalin69_Xx	32
62	JasmineGK	32
65	jewbacaman	31
65	TheShyPig	31
67	AnnieBathory	30
68	Felenov	29
69	DrowsyOracle	28
70	_Huge_Male_	26
70	xxPipperDipperxx	26
72	TechnoNinja64	25
73	abdomera	24
73	Chuvacevedo	24
75	AgressiveEggdog	23
76	Jackattack53	21
77	Snowflowe	20
77	KlausVonStiglitz	20
79	Frozil20	19
79	BlueZabu	19
79	Ecplosive	19
79	ProfessorDiaper	19
79	starbits140	19
84	MAns_44	18
84	TheWickedBird	18
86	TheSecondLord	17
86	thewindmillman	17
86	mawileite	17
89	himak1	16
90	h2p_emrld	15
91	Arceus1975	14
92	Ilinca_Io	13
92	Blackberry1310	13
92	_Karmaa	13
92	momis24	13
92	561cool	13
97	Swalt	12
97	AJplaysMC_	12
97	marumochis	12
100	Dakar_	11
100	MakeHistory157	11
100	PA_Tech_Gaming	11
103	thatbeanyboi	10
103	wrinkledpiglet	10
103	PortlyPete69	10
106	dimondking777	9
106	Hpdinosaur	9
106	royal_2	9
106	560cool	9
110	joethahobo	8
110	500am	8
110	Twighst	8
110	Nicserso	8
114	Myrosia	7
114	peach0s	7
114	milltesco	7
114	AspenLightVT	7
114	Manaateee	7
114	MC_Skribble	7
114	xzvu	7
114	stellarjay	7
114	SammiWolfGirl	7
114	Enderxz3	7
114	PlasticOtari	7
125	NatalieTW	6
125	DirtyBoar	6
125	HolyVenom	6
125	SvenskaHugo	6
125	bitsplease	6
130	dopplexd	5
130	Onennon	5
130	cutelilreno	5
130	TheKingK_	5
134	funeralhome	4
134	Inchef	4
134	TJawesome09	4
134	DarlaMeow	4
134	Racengan	4
134	DennyKai	4
134	Soffbord	4
141	PazinGaming	3
141	Fullut	3
141	TylerDupree	3
141	Marbz_	3
141	U_Mos_	3
141	FreeMoCo2009	3
141	XxCookiequeenxX	3
141	ChocolatePepsi	3
141	karudsbip	3
141	Toriankel	3
141	lordpipe	3
141	sp00ky_ghost977	3
141	Chayula	3
141	Ryn777	3
155	PhantomsGhost_	2
155	robertsnose	2
155	SaucyDark	2
155	jushykins	2
155	bloodbiter	2
155	catandmoose	2
155	Secret_Canary	2
155	CrookedKaptain	2
155	r123moore	2
155	prizm_	2
155	MyNameIsJobo	2
155	DietSoda1	2
155	MeanTugger	2
155	fw3xy	2
155	FlashMigma	2
155	CacheOut	2
155	pixelviolin	2
155	Kowcio_	2
173	AuroraValkyrie	1
173	IncoherentTaylor	1
173	Ozixar	1
173	MattieHD	1
173	rpmm	1
173	_witch_craft_	1
173	Hanselhoof	1
173	lorpus	1
173	noam464	1
173	shadowthemonkey	1
173	Jonafrog99	1
173	hanaryheatwave	1
173	Reneedium	1
173	Mattesco	1
173	eSpawNa	1
173	duqboy	1
173	twinkel_star24	1
173	fkGrim	1
173	KermitTheKripple	1
173	censorsheep	1
173	_flud	1
173	MightyWertu	1
173	Blaiku	1
173	3_Solar_3	1
173	IAmTheWalrus910	1
173	ItsDeltaMC	1
173	__tomato	1
173	Legendosh	1
173	Jimb0nat0r	1
173	Sral7	1
173	es0th	1
