rank	username	minecraft:picked_up/minecraft:amethyst_shard
1	Hyp3rion_	31374
2	Jackattack53	24281
3	thewindmillman	19551
4	TheSecondLord	13655
5	AdmiralSmoke	10961
6	RebelAndroid	6952
7	pintsizedrogue	6883
8	noam464	6627
9	hanaryheatwave	5189
10	PlasticOtari	5075
11	beeperbeeper5	3177
12	Ryker	2592
13	Kakolbus	2020
14	Mahoose	1932
15	Spacewardharpy7	1744
16	Apollo_993	1683
17	pixelviolin	1614
18	ImpavidArcher	1407
19	ScootOfBoot	1324
20	500am	1170
21	k_ce	1107
22	corvidpartyfor6	1088
23	PaperCanvas	1031
24	luseis	878
25	Enderxz3	864
26	Lez_	680
27	SpacesickPrism	632
28	MilleGrug	614
29	Kowcio_	589
30	calamariclam_I	566
31	PazinGaming	561
32	Marbz_	552
33	Nicserso	530
34	KeruNatsema	458
35	12Magner05	442
36	Rebytre	411
37	Fuad_R	404
38	Sleepy_Time_	389
39	00000000-0000-0000-0009-01ff0c3e5e4f	380
40	TheBananaKat	352
41	PigDab	340
42	JETrotter	337
43	SingedBread	329
44	ECstardust	328
45	Jimb0nat0r	313
46	Touched_Bread	296
47	DracZSenpai	266
48	Huwulling	244
48	YungMaki	244
50	Manaateee	233
51	Frozil20	228
52	JitteryJared2	222
53	Flores991	202
53	MC_Gamer_Geek	202
55	ShedJr_	200
56	IdeallyGrey	198
57	KGTV	196
58	SteveCraftBlocks	192
59	lunathelemon	182
60	_stets	168
61	Prismyst	166
61	TheDankPlatypus	166
63	diamondgolem35	162
64	alanbleachdemon	160
65	CharlieButt	156
66	lizardfightclub	154
67	IgnoredBee	152
68	joethahobo	150
69	bearlystraight	148
70	Winklepicker279	145
71	Steelynan	144
72	Btabtab	120
73	Killercatty78	118
74	Alteriity	116
75	Mr_Byzantine	114
76	Groovy_MoonBird	112
76	Secret_Canary	112
76	Skylord_Luke	112
79	Segotep999	101
80	_i_ERROR_i_	100
81	ItsHydroMC	98
81	ZeroAbyssTTV	98
81	xolstoi	98
84	shineh10	96
85	TheWildMateo	92
85	Spenduh	92
87	nattybears	90
87	Rexorout	90
89	MinttyFressh	88
90	Kubelz	86
91	Jimi7hits	78
92	Werbe	73
93	Dan_Scha	72
94	Ghemmah	64
94	LeonelSalamanca	64
94	Avocadogerms	64
