rank	username	minecraft:picked_up/minecraft:mangrove_trapdoor
1	skitzxo	127
2	Merv__	86
3	luseis	78
4	Manaateee	75
5	Steelynan	74
6	Mr_Byzantine	71
7	crashomon	56
8	Legendosh	55
9	Mahoose	47
10	k_ce	38
11	lordpipe	29
12	Jimb0nat0r	25
13	Yamdalorian	24
14	KamFurnace	22
15	pintsizedrogue	17
15	Lez_	17
17	SpacesickPrism	16
18	Werbe	14
19	Kondzik2008	11
19	Mattesco	11
21	KarlKaek	10
21	Soplight	10
23	Kowcio_	9
24	oscminus	8
25	Huwulling	7
26	beeperbeeper5	6
26	12Magner05	6
26	SvenskaHugo	6
26	CalebDHawk	6
30	xxPipperDipperxx	5
30	Enderxz3	5
32	ImpavidArcher	4
32	fragrantmonke444	4
32	EngagedGrub41	4
35	bl1ss0	3
35	MrShojo	3
35	Segotep999	3
38	T045RTY	2
38	hanaryheatwave	2
38	Pumpkin_P_Patch	2
38	00000000-0000-0000-0009-01fc3bb26159	2
42	PazinGaming	1
42	kerryfull1	1
42	gabukun_	1
42	noam464	1
42	Jackattack53	1
42	Jonafrog99	1
42	ZoomieZoomie	1
42	PlasticOtari	1
