rank	username	minecraft:picked_up/minecraft:writable_book
1	SteveCraftBlocks	339
2	beeperbeeper5	215
3	joethahobo	119
4	Soplight	108
5	Akoot_	79
6	kekhon	76
7	Mahoose	75
7	Spacewardharpy7	75
9	lordpipe	67
10	Smoke____	64
11	Frozil12	59
12	Ezekson	57
13	Blackberry1310	51
14	Sleek_Storm_721	47
15	xxPipperDipperxx	44
16	SammiWolfGirl	42
17	YungMaki	41
18	Legendosh	39
19	Freak_Genius	36
19	Blaiku	36
21	Lord_Jord	35
22	TheSecondLord	33
23	Eraxa	31
24	GoofyBread	28
24	oxfordschool	28
26	noam464	24
27	TheShyPig	22
27	EveryonesUncle	22
29	_Dean_123	21
29	Jackattack53	21
29	claivin	21
29	Blu3beast	21
29	Racengan	21
34	pintsizedrogue	20
34	Steelynan	20
34	TechnoNinja64	20
37	eitanzaki	19
37	Xalithia	19
37	_Boipl_	19
40	HellsSponge	18
41	T045RTY	17
41	EcksD	17
41	kinas45y5	17
44	ImpavidArcher	16
44	Fullut	16
44	KingMatthew506	16
44	EcksDofficial	16
48	6king6colt6	15
48	bloodbiter	15
48	500am	15
48	_Bguette_	15
48	fluddd	15
48	Enderslayerxz3	15
48	PlasticOtari	15
55	rarrq	14
56	set67	13
56	Arceus1975	13
56	CruncyIsTaken	13
56	NomadicRobin_	13
60	ApophisNova	12
60	Hermanni__	12
60	MyNamaSheff	12
63	Merv__	11
63	Hyp3rion_	11
63	Zythose	11
63	jnp_gaming	11
67	egglapras	10
67	gcaisawesome	10
67	thewindmillman	10
67	RodSerlingCringe	10
67	stahouo	10
67	lcvezra	10
73	Chromary	9
73	Werbe	9
73	WyngGoy	9
76	nataliecool	8
76	Dedalus36	8
76	fr_ser	8
76	DarlaMeow	8
76	CalebDHawk	8
81	Ryker	7
81	Spaghettatron	7
81	thescout7	7
81	Snowflowe	7
81	brofrickcheaters	7
86	Hpdinosaur	6
86	Historical_Sand	6
86	Awyrlas	6
86	Inchef	6
86	Di_infiri	6
86	burbankbuilder28	6
86	Bumpy419	6
86	SvenskaHugo	6
94	teslawolf38	5
94	I_Am_Mushkin	5
94	bigstankyy	5
94	fr0stss	5
94	Smashic	5
94	2Stout	5
94	Karetoko	5
94	Deathkob	5
94	lillips	5
94	Kowcio_	5
94	Segotep999	5
94	Sral7	5
106	Groovy_MoonBird	4
106	Drlzyy	4
106	CliffEmAll	4
106	MattieHD	4
106	r123moore	4
106	Onennon	4
106	PigDab	4
106	theofiel	4
106	masskedman	4
106	Dusk_95	4
106	SexcMf	4
106	Kyrum2169	4
106	Kferno	4
106	alderban107	4
106	Vellu21	4
106	Kubeusz2010	4
122	SpaceGrenadier	3
122	loveseeker	3
122	SuperPooch06	3
122	Rumpletaezer	3
122	sammidk	3
122	HolyVenom	3
122	Maenara	3
122	Sky_light_KING	3
122	AuroraSkies	3
122	Xclax101	3
122	SkateboardR6	3
122	MakeHistory157	3
122	CSG_Haru	3
122	UCP_TheKingK	3
122	Dogcorn69420	3
122	Quotary	3
122	cichy096	3
139	Krasnal1337	2
139	RoskobiOne	2
139	dabloons	2
139	EMC_	2
139	KarlKaek	2
139	Incinere	2
139	ShedJr_	2
139	tramizu	2
139	ChampPog_	2
139	jamesq133	2
139	jushykins	2
139	jacxhadow	2
139	Rich_Kat	2
139	12Magner05	2
139	potato292	2
139	UncreativeArtist	2
139	intropass	2
139	ROY4LE	2
