rank	username	minecraft:picked_up/minecraft:netherite_axe
1	500am	62
2	PlasticOtari	61
3	beeperbeeper5	49
4	eitanzaki	35
5	Spacewardharpy7	23
6	Mahoose	20
6	FreakGenius	20
6	Smoke____	20
9	Blackberry1310	18
10	ImpavidArcher	17
11	Rebytre	15
11	Enderxz3	15
13	pintsizedrogue	14
13	Akoot_	14
15	joethahobo	13
15	Hyp3rion_	13
17	lorpus	12
18	thewindmillman	11
18	Ezekson	11
20	teslawolf38	10
20	T045RTY	10
20	Racengan	10
20	Kowcio_	10
20	fffMike	10
25	Esme_1	9
25	RebelAndroid	9
25	Chromary	9
25	EveryonesUncle	9
25	EcksD	9
30	CoffeeNoir	8
30	Historical_Sand	8
30	Blaiku	8
30	MilleGrug	8
30	Eczbek	8
35	Lez_	7
35	SkateboardR6	7
35	gusstationwerker	7
35	HesDemonPants	7
35	Jimb0nat0r	7
40	Smashic	6
40	noam464	6
40	Jackattack53	6
40	lordpipe	6
40	Eraxa	6
45	chipklip	5
45	Inchef	5
45	r123moore	5
45	Touched_Bread	5
45	Winklepicker279	5
45	Wowful	5
45	NomadicRobin_	5
45	luseis	5
53	q_wq	4
53	bigstankyy	4
53	Huwulling	4
53	Myszoaz	4
53	kekhon	4
53	set67	4
53	paranoid_plant	4
53	ROY4LE	4
53	Di_infiri	4
53	masskedman	4
53	LexMakesHistory	4
53	Fuad_R	4
53	TheTommyGun63	4
53	Mythic1130	4
53	RealGroot	4
53	ConnorDanky_	4
53	Quotary	4
70	Mr_Byzantine	3
70	Sleek_Storm_721	3
70	Nicky_H225	3
70	SuperPooch06	3
70	burbankbuilder28	3
70	fw3xywashere	3
70	YungMaki	3
70	Soplight	3
70	obzii	3
70	RadarHz	3
70	Biites	3
81	SmashingPump	2
81	Merv__	2
81	EMC_	2
81	Frozil20	2
81	6king6colt6	2
81	gren_ben	2
81	ShedJr_	2
81	Da_Boss_Rani	2
81	rarrq	2
81	NieToksikpl	2
81	TheSecondLord	2
81	BobDeBouwer1337	2
81	UncreativeArtist	2
81	xxPipperDipperxx	2
81	TheDankPlatypus	2
81	Kakolbus	2
81	Hiryu27	2
81	Mattesco	2
81	PigDab	2
81	AlexxO_o	2
81	Lord_Jord	2
81	HellsSponge	2
81	Shogunite	2
81	weabis	2
81	fluddd	2
81	mihimihimihi	2
81	SammiWolfGirl	2
81	Iamthejo	2
81	bladeefan2009	2
81	xolstoi	2
111	Jovaphobic	1
111	Groovy_MoonBird	1
111	_Virify_	1
111	JohnnyFyes	1
111	Cowison	1
111	CloroxBleach385	1
111	dimondking777	1
111	soundad	1
111	jessemgaming	1
111	Hpdinosaur	1
111	Wooptey	1
111	WarHammer3	1
111	ITDV	1
111	MrKrabOnCoke	1
111	Alfred603	1
111	Crowman1	1
111	MattieHD	1
111	SoftSix	1
111	Fullut	1
111	Awyrlas	1
111	benediktine1	1
111	XboxPanda	1
111	CollinMH06	1
111	King_Pancake1	1
111	LAVA129	1
111	_Boipl_	1
111	MangoTheFish	1
111	F_Uhre	1
111	Gmoney390	1
111	zToasty69z	1
111	ogoa	1
111	ReSynced	1
111	binman420	1
111	NoChumpChange	1
111	Syropatathe	1
111	Veillax135	1
111	Deathkob	1
111	lillips	1
111	CuzIm2Kev	1
111	Lutres_Torane	1
111	shrimp_flips	1
111	_Karmaa	1
111	Quaintster	1
111	Blu3beast	1
111	GoofySilly	1
111	vadar12	1
111	MightyWertu	1
111	DolphinLaugh	1
111	THEKINGLyric10	1
111	Airem_Core	1
111	SvenskaHugo	1
111	xzvu	1
111	non089	1
111	PortlyPete69	1
111	ZeroKraken	1
111	Steelynan	1
111	alderban107	1
111	saltypear500	1
111	CattSoup	1
111	its_lupus	1
111	2bolx_	1
111	Jordan_R	1
111	Freedrik	1
