rank	username	minecraft:picked_up/minecraft:lime_candle
1	Lez_	37
2	thewindmillman	20
3	Enderxz3	10
4	cutelilreno	8
5	Kowcio_	7
5	robonya_	7
7	Pumpkin_P_Patch	6
8	Mattesco	5
9	Avocadogerms	3
9	Jimb0nat0r	3
11	TheSecondLord	2
12	pintsizedrogue	1
