rank	username	minecraft:picked_up/minecraft:oxeye_daisy
1	500am	3307
2	DarlaMeow	2637
3	PlasticOtari	2516
4	eitanzaki	1434
5	Hyp3rion_	1290
6	SpacesickPrism	920
7	lillips	877
8	FreakGenius	824
9	Huwulling	756
10	Lez_	752
11	Di_infiri	664
12	beeperbeeper5	555
13	joethahobo	539
14	audiocracked	514
15	Inbefour	510
16	Groundler	506
17	thescout7	488
18	noam464	434
19	EveryonesUncle	429
20	hanaryheatwave	412
21	MousePlays	403
22	HellsSponge	391
23	ConnorDanky_	385
24	00000000-0000-0000-0009-01ff0c3e5e4f	381
25	Quotary	367
26	ROY4LE	324
27	Winklepicker279	295
28	Werbe	272
28	TheShyPig	272
30	pintsizedrogue	256
31	El_Jalapeno	253
32	Mahoose	246
33	lordpipe	239
34	Warlord324	234
35	Kakolbus	230
35	Marbz_	230
37	Legendosh	224
38	TechnoNinja64	222
39	YungMaki	216
40	Kowcio_	215
41	Rasmanden	204
42	BlancoFlaco	195
43	vandmanden	190
44	LordSpeed37	175
45	KartivGal	172
46	Akoot_	170
47	thewindmillman	161
48	Lord_Jord	156
49	kekhon	150
50	Skylord_Luke	143
51	Steelynan	134
52	Smoke____	133
53	Fullut	130
54	wezzzi	127
55	Blaiku	122
56	Blackberry1310	121
57	Yatitay	119
58	Enderxz3	116
59	Onennon	114
60	EMC_	107
61	CoffeeNoir	97
62	xxPipperDipperxx	94
63	King_Pancake1	88
64	NatalieTW	84
64	MattieHD	84
66	Dusk_95	82
67	XxCookiequeenxX	80
68	Bandito_Roamer	79
68	SaucyDark	79
70	6king6colt6	77
70	DarkS0L	77
72	cedric72	76
73	groofles	75
73	Lutres_Torane	75
73	jnp_gaming	75
76	luseis	72
76	Nicserso	72
78	Pofen	71
79	ImDisconnected_	70
79	AnnieBathory	70
79	Racengan	70
79	WyngGoy	70
83	claivin	69
84	djancak	67
85	MyNameIsDakar	66
85	Sral7	66
87	emrekn	65
88	ImpavidArcher	64
88	Crowman1	64
88	G1ldor	64
88	RobotMinion101	64
88	sq0id	64
93	Snowflowe	61
93	SammiWolfGirl	61
93	Ezekson	61
96	diggydog67	60
97	Tyrannosplart	58
98	SellyZ	55
99	Wolf_Mauler_73	54
99	ExtraDumb	54
99	set67	54
99	Avrelion	54
103	hcb238	53
103	SaintJosie	53
105	AuroraValkyrie	51
106	PeteO1995	48
106	ApophisNova	48
106	__tomato	48
106	MyNamaSheff	48
110	himak1	47
111	PortlyPete69	45
112	m_be9	44
113	The_slideV3	43
114	Merv__	42
115	Spacewardharpy7	40
116	TheSecondLord	37
116	ProfessorBee	37
116	Chromary	37
119	PigDab	36
119	pixelviolin	36
121	Jorrdi	34
121	NieToksikpl	34
121	Kubelz	34
124	Cowison	33
124	intropass	33
124	tobinwilliams	33
124	NameGenerat0r	33
124	sp00ky_ghost977	33
124	07shiny	33
130	VirusUploaded	32
130	NormanFetus	32
130	_Karmaa	32
130	fluddd	32
130	IAmTheWalrus910	32
135	Mr_Byzantine	31
135	titanlax	31
135	prizm_	31
135	Arceus1975	31
139	Froste131	30
139	T045RTY	30
139	cheerytomato	30
139	SuperPooch06	30
139	NoChumpChange	30
139	babyjimmyneutron	30
145	seanitoo	29
145	bloodbiter	29
145	MovingFish7	29
148	burbankbuilder28	28
148	Elastiq	28
148	ReSynced	28
148	Blu3beast	28
148	_TCARREIRA_	28
148	xolstoi	28
154	Kryktal	27
154	Deathkob	27
154	DanTheBuilderino	27
154	Iamthejo	27
158	Windo_licker	26
158	valkam13	26
160	teslawolf38	25
160	KarlKaek	25
160	CollinMH06	25
160	MightyWertu	25
160	monky_irl	25
160	Njensen7	25
160	Hermanni__	25
160	VentiHilton	25
160	EngagedGrub41	25
169	ShedJr_	24
169	RoofTyler	24
171	Reamdin	23
171	Megarboh	23
171	LavenderBi1ch	23
171	LeauVox4921	23
171	GlitchyPlate810	23
171	Kubeusz2010	23
177	LeDuctTape	22
177	ITDV	22
177	epiksk8erduck	22
177	Meeerkat	22
177	Soplight	22
182	surfinggiraffejp	21
182	ItsAki_	21
182	TheSeismicDuck	21
182	censorsheep	21
182	Fildyr	21
187	RoskobiOne	20
187	LitoDelvito	20
187	binman420	20
187	Lord_Zacler	20
187	fkGrim	20
187	sufjanlover	20
187	Barlycorn	20
187	Lirael42	20
195	Groovy_MoonBird	19
195	AJplaysMC_	19
195	toetagnyc	19
195	SvenskaSara	19
195	DJenthousiast	19
195	LilLizardWizard	19
195	Sheldor097	19
195	OfficerAnvil	19
203	SugarMyNuggets	18
203	Sebaschan__	18
203	Ssor69	18
203	Cryptacity	18
203	paranoid_plant	18
203	Tjhodskins19	18
203	0nly_sn1per	18
203	cichy096	18
211	SyntheticSurgeon	17
211	pappaberg	17
211	Cattoh	17
211	MinuteMira	17
211	Fuad_R	17
211	SSytex_X	17
211	MilleGrug	17
218	Frozil20	16
218	orxngejuice	16
218	Inchef	16
218	Truckoss	16
218	_Cloverbelle_	16
218	FishyBoy3811	16
218	Toasty_Tom	16
218	NomadicRobin_	16
218	OffWithTheirHead	16
218	Hisiste	16
218	CalebDHawk	16
218	Skippeh	16
218	Kateesaur	16
218	FishisTTV	16
232	squigglybones	15
232	xXTheWolfmanXx	15
232	DinoDoctor_	15
232	Mimiir345	15
232	TuesdayEpisode	15
232	InfernalMound	15
232	roxycherry	15
232	GingerNeutron	15
232	excelsionprime	15
232	Fuhrer_Teemo	15
232	MelaninStealer	15
232	UCP_TheKingK	15
232	gusstationwerker	15
245	Historical_Sand	14
245	Ozixar	14
245	Scathra	14
245	Motsaro	14
245	toj__	14
245	DrGrant	14
245	Kijiki	14
245	xzvu	14
245	Nekomin0	14
254	ThiccExotic	13
254	Smashic	13
254	The11thDoctor	13
254	Leyna3	13
254	Darkgon	13
254	csendeslol	13
254	Deguns123	13
254	2bolx_	13
262	Prismyst	12
262	Stiar	12
262	HAIRYCLOUD626	12
262	ooga47	12
262	seramalen	12
262	F_Uhre	12
262	ori0le	12
262	MAns_44	12
262	KingMatthew506	12
262	satuern	12
272	TooManyDuck	11
272	NinjaKnifeKill	11
272	Myszoaz	11
272	MrExplorer	11
272	PegLegPete93	11
272	Jackattack53	11
272	kars0n	11
272	Rebytre	11
272	KeruNatsema	11
272	ZA07	11
272	dezxalo	11
272	DTwenty	11
272	LordAurum	11
272	Erased_Identity	11
272	MissCeleste7	11
272	mobunni	11
288	Jovaphobic	10
288	Dumkii	10
288	BoraMC	10
288	Natty	10
288	QuiCreans	10
288	ZigzagLily43042	10
288	Z3braYTIL	10
288	Blazebit	10
288	Diavri	10
288	MyNameIsJobo	10
288	DaviusMaximoose	10
288	Flucxks	10
288	grislgrobl	10
