rank	username	minecraft:picked_up/minecraft:music_disc_5
1	ECstardust	14
2	beeperbeeper5	8
3	DinoDoctor_	6
3	Pumpkin_P_Patch	6
3	Spaghettatron	6
6	MrKrabOnCoke	5
6	craaaash	5
6	Krowuss	5
6	FiguraDei	5
10	powercas_gamer	4
10	ImpavidArcher	4
10	Jekyll	4
10	robonya_	4
10	Enderxz3	4
10	00000000-0000-0000-0009-01fe065167f0	4
16	SaphSaff	3
16	nattybears	3
16	CaracolCxnt	3
16	catandmoose	3
16	Wowful	3
16	Umprella	3
16	Soplight	3
23	Mr_Byzantine	2
23	Apollo_993	2
23	Merv__	2
23	Caribouse	2
23	joethahobo	2
23	royal_2	2
23	MattieHD	2
23	SteveCraftBlocks	2
23	Fullbit_	2
23	ARandomHedge	2
23	Marbz_	2
23	thewindmillman	2
23	Hyp3rion_	2
23	Segotep999	2
23	Steelynan	2
23	FishisTTV	2
39	Groovy_MoonBird	1
39	k_ce	1
39	CLG_Kata	1
39	Alteriity	1
39	Mahoose	1
39	akap47	1
39	Blackberry1310	1
39	TheSecondLord	1
39	12Magner05	1
39	Secret_Canary	1
39	500am	1
39	TheDankPlatypus	1
39	DisgruntledKoala	1
39	Dynamic_wolf_1	1
39	Jackattack53	1
39	hanaryheatwave	1
39	Rebytre	1
39	oscminus	1
39	LeCavalier636	1
39	Skwillyum13	1
39	AlexxO_o	1
39	Mr_Froxy	1
39	EdGalbraith	1
39	Gus2005	1
39	CacheOut	1
39	TheBananaKat	1
39	Nicserso	1
