rank	username	minecraft:picked_up/minecraft:warped_fungus_on_a_stick
1	Mahoose	9
2	joethahobo	8
2	Yamdalorian	8
4	Fullut	5
5	pintsizedrogue	4
5	beeperbeeper5	4
5	MastaZink	4
8	TheSecondLord	3
8	Blaiku	3
8	Kowcio_	3
8	11Brewer	3
8	PlasticOtari	3
13	_Virify_	2
13	Jackattack53	2
13	Werbe	2
13	monky_irl	2
17	k_ce	1
17	Mr_Byzantine	1
17	CLG_Kata	1
17	Cowison	1
17	ECstardust	1
17	eitanzaki	1
17	Huwulling	1
17	MSK__	1
17	royal_2	1
17	Blackberry1310	1
17	12Magner05	1
17	Secret_Canary	1
17	ROY4LE	1
17	potatol208	1
17	milltesco	1
17	BasedEphex	1
17	Jekyll	1
17	Akoot_	1
17	NomadicRobin_	1
17	EveryonesUncle	1
17	luseis	1
17	Deodorante	1
17	Manaateee	1
17	cuddlyMonster	1
17	lunkuku	1
17	Moss_2006	1
17	djancak	1
17	Kubeusz2010	1
17	EcksD	1
17	Jimb0nat0r	1
