rank	username	minecraft:picked_up/minecraft:red_carpet
1	thewindmillman	11480
2	EcksD	10452
3	HellsSponge	2195
4	TheShyPig	1759
5	beeperbeeper5	1752
6	Onennon	1421
7	Legendosh	1083
8	Merv__	671
9	SullyhS	638
10	Soplight	620
11	lordpipe	594
11	Ezekson	594
13	fffMike	545
14	jnp_gaming	505
15	joethahobo	504
16	r123moore	490
17	Huwulling	480
18	Lez_	409
19	YungMaki	395
20	FreakGenius	392
21	weabis	390
22	EveryonesUncle	366
23	Manaateee	362
24	NameGenerat0r	358
25	Xclax101	333
26	Di_infiri	331
27	Lord_Jord	320
28	Historical_Sand	316
29	Frozil20	313
30	NoChumpChange	304
31	burbankbuilder28	291
32	lillips	280
33	TheSecondLord	274
34	Steelynan	270
35	Smashic	269
36	OfficerAnvil	263
37	Skylord_Luke	245
38	sufjanlover	237
39	kekhon	234
40	Eraxa	227
40	Kowcio_	227
42	_Dean_123	212
43	xDraggin	211
44	Spacewardharpy7	209
45	Mahoose	204
46	SkateboardR6	199
47	NieToksikpl	194
48	xxPipperDipperxx	193
49	thescout7	178
50	mwrty	165
51	Werbe	162
51	h2p_emrld	162
53	SaucyDark	160
54	Blaiku	155
55	fluddd	150
56	Hermanni__	141
57	k_ce	140
58	Inbefour	138
59	luseis	132
60	El_Jalapeno	115
61	Ryan_GEMS	104
62	MinttyFressh	93
63	MoistMicrowave	90
64	PazinGaming	88
65	T045RTY	84
66	Creativebuilder2	82
66	Sral7	82
68	_i_ERROR_i_	81
69	Doom_melon	80
70	PhantomsGhost_	79
71	IamCL4SSY	76
71	PlasticOtari	76
73	Swexti	74
73	Mattesco	74
73	cedric72	74
76	_Mythic____	72
77	AdmiralSmoke	71
78	NomadicRobin_	68
79	Blackberry1310	67
80	pintsizedrogue	66
81	Inchef	65
82	rarrq	62
83	Reamdin	61
84	FlackoJonah	56
85	BlankityMcBlank	55
86	Segotep999	53
86	ConnorDanky_	53
88	500am	52
88	ZoomieZoomie	52
90	Rumpletaezer	51
90	CattSoup	51
92	excelsionprime	50
92	emrekn	50
94	teslawolf38	48
95	xzvu	47
96	Rebytre	46
97	PigDab	45
98	Touched_Bread	44
99	Akoot_	43
99	xorompole	43
101	eitanzaki	41
102	EMC_	39
102	John6970	39
104	CuzIm2Kev	38
104	UltraZombie	38
104	KingMatthew506	38
107	ShedJr_	37
107	m_be9	37
107	drunkeeez	37
107	Fildyr	37
107	Ze_BaronKrigler	37
112	redikul	36
112	CaptainBadKid	36
114	Mr_Byzantine	35
114	RoskobiOne	35
114	AuroraValkyrie	35
117	Chromary	34
117	Krowuss	34
119	SmashingPump	33
119	Fakiuss	33
121	Optiprimus	32
122	LeauVox4921	31
122	XboxPanda	31
122	MakeHistory157	31
125	MattieHD	29
126	Awyrlas	27
126	fr_ser	27
126	PaperCanvas	27
129	TheWildMateo	26
130	12Magner05	25
130	Meatlaugh	25
132	Gundam_Steven	24
132	MustardDrinker	24
132	the_russell1611	24
135	LoboTheLobster	23
135	Maenara	23
137	Factoroni	22
138	heckface	21
138	Kijiki	21
138	UCP_TheKingK	21
138	CalebDHawk	21
142	IKeepDying	20
143	Quaintster	19
143	lcvezra	19
145	KarlKaek	18
145	SteveCraftBlocks	18
145	gcaisawesome	18
145	Zaridey	18
145	DAD_1996	18
150	Natty	17
150	MAns_44	17
152	CLG_Kata	16
152	Megarboh	16
152	Fullut	16
152	Jimi7hits	16
152	TechnoNinja64	16
157	CoffeeNoir	15
157	Prismyst	15
157	Auseawesome	15
157	set67	15
157	Snowflowe	15
157	fw3xy74	15
157	KermitTheKripple	15
157	Deguns123	15
165	bloodbiter	14
165	pappaberg	14
165	_Meow_Mix	14
165	Jimb0nat0r	14
165	Umbreon900	14
170	FadedSpade82	13
170	SammiWolfGirl	13
170	Quotary	13
173	Myszoaz	12
173	nut_e	12
173	Matyyy15	12
173	_Karmaa	12
177	Crowman1	11
177	MinuteMira	11
177	MovingFish7	11
180	diamondgolem35	10
180	RebelAndroid	10
180	Winklepicker279	10
180	Airem_Core	10
184	ImpavidArcher	9
184	Tolhart	9
184	FishyBoy3811	9
184	GooseWithin	9
184	obzii	9
184	xolstoi	9
190	hm947	8
190	Wooptey	8
190	Da_Boss_Rani	8
190	Jackattack53	8
190	Eczbox	8
190	BuildTheGondola	8
190	Eczbek	8
197	Franco093	7
197	himak1	7
197	shadowthemonkey	7
197	oscminus	7
197	DarlaMeow	7
197	claivin	7
197	MightyWertu	7
197	wwwwinnebagoooo	7
197	Meeerkat	7
197	TheOuterCore	7
207	_Huge_Male_	6
207	dabloons	6
207	grislgrobl	6
207	Kokeech	6
207	AlphaWolfPlaysMC	6
207	Winston_Ingram	6
213	6king6colt6	5
213	ColeSnyder	5
213	MrKrabOnCoke	5
213	theonlymagikarp	5
213	andy_rex	5
213	Voxin2K	5
213	laron58	5
213	erkada	5
213	Nicserso	5
222	Incinere	4
222	SquadMonster	4
222	_Nat666	4
222	jushykins	4
222	Kamflame10	4
222	Zorin_Blitz	4
222	The_Fulgurator	4
222	Afinnity	4
222	BumbleBeever	4
222	Warlord324	4
222	Dr0xzy	4
233	Foof13	3
233	Tommhh	3
233	jimintyy	3
233	tsohomie	3
233	elmer1234	3
233	XHectorSalamanca	3
233	BilboBaggins23	3
233	Z3braYTIL	3
233	Laykon	3
233	Kubelz	3
233	DermeinUser	3
233	ZeroAbyssTTV	3
233	Armattillo	3
233	Hyp3rion_	3
233	Skomo	3
233	AlexxO_o	3
233	Syropatathe	3
233	_Bguette_	3
233	Tyrannosplart	3
233	Beagle_Boy	3
233	Shogunite	3
233	Nycteus_	3
233	JoCoLi	3
233	Druid95	3
233	Jjackoe	3
233	TheEnderMan548	3
233	Kyrum2169	3
233	jcool7	3
233	eMpTysVoid	3
233	Enderxz3	3
263	Froste131	2
263	ImNotYuqii	2
263	I_Am_Mushkin	2
263	TooManyDuck	2
263	BlueishDEV	2
263	ITDV	2
263	Vizzoid	2
263	Ozixar	2
263	Prodiginus	2
263	CaracolCxnt	2
263	_Nuf	2
263	paranoid_plant	2
263	lorpus	2
263	NotMeanttoChange	2
263	Hoshi	2
263	imcombxt	2
263	MyNameIsJobo	2
263	Zythose	2
263	LilyNova	2
263	MinerDec	2
263	ougstur	2
263	LilLizardWizard	2
263	Deathkob	2
263	ChocolatePepsi	2
263	FILIP1e	2
263	camerade	2
263	Blu3beast	2
263	Racengan	2
263	Shin69	2
263	Sheldor097	2
263	_3Stump_	2
263	TheBananaKat	2
263	Skippeh	2
263	2blox_	2
297	seanitoo	1
297	Crowvens	1
297	JohnnyFyes	1
297	Badenbeele	1
