rank	username	minecraft:picked_up/minecraft:stone_sword
1	thewindmillman	255
2	Di_infiri	232
3	HellsSponge	204
4	thescout7	186
5	noam464	175
6	joethahobo	166
7	eitanzaki	151
8	Frozil12	131
9	Spacewardharpy7	128
10	Blaiku	90
11	PigDab	80
12	chipklip	70
13	vandmanden	64
14	Mahoose	51
15	Smoke____	50
16	SaucyDark	43
16	SingedBread	43
18	Arceus1975	38
18	EcksD	38
20	Kyrum2169	37
21	Groovy_MoonBird	35
21	RebelAndroid	35
21	YungMaki	35
21	TechnoNinja64	35
25	MilleGrug	31
26	Merv__	30
27	Werbe	29
28	Corbsman	28
29	Hyp3rion_	27
30	_TCARREIRA_	26
31	TooManyDuck	25
32	NomadicRobin_	24
33	audiocracked	23
34	ShedJr_	22
34	Powowowow	22
36	Rasmanden	21
36	stahouo	21
36	PlasticOtari	21
39	mwrty	20
40	r123moore	19
41	Snowflowe	18
41	Akoot_	18
41	Skippeh	18
44	tuckerdoodle	17
44	Onennon	17
44	AlphaWolfPlaysMC	17
47	Bandito_Roamer	16
47	Jackattack53	16
47	wezzzi	16
47	MightyWertu	16
51	TheSeismicDuck	15
52	Mewar	14
52	Rumpletaezer	14
52	Hisiste	14
52	Legendosh	14
56	beeperbeeper5	13
56	claivin	13
56	pixelviolin	13
56	oxfordschool	13
56	h2p_emrld	13
61	NotMeowMix	12
61	geekbird	12
61	Zoeyfortnite	12
64	6king6colt6	11
64	Euclidoris	11
64	M_Patata	11
64	fred870d	11
64	MasterNueve	11
64	KG1999	11
64	PortlyPete69	11
64	Kferno	11
72	Hyugo	10
72	jimintyy	10
72	youhjjhhhjj	10
72	Comma__	10
76	H72l9w	9
76	_Nuf	9
76	eiC_	9
76	RobotMinion101	9
76	groofles	9
76	Maenara	9
76	Jiminie	9
76	CalebDHawk	9
84	dudcreeper	8
84	xXTheWolfmanXx	8
84	Cryptacity	8
84	SteveCraftBlocks	8
84	SellyZ	8
84	_8man	8
84	Blu3beast	8
84	fluddd	8
84	Soplight	8
93	pintsizedrogue	7
93	nataliecool	7
93	PhantomsGhost_	7
93	KingFaenor	7
93	TheSecondLord	7
93	Guillemet	7
93	ROY4LE	7
93	RefluxRatio	7
101	Ninzyyy	6
101	Drlzyy	6
101	cowgirlkasia	6
101	Blackberry1310	6
101	kekhon	6
101	Smashic	6
101	Bumpy419	6
101	ApophisNova	6
101	ToastedGamingYT	6
101	SpookyDraggin	6
101	VintagePlays	6
101	OG_Songsee	6
101	33sudo	6
101	stavgod	6
101	__tomato	6
101	Kubeusz2010	6
101	MyNamaSheff	6
101	diggydog67	6
119	301851	5
119	Ardennes	5
119	boog4loo	5
119	Kkanot	5
119	himak1	5
119	Zaridey	5
119	Hiryu27	5
119	TheShyPig	5
119	GoofyBread	5
119	frankosgf	5
119	Toriankel	5
119	Warlord324	5
119	Vorlice	5
119	TheDumbHuman	5
119	Kijiki	5
119	OfficerAnvil	5
119	kinas45y5	5
136	ColeSnyder	4
136	Historical_Sand	4
136	Sleepy_Time_	4
136	BobDeBouwer1337	4
136	bloodbiter	4
136	Motsaro	4
136	intropass	4
