rank	username	minecraft:picked_up/minecraft:oak_leaves
1	Hyp3rion_	25240
2	EveryonesUncle	22172
3	CoffeeNoir	20963
4	PigDab	17893
5	mwrty	17225
6	Legendosh	17057
7	Jackattack53	14489
8	rarrq	11662
9	Marbz_	9572
10	eitanzaki	9491
11	hanaryheatwave	7990
12	HellsSponge	7757
13	Mahoose	7119
14	Merv__	6942
15	Di_infiri	6922
16	Manaateee	6889
17	SpacesickPrism	6782
18	vandmanden	6468
19	AdmiralSmoke	6291
20	beeperbeeper5	6161
21	ShedJr_	6114
22	nattybears	5768
23	WET_WET_WET	5579
24	oscminus	4963
24	claivin	4963
26	Werbe	4919
27	Snowflowe	4668
28	noam464	4634
29	luseis	4454
30	Kouridragon	4279
31	pintsizedrogue	4221
32	PlasticOtari	4150
33	Skylord_Luke	4146
34	kekhon	4049
35	FreakGenius	3983
36	soundad	3820
37	H0UNDFRMH3LL	3661
38	Onennon	3619
39	Steelynan	3585
40	zToasty69z	3534
41	TheThomas69	3469
42	titanlax	3442
43	Ezekson	3230
44	TheSecondLord	3191
45	El_Jalapeno	3060
46	_Dean_123	3006
47	Arceus1975	2940
48	joethahobo	2910
49	Dogcorn69420	2886
50	hcb238	2676
51	Frozil20	2668
52	wwwwinnebagoooo	2637
53	CarltheCuck	2623
54	Cryptacity	2599
55	Eraxa	2561
56	kyouma777	2527
57	500am	2426
58	Blackberry1310	2407
59	audiocracked	2323
60	Huwulling	2243
61	LeonelSalamanca	2232
62	lordpipe	2214
63	master9067	2183
64	ssleepless	2151
65	Fullut	2137
66	Jimi7hits	2129
67	XxCookiequeenxX	2085
68	Kowcio_	2078
69	Nycteus_	2070
70	TheBiggestFeller	2051
71	gcaisawesome	2033
72	Ssor69	2029
73	Darkgon	1959
74	Alteriity	1897
75	Kakolbus	1893
76	burbankbuilder28	1875
77	RadarHz	1870
78	Factoroni	1843
79	Blu3beast	1761
80	Crowman1	1732
81	_Bguette_	1693
82	YungMaki	1675
83	The11thDoctor	1659
84	cog	1655
85	TheDankPlatypus	1622
86	skrongus	1599
87	cedric72	1570
88	SpaceGrenadier	1541
89	Soplight	1490
90	ConnorDanky_	1439
91	Historical_Sand	1406
92	CattSoup	1386
93	Blaiku	1385
94	weabis	1368
95	thescout7	1366
96	IWorkAtIkea	1358
97	set67	1331
98	Wooptey	1301
99	Quaintster	1265
100	ROY4LE	1247
101	Burge_r	1242
102	NameGenerat0r	1236
103	PegLegPete93	1220
104	TechnoNinja64	1195
105	PuFY	1185
106	Hermanni__	1172
107	Rebytre	1169
108	Spacewardharpy7	1165
109	MineMaster0012	1158
110	Enderxz3	1152
111	Luigipunch989	1147
112	xxPipperDipperxx	1144
113	Kubelz	1121
114	BronkerBrum	1119
115	mihimihimihi	1104
116	toj__	1071
117	r123moore	1068
118	123louis456	1067
119	Inchef	1059
120	The_slideV3	1041
121	MattieHD	1013
122	ZoomieZoomie	1006
123	RebelAndroid	1005
124	Segotep999	1004
125	Maenara	1002
126	NotMeanttoChange	995
126	TheShyPig	995
128	Lord_Jord	977
128	TheSeismicDuck	977
130	HesDemonPants	974
131	lcvezra	969
132	ImpavidArcher	954
133	PazinGaming	950
134	Gamergirl420628	942
135	Optiprimus	936
136	fkGrim	927
137	KingMatthew506	918
138	_Huge_Male_	914
139	m_be9	908
139	groofles	908
141	GLLogan2	885
142	Xclax101	878
143	NomadicRobin_	872
144	Elastiq	870
145	SuperPooch06	868
146	__tomato	858
147	Lez_	855
147	pixelviolin	855
149	xzvu	843
150	ApophisNova	820
150	MyNamaSheff	820
152	Sheldor097	783
153	CollinMH06	779
154	thewindmillman	774
155	Megarboh	768
156	Druid95	764
157	2Stout	763
158	PhantomsGhost_	751
159	AustinAuranymph	750
160	Deguns123	740
161	CaptainDeadBread	723
161	PortlyPete69	723
163	Mr_Byzantine	720
164	anbbang	719
165	FroggoTheDoggo	710
166	crying_wolf_13	703
167	Smashic	701
