rank	username	minecraft:picked_up/minecraft:conduit
1	Mahoose	57
2	PlasticOtari	35
3	thewindmillman	28
4	Hyp3rion_	23
5	_TCARREIRA_	19
6	500am	17
7	ImpavidArcher	16
7	HellsSponge	16
9	PhantomsGhost_	15
9	Blu3beast	15
11	Apollo_993	14
11	12Magner05	14
11	kekhon	14
11	xolstoi	14
15	xzvu	13
16	obzii	11
17	Chromary	10
17	EcksD	10
19	eitanzaki	9
19	Bumpy419	9
21	Fullut	8
21	Maenara	8
21	Shogunite	8
24	Ryan_GEMS	7
24	Lord_Jord	7
24	jcool7	7
24	Legendosh	7
28	pintsizedrogue	6
28	Alteriity	6
28	oscminus	6
28	claivin	6
28	Enderxz3	6
28	AdmiralSmoke	6
34	EMC_	5
34	beeperbeeper5	5
34	Eraxa	5
34	YungMaki	5
38	Mr_Byzantine	4
38	joethahobo	4
38	Blackberry1310	4
38	Jakobo1337	4
38	Jackattack53	4
38	CarryLine	4
38	xDraggin	4
38	Manaateee	4
38	Racengan	4
38	SammiWolfGirl	4
48	SaphLaseer	3
48	diamondgolem35	3
48	hm947	3
48	rarrq	3
48	Tiberonus	3
48	Awyrlas	3
48	noam464	3
48	Zaridey	3
48	NomadicRobin_	3
48	Tyrannosplart	3
48	GoofyBread	3
48	NameGenerat0r	3
48	fluddd	3
48	Blaiku	3
48	MovingFish7	3
48	lordpipe	3
48	Kowcio_	3
48	Skippeh	3
48	Ezekson	3
48	Nicserso	3
48	TechnoNinja64	3
48	calamariclam_I	3
70	Groovy_MoonBird	2
70	Merv__	2
70	Frozil20	2
70	gren_ben	2
70	ExtraDumb	2
70	Incinere	2
70	_Dean_123	2
70	thescout7	2
70	Xalithia	2
70	M_Patata	2
70	Zythose	2
70	Werbe	2
70	Onennon	2
70	Truckoss	2
70	TheShyPig	2
70	Akoot_	2
70	MAns_44	2
70	Xclax101	2
70	MightyWertu	2
70	MasterNueve	2
70	Majonezzon	2
70	Segotep999	2
70	SSytex_X	2
70	SpacesickPrism	2
70	Dreamdbr14	2
70	KingMatthew506	2
70	MirielThePastor	2
70	Sral7	2
98	ItsGrayWolf	1
98	ssleepless	1
98	Hpdinosaur	1
98	T045RTY	1
98	jessewegottacook	1
98	Euclidoris	1
98	MattieHD	1
98	SteveCraftBlocks	1
98	excelsionprime	1
98	sandmire	1
98	himak1	1
98	xxPipperDipperxx	1
98	Kubelz	1
98	Winklepicker279	1
98	Marbz_	1
98	yheece	1
98	Di_infiri	1
98	SuperPooch06	1
98	Jonafrog99	1
98	Rumpletaezer	1
98	Arceus1975	1
98	Krowuss	1
98	Donutt	1
98	Hiryu27	1
98	aec9	1
98	Rasmanden	1
98	IamCL4SSY	1
98	GooseWithin	1
98	DemTechAlpha	1
98	The_slideV3	1
98	StinkyDiplomat	1
98	FreakGenius	1
98	QueenShuvi	1
98	BumbleBeever	1
98	Spacewardharpy7	1
98	LetsDoItLive	1
98	33sudo	1
98	ElectricDragon81	1
98	stavgod	1
98	_Mythic____	1
98	pixelviolin	1
98	CalebDHawk	1
98	fffMike	1
98	mawileite	1
98	Steelynan	1
98	FelixPSY375	1
98	jnp_gaming	1
98	Jimb0nat0r	1
98	camando92	1
