rank	username	minecraft:picked_up/minecraft:music_disc_far
1	Blu3beast	143
2	HellsSponge	99
3	Mattesco	48
4	miramyu	47
5	pintsizedrogue	36
5	AspenLightVT	36
7	TechnoNinja64	22
8	PhantomsGhost_	19
8	skroobiez	19
8	Gregward_Smith	19
8	Inchef	19
12	_Dean_123	16
12	Kura2218	16
12	deleteduser3c11b	16
15	beeperbeeper5	14
15	Maenara	14
15	Soplight	14
15	Njensen7	14
19	Skylord_Luke	13
19	RobotMinion101	13
19	Kowcio_	13
22	Mahoose	12
22	Guillemet	12
22	ApophisNova	12
22	MyNamaSheff	12
26	SteveCraftBlocks	11
27	eitanzaki	10
27	ROY4LE	10
27	FreakGenius	10
30	abdomera	9
30	Blackberry1310	9
30	bloodbiter	9
30	12Magner05	9
34	Mr_Byzantine	8
34	heckface	8
34	oscminus	8
34	claivin	8
34	Eraxa	8
34	Ezekson	8
34	PlasticOtari	8
41	surfinggiraffejp	7
41	xxPipperDipperxx	7
41	crashomon	7
41	fluddd	7
41	SingedBread	7
41	TheBananaKat	7
47	joethahobo	6
47	Fullut	6
47	Cambo5000	6
47	Di_infiri	6
47	thewindmillman	6
47	Hyp3rion_	6
47	TheShyPig	6
47	Deodorante	6
47	Spacewardharpy7	6
47	YungMaki	6
47	annebolyn	6
47	Zoeyfortnite	6
59	Merv__	5
59	TheSecondLord	5
59	kekhon	5
59	excelsionprime	5
59	himak1	5
59	Akoot_	5
59	Quaintster	5
59	layabout100	5
59	StarCookiees_	5
68	k_ce	4
68	Archsam	4
68	switchNat	4
68	Arceus1975	4
68	RebytreGT	4
68	Werbe	4
68	Segotep999	4
68	Spenduh	4
68	SammiWolfGirl	4
68	CalebDHawk	4
78	Apollo_993	3
78	Healthing	3
78	KarlKaek	3
78	ImpavidArcher	3
78	hm947	3
78	ProfessorBee	3
78	mwrty	3
78	Touched_Bread	3
78	Parcc	3
78	BronkerBrum	3
78	Onennon	3
78	DTwenty	3
78	luseis	3
78	ediballbearings	3
78	fffMike	3
78	ConnorDanky_	3
78	Powowowow	3
78	FishisTTV	3
96	CLG_Kata	2
96	PazinGaming	2
96	I_Am_Mushkin	2
96	Ryan_GEMS	2
96	Incinere	2
96	Huwulling	2
96	Barjas	2
96	Prismyst	2
96	FirsTimeGamingTV	2
96	Mercadies	2
96	Saucepeh	2
96	Sleepy_Evelyn	2
96	Tiberonus	2
96	Lumien_	2
96	Kkanot	2
96	CharlieButt	2
96	TheDankPlatypus	2
96	Jackattack53	2
96	Chromary	2
96	Rumpletaezer	2
96	Zythose	2
96	The11thDoctor	2
96	Cruncy_	2
96	epiksk8erduck	2
96	thgrocks	2
96	AlphaWolfPlaysMC	2
96	duqboy	2
96	ese_wn_po	2
96	Tyrannosplart	2
96	DemTechAlpha	2
96	MAns_44	2
96	Blaiku	2
96	lordpipe	2
96	monky_irl	2
96	xzvu	2
96	_3Stump_	2
96	hermmm_	2
96	Quotary	2
96	Legendosh	2
96	2blox_	2
96	JayToe	2
96	h2p_emrld	2
138	Groovy_MoonBird	1
138	MixerDixer	1
138	Hpdinosaur	1
138	AES784	1
138	jimintyy	1
138	T045RTY	1
138	Natty	1
138	MOSS000	1
138	Lez_	1
138	Dblikstad	1
138	Euclidoris	1
138	Ozixar	1
138	ratglock	1
138	Cryptacity	1
138	Comma__	1
138	jushykins	1
138	m_be9	1
138	MrExplorer	1
138	eddiehobbit	1
138	zorin123	1
138	cyrusisntgay	1
138	slkiey	1
138	Smashic	1
138	crying_wolf_13	1
138	set67	1
138	Scathra	1
138	thescout7	1
138	Awyrlas	1
138	SellyZ	1
138	SpicyMeatballs	1
138	noam464	1
138	XboxPanda	1
138	Avrelion	1
138	prizm_	1
138	SuperPooch06	1
138	hanaryheatwave	1
138	belly0_0	1
138	CrateOfBoxes	1
138	Bumpy419	1
138	Bak3dPotater	1
138	seramalen	1
138	MinerDec	1
138	AlexxO_o	1
138	SolarKar	1
138	Samificator	1
138	sammidk	1
138	wezzzi	1
138	audiocracked	1
138	masskedman	1
138	godipose	1
138	Karbl	1
138	DarlaMeow	1
138	weabis	1
138	Leeeegend	1
138	blackeemperor	1
138	Ritter__	1
138	Gus2005	1
138	lava124	1
138	Hisiste	1
138	Druid95	1
138	Spankathor	1
138	FiguraDei	1
138	sp00ky_ghost977	1
138	Razzgriz	1
138	yatsuta	1
138	_TCARREIRA_	1
138	Dreamdbr14	1
138	_Wannabe_	1
138	KingMatthew506	1
138	elliebelle107	1
138	EngagedGrub41	1
138	_KuruKuru	1
138	EcksD	1
138	Nicserso	1
138	Enderxz3	1
138	jnp_gaming	1
138	Jimb0nat0r	1
138	Sral7	1
138	Faart	1
