rank	username	minecraft:picked_up/minecraft:cherry_fence_gate
1	Lez_	54
2	Enderxz3	21
3	Kowcio_	18
4	royal_2	4
5	cuddlyMonster	3
5	11Brewer	3
5	KamFurnace	3
8	Alex_Hansen	2
8	StarCookiees_	2
10	Smashic	1
10	Koalander	1
10	Rebytre	1
