rank	username	minecraft:picked_up/minecraft:smooth_stone_slab
1	noam464	31734
2	Spacewardharpy7	30231
3	Hyp3rion_	15974
4	thewindmillman	12623
5	Smoke____	7438
6	HellsSponge	7315
7	El_Jalapeno	4010
8	MightyWertu	3993
9	joethahobo	3986
10	EveryonesUncle	3952
11	PlasticOtari	3437
12	Xclax101	2707
13	TheShyPig	2559
14	eitanzaki	2555
15	Winklepicker279	1770
16	Blackberry1310	1724
17	Frozil12	1710
18	Kakolbus	1575
19	Di_infiri	1546
20	DTwenty	1510
21	Mahoose	1431
22	rarrq	1365
23	Snowflowe	1364
24	MyNameIsJobo	1362
25	ApophisNova	1305
25	MyNamaSheff	1305
27	thescout7	1283
28	mwrty	1188
29	AuroraValkyrie	1173
30	Quotary	1159
31	burbankbuilder28	1060
32	ImpavidArcher	948
33	Blaiku	875
34	MattieHD	753
35	m_be9	736
36	TechnoNinja64	717
37	Ezekson	711
38	Nicserso	696
39	censorsheep	636
40	SHAOBADMAN	618
41	Akoot_	616
42	sebastiensaborio	605
43	T045RTY	603
44	cog	596
45	beeperbeeper5	569
46	lcvezra	539
47	Enderslayerxz3	527
48	jacxhadow	523
49	07shiny	501
49	ZeroKraken	501
51	Cowison	497
52	RobotMinion101	470
53	Fuhrer_Teemo	454
54	MinttyFressh	451
55	PhantomsGhost_	445
56	__Fanda__	436
57	Tolhart	427
58	Parcc	423
59	Comma__	406
60	Onennon	400
61	Zythose	396
62	anbbang	392
63	Deathkob	365
64	Wolverine4302	352
65	Sleek_Storm_721	335
66	Merv__	316
67	proxivitoid	303
68	sxc_	300
69	AlphaWolfPlaysMC	298
70	_Bguette_	297
71	_Karmaa	293
72	Legendosh	290
73	Groundler	277
74	CoffeeNoir	271
75	Mr_Byzantine	269
76	Marbz_	265
77	TheSecondLord	260
78	fred870d	246
79	Scathra	237
80	MilleGrug	235
80	Eczbek	235
82	Lord_Jord	234
83	Reamdin	233
83	oxfordschool	233
83	JayToe	233
86	Eraxa	226
87	Stiar	225
88	kekhon	223
89	set67	216
90	titanlax	215
90	egglapras	215
92	Kynigito	209
93	500am	205
94	pixelviolin	203
95	TheSeismicDuck	201
96	Bumpy419	200
97	pintsizedrogue	198
98	xxPipperDipperxx	196
98	DemTechAlpha	196
100	Jackattack53	186
101	Soplight	181
102	lordpipe	177
103	Lowjinx	176
104	SvenskaHugo	174
104	Winston_Ingram	174
106	Groovy_MoonBird	172
106	Dogcorn69420	172
108	RebelAndroid	166
109	SaucyDark	165
110	SuperPooch06	163
110	PigDab	163
112	ROY4LE	148
113	himak1	145
113	Barlycorn	145
115	TinMaster	142
116	wezzzi	140
117	The_slideV3	132
118	Blu3beast	130
119	Incinere	129
120	Werbe	125
120	AssEatrAndLicker	125
122	Malorn_Aetherius	123
122	YungMaki	123
124	_Nuf	122
124	The11thDoctor	122
126	MovingFish7	120
127	Maenara	116
128	CalebDHawk	111
129	GravitySaint	110
130	_czarny	107
131	DanTheBuilderino	104
132	6king6colt6	102
133	zylanzagreat	101
134	ssleepless	100
135	fluddd	99
136	LexMakesHistory	97
136	Sral7	97
138	MakeHistory157	95
139	_3Stump_	94
139	HesDemonPants	94
141	SingedBread	93
142	stellarjay	92
143	Dusk_95	87
144	Myszoaz	86
145	RoyalDorrr	85
145	PortlyPete69	85
147	ShedJr_	84
148	Hoid_the_Roamer	80
149	Hermanni__	79
150	WyngGoy	77
151	wiqor	76
152	2Stout	75
152	EcksDofficial	75
154	wobn	74
154	Luigipunch989	74
156	Jordan_R	72
157	Zaridey	71
158	alderban107	69
159	shdesolt	68
160	Euclidoris	67
161	Natty	66
161	NameGenerat0r	66
161	sp00ky_ghost977	66
164	zMarciano	64
164	Racengan	64
166	FishyBoy3811	62
167	The_SlideV5	59
168	NotMeanttoChange	56
168	Ze_BaronKrigler	56
170	Hyugo	55
170	Rumpletaezer	55
172	RodSerlingCringe	54
173	EMC_	53
174	Kowcio_	50
174	__tomato	50
176	Kyrum2169	49
177	jnp_gaming	47
178	bigstankyy	46
179	Skylord_Luke	45
180	PegLegPete93	44
180	XboxPanda	44
180	KG1999	44
183	ewsophie	43
183	youhjjhhhjj	43
183	Cocoamallows	43
183	EcksD	43
187	Tobinator_007	42
187	Lumien_	42
187	CrateOfBoxes	42
187	Spenduh	42
191	Giannism	41
192	Truckoss	40
193	CaptainDeadBread	39
193	mobunni	39
195	kars0n	38
196	livingdaydreams	37
197	Ssor69	36
198	shyshyannne	35
199	Mewar	34
199	r123moore	34
199	Optiprimus	34
199	Sheldor097	34
203	ivorico	33
203	VentiHilton	33
205	HyperCave	32
206	jcool7	30
207	Natofthese	29
207	peach0s	29
207	gcaisawesome	29
210	Motsaro	27
210	DrGrant	27
210	Freak_Genius	27
213	The_Quack_Dealer	24
213	Typadopoulos	24
215	KarlKaek	23
215	Drawgirll	23
217	diamondgolem35	22
217	wrinkledpiglet	22
217	LilcoinXX	22
220	Strangemonkey71	21
220	RadarHz	21
220	AltnumberF4	21
223	Fullut	20
223	loveseeker	20
223	JoCoLi	20
226	fanofbands101	19
226	Arceus1975	19
228	Windo_licker	18
228	andy_rex	18
228	SkateboardR6	18
231	jspwn	17
231	Zoeyfortnite	17
233	Ze1ig	16
233	teslawolf38	16
233	BlancoFlaco	16
233	wickedword	16
233	Meatlaugh	16
233	Fildyr	16
239	Tommhh	15
239	ProfessorBee	15
239	fallingemma	15
239	Nyxiom_	15
243	chipklip	14
243	marumochis	14
243	BreadBacon	14
243	JohnPrice	14
247	Nicky_H225	13
247	Inbefour	13
247	Shogunite	13
247	SammiWolfGirl	13
251	soundad	12
251	Kubelz	12
251	TheDankPlatypus	12
251	claivin	12
251	Kubeusz2010	12
256	nocturne78	11
256	12Magner05	11
256	slkiey	11
256	TeenMomTom	11
256	DizzleJay311	11
256	MustaLoordi	11
256	stavgod	11
263	strongman951753	10
263	fr0stss	10
263	Inchef	10
263	Nicky19	10
263	NomadicRobin_	10
263	masskedman	10
269	Hpdinosaur	9
269	ketaminmann	9
269	fffMike	9
272	Historical_Sand	8
272	SteveCraftBlocks	8
272	Paintz	8
272	TableTim	8
272	Karetoko	8
272	impossibleteapot	8
272	Fast_Turtle	8
272	Negriuke	8
272	Bloo2406	8
272	LordSpeed37	8
272	BlankityMcBlank	8
272	Deguns123	8
284	Dedalus36	7
284	awesomeoneme	7
284	Cryptacity	7
284	Ardennes	7
284	Awyrlas	7
284	fkGrim	7
284	Jiminie	7
284	Pickel_Lord	7
292	heckface	6
292	mariominejedi	6
292	Kouridragon	6
292	Sky_light_KING	6
292	TheMiddayMoon	6
292	ediballbearings	6
292	Kferno	6
292	kinas45y5	6
300	RosaDoesMC	5
