rank	username	minecraft:picked_up/minecraft:polished_blackstone_wall
1	ITDV	439
2	Mahoose	210
3	burbankbuilder28	197
4	FreakGenius	185
4	Quotary	185
6	Jackattack53	126
7	TheSecondLord	113
8	himak1	97
8	Hyp3rion_	97
10	Creativebuilder2	81
10	noam464	81
12	Dusk_95	78
13	Smoke____	73
14	RebelAndroid	68
15	eitanzaki	64
16	jacxhadow	54
17	500am	49
17	Legendosh	49
19	beeperbeeper5	44
20	pintsizedrogue	42
21	Cowison	38
22	CalebDHawk	35
23	set67	29
23	Spacewardharpy7	29
25	EcksD	25
26	Mattesco	23
27	Lord_Jord	18
28	Optiprimus	17
29	Eraxa	13
30	ImpavidArcher	12
31	teslawolf38	11
31	TheShyPig	11
31	Elastiq	11
34	_Razaria	10
34	BobDeBouwer1337	10
34	luseis	10
37	Rebytre	8
38	Blackberry1310	6
38	Arceus1975	6
38	IvarEXE	6
38	Jimb0nat0r	6
42	ShedJr_	5
42	PlasticOtari	5
44	joethahobo	4
44	xxPipperDipperxx	4
46	rarrq	3
46	CattSoup	3
48	_Dean_123	2
48	gustarlep	2
48	AltnumberF4	2
48	Enderxz3	2
52	KarlKaek	1
52	Alteriity	1
52	Huwulling	1
52	Lez_	1
52	Smashic	1
52	Awyrlas	1
52	Antek_Kicek	1
52	Di_infiri	1
52	DanielMmm	1
52	EveryonesUncle	1
52	sp00ky_ghost977	1
52	Winston_Ingram	1
