rank	username	minecraft:picked_up/minecraft:lime_terracotta
1	thewindmillman	119925
2	pintsizedrogue	1803
3	Kakolbus	1378
4	Eraxa	792
5	SuperPooch06	634
6	rarrq	617
7	Kowcio_	481
8	joethahobo	441
9	EveryonesUncle	375
10	FreakGenius	325
11	Frozil20	297
12	Legendosh	276
13	lordpipe	183
14	Inbefour	168
15	Alteriity	167
16	YungMaki	152
17	The11thDoctor	151
17	GravitySaint	151
19	mwrty	127
20	Manaateee	115
21	pixelviolin	97
22	Steelynan	86
23	Werbe	84
24	kekhon	75
25	AlexxO_o	74
26	Myszoaz	71
27	ZoomieZoomie	68
28	CattSoup	66
29	Jimb0nat0r	65
30	ConnorDanky_	62
31	_Karmaa	58
32	noam464	56
33	bloodbiter	53
34	luseis	52
35	cog	48
36	Onennon	46
37	ImpavidArcher	41
38	Quotary	36
39	Hyp3rion_	35
40	SvenskaHugo	34
41	PigDab	33
41	Soplight	33
43	Wooptey	31
44	_Huge_Male_	30
45	Cruncy_	29
46	lorpus	28
47	OG_Songsee	24
48	Enderxz3	22
49	beeperbeeper5	21
49	Blu3beast	21
49	skitzxo	21
52	Rumpletaezer	17
53	Huwulling	16
54	Mr_Byzantine	14
55	Krowuss	11
56	Mahoose	9
56	Yamdalorian	9
58	SaucyDark	8
59	epiksk8erduck	6
59	TheEnderMan548	6
59	TheKingK_	6
62	Merv__	5
63	MattieHD	4
63	Jonafrog99	4
63	The_SlideV5	4
66	Hyugo	3
66	MrExplorer	3
66	Inchef	3
66	CarryLine	3
66	Kim_Jong_eel	3
66	Nicserso	3
72	Sabby65	2
72	Blackberry1310	2
72	Crowman1	2
72	SteveCraftBlocks	2
72	Di_infiri	2
72	ApophisNova	2
72	Gryglu583	2
72	jcool7	2
72	MyNamaSheff	2
72	TechnoNinja64	2
72	h2p_emrld	2
83	Paint	1
83	Napoleonpancake	1
83	eitanzaki	1
83	Lez_	1
83	Smashic	1
83	gcaisawesome	1
83	bl1ss0	1
83	Marbz_	1
83	CarltheCuck	1
83	Arceus1975	1
83	TheShyPig	1
83	TruestTurnip	1
83	ItsDeltaMC	1
83	MakeHistory157	1
83	SammiWolfGirl	1
