rank	username	minecraft:picked_up/minecraft:orange_tulip
1	hanaryheatwave	9265
2	Lez_	7458
3	500am	2733
4	SpacesickPrism	2015
5	AlexxO_o	1522
6	Enderxz3	1503
7	beeperbeeper5	1165
8	eitanzaki	829
9	PlasticOtari	660
10	doublemaki	548
11	LeauVox4921	528
12	El_Jalapeno	479
13	Snowflowe	466
14	Hyp3rion_	437
15	Legendosh	393
16	GooseWithin	358
17	Jackattack53	314
18	thewindmillman	312
19	Ezekson	281
20	Mahoose	271
21	TheWickedBird	269
22	Inbefour	267
23	FreakGenius	264
24	pintsizedrogue	248
25	lordpipe	220
26	Arceus1975	217
27	luseis	198
28	00000000-0000-0000-0009-01ff0c3e5e4f	181
29	Akoot_	178
30	StinkyDiplomat	170
31	wezzzi	168
32	TheShyPig	166
33	Blackberry1310	165
34	Rasmanden	162
35	Kowcio_	155
36	Yamdalorian	153
37	Krowuss	145
38	robonya_	141
39	Steelynan	139
40	LuvLuvLove	135
41	Alteriity	130
42	Werbe	129
43	AnnieBathory	127
44	Racengan	124
45	Njensen7	123
46	Winklepicker279	118
46	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	118
48	xxPipperDipperxx	117
49	sq0id	112
50	YATO202010	108
50	Pofen	108
52	ImpavidArcher	102
52	BlancoFlaco	102
54	SaucyDark	97
55	3_Solar_3	94
56	nattybears	93
57	Di_infiri	92
58	DAD_1996	90
59	Truckoss	88
60	IAmTheWalrus910	86
61	Fullut	81
62	philandr	80
62	DarlaMeow	80
64	ConnorDanky_	74
65	Rumpletaezer	73
66	_witch_craft_	72
66	Onennon	72
68	MattieHD	71
68	_Dean_123	71
70	T045RTY	70
71	BiggieDawg	69
72	r123moore	65
72	NomadicRobin_	65
74	hm947	64
74	Bumpy419	64
74	fxiryglitch	64
77	kekhon	62
78	Malorn_Aetherius	61
78	KeruNatsema	61
80	Bandito_Roamer	60
80	Mr_Byzantine	60
80	MSK__	60
80	Skylord_Luke	60
84	XxCookiequeenxX	58
84	KlausVonStiglitz	58
86	tuckerdoodle	57
86	CoffeeNoir	57
88	Merv__	56
88	Xclax101	56
90	bl1ss0	55
91	Kondzik2008	52
92	excelsionprime	51
93	__tomato	48
93	_i_ERROR_i_	48
95	miramyu	46
96	Xalithia	45
97	wwwwinnebagoooo	44
98	Deathkob	43
99	Marbz_	41
100	Zythose	39
100	Maenara	39
102	Nach0Bear	38
102	Dakar_	38
104	Kubelz	37
105	surfinggiraffejp	36
105	toetagnyc	36
107	Its_Risk	35
108	Wooptey	34
108	Soplight	34
110	PeteO1995	33
110	_k2x	33
112	CaracolCxnt	32
113	Sheldor097	31
114	poopybh	30
115	Kakolbus	29
115	SammiWolfGirl	29
117	diggydog67	28
118	TechnoNinja64	27
119	JETrotter	26
120	joethahobo	24
