rank	username	minecraft:picked_up/minecraft:blackstone_stairs
1	Hyp3rion_	939
2	ogoa	262
3	rarrq	142
4	FishyBoy3811	128
5	Blackberry1310	120
5	Smoke____	120
7	Snowflowe	110
8	TheSecondLord	101
9	fffMike	95
10	Dusk_95	89
11	titanlax	88
12	drunkeeez	83
13	eitanzaki	75
14	Xalithia	68
15	CadenSteele	66
16	jacxhadow	63
17	theonlymagikarp	62
18	soundad	61
18	Enderxz3	61
20	pintsizedrogue	52
21	Mahoose	49
22	Werbe	43
22	CalebDHawk	43
24	iSammael	40
25	thewindmillman	31
26	Eraxa	30
27	Biites	27
28	YungMaki	24
29	ImpavidArcher	23
30	Lord_Jord	21
31	KartivGal	20
31	gusstationwerker	20
33	RoofTyler	19
34	ItsDeltaMC	18
34	Kowcio_	18
36	Lez_	17
36	lordpipe	17
38	beeperbeeper5	16
38	FreakGenius	16
40	Fullut	15
41	gustarlep	13
42	noam464	12
43	benediktine1	11
43	Akoot_	11
43	Steelynan	11
43	ZoomieZoomie	11
47	Mattesco	10
48	BobDeBouwer1337	8
49	T045RTY	7
49	joethahobo	7
51	ShedJr_	4
51	Arceus1975	4
51	Spacewardharpy7	4
54	Paint	3
54	lorpus	3
54	Jackattack53	3
54	luseis	3
54	cichy096	3
59	livingdaydreams	2
59	binman420	2
59	NameGenerat0r	2
59	IvarEXE	2
59	Soplight	2
59	SammiWolfGirl	2
65	PhantomsGhost_	1
65	fanofbands101	1
65	ITDV	1
65	SquadMonster	1
65	Awyrlas	1
65	xxPipperDipperxx	1
65	Touched_Bread	1
65	Di_infiri	1
65	ApophisNova	1
65	ooga47	1
65	TheShyPig	1
65	Gryglu583	1
65	TheCordicus	1
65	Nycteus_	1
65	Racengan	1
65	Mythic1130	1
65	_Yonk_	1
65	SirBreadward	1
65	Iamthejo	1
65	MyNamaSheff	1
65	PlasticOtari	1
65	satuern	1
