rank	username	minecraft:picked_up/minecraft:nether_brick_wall
1	BobDeBouwer1337	613
2	Kakolbus	547
3	m_be9	157
4	TheSecondLord	143
5	kekhon	116
6	Mr_Byzantine	108
7	DermeinUser	98
8	HellsSponge	77
8	FreakGenius	77
10	TheShyPig	74
11	Eraxa	67
12	Kowcio_	63
13	ooga47	62
14	beeperbeeper5	58
15	jacxhadow	56
16	k_ce	45
17	noam464	44
17	yulgur1	44
19	groofles	43
20	PigDab	27
20	Maenara	27
22	Mahoose	26
22	Blaiku	26
24	ImpavidArcher	24
24	mwrty	24
24	seramalen	24
27	Soplight	22
28	Frozil20	21
29	TheBiggestFeller	20
29	PhantomsGhost_	20
29	dudcreeper	20
32	PlasticOtari	18
33	Merv__	14
34	Cowison	13
35	pintsizedrogue	12
35	ECstardust	12
37	hanaryheatwave	10
37	Dooinfe	10
37	FlashMigma	10
40	Bandito_Roamer	9
40	q_wq	9
40	eitanzaki	9
40	MineMaster0012	9
40	Segotep999	9
45	EveryonesUncle	7
46	diamondgolem35	6
46	Secret_Canary	6
46	lordpipe	6
46	_i_ERROR_i_	6
50	Reamdin	5
50	Sheldor097	5
52	ciemacigans	4
52	Di_infiri	4
52	burbankbuilder28	4
52	Bumpy419	4
52	Manaateee	4
52	MrMeisterProper	4
58	PazinGaming	3
58	ShedJr_	3
58	500am	3
58	MyNameIsJobo	3
58	TheEnderMan548	3
58	meilivHD	3
58	TechnoNinja64	3
58	Jimb0nat0r	3
66	I_Am_Mushkin	2
66	rarrq	2
66	shadowthemonkey	2
66	Kynigito	2
66	ADEXTV	2
66	Deathkob	2
66	Racengan	2
66	kyouma777	2
66	BlankityMcBlank	2
66	Biites	2
66	AdmiralSmoke	2
77	Groovy_MoonBird	1
77	teslawolf38	1
77	Gundam_Steven	1
77	Incinere	1
77	Lez_	1
77	Stynxy	1
77	Tiberonus	1
77	Pelbo	1
77	Smashic	1
77	Trixididntdie	1
77	ROY4LE	1
77	SuperPooch06	1
77	Felenov	1
77	RobotMinion101	1
77	Mr_Sun15	1
77	luseis	1
77	Druid95	1
77	WyngGoy	1
77	xzvu	1
77	Kubeusz2010	1
77	anbbang	1
77	Nicserso	1
