rank	username	minecraft:picked_up/minecraft:stone_brick_stairs
1	burbankbuilder28	6546
2	TheShyPig	5317
3	kekhon	4335
4	EveryonesUncle	3852
5	Smoke____	3718
6	Akoot_	3550
7	beeperbeeper5	2960
8	Skylord_Luke	2683
9	Werbe	2498
10	HellsSponge	2388
11	El_Jalapeno	2367
12	rarrq	2077
13	EcksDofficial	2035
14	Arceus1975	1917
15	Freak_Genius	1866
16	_Dean_123	1799
17	TheSecondLord	1762
18	Dedalus36	1739
19	Kakolbus	1712
20	xxPipperDipperxx	1687
21	Onennon	1574
22	m_be9	1301
23	Wolverine4302	1257
24	diamondgolem35	1252
25	MyNameIsJobo	1218
26	fffMike	1183
27	EcksD	1148
28	pintsizedrogue	1080
29	Maenara	1073
30	Ezekson	1069
31	Zythose	1063
32	Di_infiri	1012
33	WyngGoy	1010
34	PlasticOtari	981
35	Legendosh	955
36	Cowison	953
37	MinttyFressh	908
38	500am	898
39	whoaluv	853
40	lcvezra	841
41	Blackberry1310	807
42	thescout7	801
43	Frozil12	790
44	Eraxa	786
45	Xclax101	728
46	joethahobo	689
47	Mahoose	675
48	Rumpletaezer	667
49	Incinere	661
50	ApophisNova	653
50	MyNamaSheff	653
52	Fullut	649
53	impossibleteapot	639
54	Fuhrer_Teemo	611
55	PigDab	602
56	livingdaydreams	596
57	Sky_light_KING	563
58	eviltunix	562
59	Fildyr	554
60	Inchef	533
61	H72l9w	525
62	gcaisawesome	524
63	Shogunite	508
64	YungMaki	506
65	TheDankPlatypus	499
66	Lukeee33	476
67	eitanzaki	468
68	hcb238	466
69	_TCARREIRA_	465
70	Dusk_95	455
71	Malorn_Aetherius	450
72	Ssor69	435
73	Kowcio_	425
74	__tomato	420
75	ImpavidArcher	416
76	Quotary	403
77	Historical_Sand	396
78	RefluxRatio	391
79	Xalithia	390
80	jacxhadow	386
81	Merv__	380
82	Winklepicker279	379
83	Racengan	376
84	noam464	374
85	_stets	370
85	jcool7	370
87	Stiar	352
87	CalebDHawk	352
89	ShedJr_	351
90	Lord_Jord	349
91	YungJakobo	343
92	Skippeh	342
93	Kkanot	335
93	Deathkob	335
95	Jiminie	333
96	StinkyDiplomat	324
97	Vizzoid	323
98	Mr_Byzantine	321
99	Bumpy419	315
100	NomadicRobin_	312
101	Jackattack53	311
102	Snowflowe	310
102	_Karmaa	310
104	Jeteight	308
105	SquadMonster	293
106	set67	291
106	Slapface522	291
108	Warlord324	290
108	SammiWolfGirl	290
110	Enderslayerxz3	274
111	soundad	272
112	JayToe	270
113	LeauVox4921	265
114	jushykins	262
115	Matorz	257
116	MovingFish7	253
117	TechnoNinja64	252
118	Ecplosive	248
119	Iagoku	245
120	NieToksikpl	244
120	Nycteus_	244
122	cog	243
123	Spacewardharpy7	242
123	lordpipe	242
125	TheThomas69	240
125	DermeinUser	240
127	NotKaden_	238
128	ssleepless	236
129	benediktine1	235
130	ROY4LE	227
130	claivin	227
132	Donutt	226
133	tsitrawhy	217
134	Smiguli_	216
135	awesomeoneme	213
136	DemTechAlpha	211
137	SkateboardR6	207
138	madderfall	202
139	Natty	200
140	drumine	199
141	Groovy_MoonBird	196
141	07shiny	196
143	MixerDixer	191
144	laron58	189
145	fr0stss	188
146	mwrty	187
146	Kubelz	187
148	KeruNatsema	185
149	Notta	177
149	thewindmillman	177
151	Megarboh	176
151	Zaridey	176
153	Nicserso	174
154	CaptainDeadBread	172
154	chipklip	172
156	SvenskaHugo	171
157	krutas2000	170
158	layabout100	169
159	DanTheBuilderino	164
159	Spenduh	164
161	Comma__	162
162	KartivGal	157
163	bloodbiter	155
163	selectrix	155
165	ProfessorBee	154
166	PhantomsGhost_	153
167	Healthing	152
168	r123moore	149
169	MattieHD	148
170	Hyp3rion_	146
171	cowgirlkasia	145
172	Luigipunch989	143
173	RoskobiOne	139
174	Louiis123	138
174	TheSeismicDuck	138
174	kinas45y5	138
177	TooManyDuck	136
177	wiqor	136
177	Hiryu27	136
177	Sral7	136
181	FishyBoy3811	135
182	EMC_	133
182	_Cloverbelle_	133
184	Chromary	130
184	xorompole	130
186	sammidk	129
187	felincaus	127
188	VentiHilton	126
189	paranoid_plant	125
189	Soplight	125
191	CoffeeNoir	123
191	Nicky_H225	123
191	FennYuzuna	123
191	oxfordschool	123
195	XboxPanda	122
196	Bandito_Roamer	121
197	Steelynan	119
198	Bobby808	118
199	Lord_Zacler	117
200	Z3braYTIL	115
201	The_slideV3	112
202	SLASHZEERA	111
202	MonitorLizards	111
202	Kijiki	111
202	OfficerAnvil	111
202	HesDemonPants	111
207	dudcreeper	108
207	Ryker	108
207	Zoeyfortnite	108
207	h2p_emrld	108
211	Menthas	107
212	_Nuf	106
212	theofiel	106
212	Yahir091	106
215	LotusProject	104
215	NoChumpChange	104
215	avalan64	104
215	Blu3beast	104
215	TheOuterCore	104
220	Ristebraaten	103
221	Euclidoris	101
222	Corbsman	100
222	wobn	100
222	MyNameIsDakar	100
225	Skomo	99
226	LittleBug562	98
227	RodSerlingCringe	97
228	Mewar	95
228	MilleGrug	95
230	G1ldor	94
230	DarkS0L	94
232	DScatgirls	91
233	Awyrlas	90
233	censorsheep	90
235	lewieinnit	88
236	Soffbord	87
236	jnp_gaming	87
238	Drlzyy	86
239	Tommhh	81
240	I_Am_Mushkin	79
240	Inbefour	79
242	slkiey	78
242	DC_XII	78
242	Powowowow	78
242	JohnPrice	78
246	_Boipl_	77
247	Wowful	76
248	2blox	75
249	Ze_BaronKrigler	74
250	emrekn	72
250	Soap_Bender	72
250	MakeHistory157	72
253	ExtraDumb	70
254	dendydoom	69
255	zorin123	68
255	Factoroni	68
257	shdesolt	67
257	lOlmantschi	67
257	fluddd	67
260	AuroraSkies	66
261	Septemb3r	65
262	pappaberg	63
262	Toiton	63
262	CookTheChef3	63
265	PeteO1995	62
265	RobotMinion101	62
265	XxCookiequeenxX	62
268	Syropatathe	61
268	UltraZombie	61
270	RatatJuice	60
270	BoraMC	60
272	Ailmast	59
272	Reamdin	59
272	kyouma777	59
275	Quincannon	58
275	Blaiku	58
277	luvphan	57
277	cringenaynaybaby	57
279	gaziter10	56
279	AnnieBathory	56
281	jjettii	55
281	LAVA129	55
281	TheOnlyRake	55
284	egglapras	54
284	The11thDoctor	54
284	Hisiste	54
287	KliBeast21	53
288	Myszoaz	52
288	Auseawesome	52
288	Adlair	52
291	Dan_Scha	51
291	MissCeleste7	51
293	Hoid_the_Roamer	50
293	zielkairos	50
293	Kubeusz2010	50
296	SlayerCrypto	49
296	SuperPooch06	49
296	NameGenerat0r	49
299	monolu	48
