rank	username	minecraft:picked_up/minecraft:iron_sword
1	thewindmillman	98
2	masskedman	43
3	Freak_Genius	39
4	El_Jalapeno	37
5	pintsizedrogue	27
6	kinas45y5	26
7	6king6colt6	24
7	Hyp3rion_	24
9	Akoot_	23
10	noam464	22
11	thescout7	21
12	ShedJr_	20
12	Legendosh	20
14	Di_infiri	19
15	rarrq	18
16	TheSecondLord	17
16	kekhon	17
16	Hisiste	17
19	tsohomie	16
19	Malorn_Aetherius	16
19	WyngGoy	16
22	lcvezra	15
22	Smoke____	15
24	beeperbeeper5	14
24	Ezekson	14
24	cichy096	14
27	Fullut	13
27	Spacewardharpy7	13
27	bloomkieren	13
30	lotarp	12
30	picardred	12
30	Blackberry1310	12
30	Sky_light_KING	12
30	sufjanlover	12
30	monky_irl	12
30	Soplight	12
37	Drlzyy	11
37	T045RTY	11
37	Mahoose	11
37	Sparky_KT	11
37	TheShyPig	11
37	djancak	11
37	stahouo	11
37	jnp_gaming	11
45	joethahobo	10
45	DAD_1996	10
45	Werbe	10
45	lizardfightclub	10
45	Syropatathe	10
45	claivin	10
45	MustaLoordi	10
45	Blu3beast	10
45	BlankityMcBlank	10
45	FGamerJ	10
55	Historical_Sand	9
55	Smashic	9
55	Winklepicker279	9
55	Chromary	9
55	Frozil12	9
55	33sudo	9
55	Eraxa	9
55	Kubeusz2010	9
63	ImpavidArcher	8
63	awesomeoneme	8
63	H72l9w	8
63	GingerNeutron	8
63	wezzzi	8
63	Jiminie	8
63	TechnoNinja64	8
63	EcksDofficial	8
71	Wooptey	7
71	MOSS000	7
71	Euclidoris	7
71	bloodbiter	7
71	MattieHD	7
71	IforgotCS_Source	7
71	Jackattack53	7
71	fred870d	7
71	RodSerlingCringe	7
71	Gryglu583	7
71	_Bguette_	7
71	AvaRosey	7
71	Segotep999	7
71	__tomato	7
71	Seindi	7
71	Nicserso	7
71	PlasticOtari	7
88	TheBiggestFeller	6
88	SaucyDark	6
88	eitanzaki	6
88	KomputerDude	6
88	FirsTimeGamingTV	6
88	SpicyMeatballs	6
88	regulator75	6
88	ooga47	6
88	CruncyIsTaken	6
88	Truckoss	6
88	Lord_Jord	6
88	kiluaemc	6
88	chipklip	6
88	WeebleSock	6
88	Groundler	6
88	Leithz6	6
88	Nagasaki_Riku	6
88	CalebDHawk	6
88	VentiHilton	6
107	PhantomsGhost_	5
107	dabloons	5
107	EMC_	5
107	KarlKaek	5
107	ExtraDumb	5
107	Hashinshin69	5
107	Paleshield	5
107	RebelAndroid	5
107	PoofHairGuy	5
107	jushykins	5
107	12Magner05	5
107	Guillemet	5
107	_Dean_123	5
107	Kkanot	5
107	Kamflame10	5
107	emrekn	5
107	swag_bro2004	5
107	GOOBERGABE04	5
107	Bumpy419	5
107	Rebytre	5
107	selectrix	5
107	Jimi7hits	5
107	Joestra	5
107	NomadicRobin_	5
107	Deathkob	5
107	HellsSponge	5
107	SkateboardR6	5
107	Ze_BaronKrigler	5
107	Nekomin0	5
107	Njensen7	5
107	anbbang	5
107	oxfordschool	5
107	MelodyGaysharks	5
140	Jovaphobic	4
140	BlancoFlaco	4
140	livingdaydreams	4
140	Batman922	4
140	Natty	4
140	tramizu	4
140	Ssor69	4
140	Ozixar	4
140	TinMaster	4
140	Khelvoryk	4
