rank	username	minecraft:picked_up/minecraft:pufferfish
1	thewindmillman	17419
2	kekhon	1775
3	PlasticOtari	1362
4	WyngGoy	979
5	Hyp3rion_	905
6	YungMaki	621
7	LordSpeed37	599
8	Fullut	586
9	HellsSponge	451
10	SvenskaHugo	435
11	Myszoaz	424
12	noam464	416
13	censorsheep	360
14	ayamefag	353
15	SvenskaAlvar	343
16	MyNameIsJobo	342
17	TheSecondLord	327
18	TheShyPig	317
19	pintsizedrogue	313
20	Racengan	266
21	Mahoose	251
22	AstreaTSS	231
23	Bandito_Roamer	204
23	PortlyPete69	204
25	__tomato	200
25	_TCARREIRA_	200
27	ImpavidArcher	197
28	Lez_	191
29	ediballbearings	187
30	NameGenerat0r	186
31	DASH_X7	184
32	JayToe	181
33	AdmiralSmoke	176
34	Fildyr	173
35	shadowthemonkey	170
36	Ecplosive	163
37	rarrq	161
38	Segotep999	160
39	Ezekson	150
40	luseis	140
40	FreakGenius	140
42	Mr_Byzantine	138
43	beeperbeeper5	133
44	livingdaydreams	131
45	Blackberry1310	128
45	Kkanot	128
47	Marbz_	123
48	Zoeyfortnite	121
49	CalebDHawk	118
50	Kyrum2169	115
51	joethahobo	111
52	eitanzaki	108
52	Werbe	108
54	jcool7	101
55	Bumpy419	94
56	rylikesrawtoast	92
57	xxPipperDipperxx	89
57	Donutt	89
59	masskedman	88
60	RebelAndroid	87
61	ssleepless	84
61	LilyNova	84
63	h2p_emrld	81
64	Spacewardharpy7	78
65	Froste131	75
66	oscminus	73
66	Legendosh	73
68	xzvu	71
69	jacxhadow	69
69	Rumpletaezer	69
69	Manaateee	69
72	Alteriity	68
72	Inchef	68
72	Hiryu27	68
72	claivin	68
76	Firecracker320	67
77	Felenov	66
78	bloodbiter	65
78	m_be9	65
78	Tiberonus	65
78	Smashic	65
78	gcaisawesome	65
83	chipklip	64
83	wTXop	64
85	Frxnkz	63
85	eiC_	63
87	Skippeh	61
88	CliffEmAll	56
88	ooga47	56
88	Kouridragon	56
88	Warlord324	56
92	ConnorDanky_	55
92	EcksD	55
94	Akoot_	54
94	lillips	54
94	__Auspicious	54
97	Eczbek	53
98	aec9	52
99	Sleek_Storm_721	51
99	Enderxz3	51
101	EveryonesUncle	50
102	Blaiku	49
103	MovingFish7	48
104	Mattesco	47
105	Snowflowe	46
106	k_ce	45
107	EMC_	43
107	wwwwinnebagoooo	43
109	Di_infiri	42
110	KingMatthew506	40
111	SammiWolfGirl	39
112	12Magner05	38
112	Powowowow	38
114	catandmoose	37
114	slkiey	37
114	TechnoNinja64	37
117	Paleshield	36
117	Euclidoris	36
117	JESS_THE_RERE	36
117	lcvezra	36
121	T045RTY	34
121	thescout7	34
121	Zaridey	34
124	KingFaenor	33
124	Cambo5000	33
124	LeauVox4921	33
124	DarlaMeow	33
128	AlphaWolfPlaysMC	32
129	wezzzi	31
130	LetsDoItLive	30
130	Nicserso	30
132	Tyrannosplart	29
132	Blu3beast	29
132	djancak	29
135	TrNrGhost	28
135	Xalithia	28
135	Skylord_Luke	28
135	1442	28
135	Soul_Atreus	28
135	_AAZAR	28
141	Saucepeh	27
141	Megarboh	27
141	Jackattack53	27
144	SaucyDark	26
144	CharlieButt	26
144	yheece	26
144	PigDab	26
148	Touched_Bread	25
148	fxiryglitch	25
148	TheSeismicDuck	25
148	El_Jalapeno	25
152	CollinMH06	24
152	jnp_gaming	24
154	PazinGaming	23
155	Crowman1	22
155	UncreativeArtist	22
155	mwrty	22
155	mimbo1211	22
159	Wooptey	21
159	H72l9w	21
159	Eraxa	21
162	Frozil20	20
162	Rebytre	20
164	corvidpartyfor6	19
164	AvaRosey	19
166	Ailmast	18
166	Gemstuff	18
166	youhjjhhhjj	18
166	Onennon	18
166	Maenara	18
166	Druid95	18
172	500am	17
172	Stephenpoling	17
172	Fuhrer_Teemo	17
172	DemTechAlpha	17
172	Xclax101	17
172	Soplight	17
172	TheOuterCore	17
172	MrMeisterProper	17
180	ECstardust	16
180	Huwulling	16
180	ratglock	16
180	Arceus1975	16
180	JitteryJared2	16
180	Kowcio_	16
186	Paintz	15
186	RustyKedel	15
186	selectrix	15
186	F_Uhre	15
186	master9067	15
186	Toiton	15
186	stellarjay	15
186	Steelynan	15
194	tramizu	14
194	titanlax	14
194	GingerNeutron	14
194	excelsionprime	14
194	fluddd	14
194	ComplexSquirrel	14
194	Njensen7	14
194	Jimb0nat0r	14
202	DinoDoctor_	13
202	Batman922	13
202	ivorico	13
202	redikul	13
202	legal_tax_evader	13
202	ApophisNova	13
202	The11thDoctor	13
202	stavgod	13
202	fffMike	13
202	MyNamaSheff	13
212	Apollo_993	12
212	dudcreeper	12
212	FujiBS	12
212	openatheclose	12
212	Sleepy_Time_	12
212	SvenskaSara	12
212	MAns_44	12
212	QueenShuvi	12
212	Groundler	12
212	Kubeusz2010	12
222	seanitoo	11
222	SuperPooch06	11
222	AnnieBathory	11
222	Lord_Jord	11
222	NomadicRobin_	11
222	monky_irl	11
222	Leithz6	11
229	PhantomsGhost_	10
229	shdesolt	10
229	Nicky_H225	10
229	NotMeanttoChange	10
229	whoaluv	10
229	Zythose	10
229	burbankbuilder28	10
229	_Boipl_	10
229	lizardfightclub	10
229	xolstoi	10
239	Seyaboy	9
239	gaziter10	9
239	Ozixar	9
239	himak1	9
239	Kakolbus	9
239	DeuceBird	9
239	calamariclam_I	9
239	MadmanRaven	9
247	CarsonDoesMine	8
247	KiRemon77	8
247	Furiuosbeast0404	8
247	301851	8
247	Motsaro	8
247	valiSW	8
247	majlin16	8
247	Nycteus_	8
247	MightyWertu	8
247	StarCookiees_	8
247	Jij0	8
247	pixelviolin	8
247	UCP_TheKingK	8
260	Incinere	7
260	ActualPatbaf	7
260	FirsTimeGamingTV	7
260	heckface	7
260	firesgal3116	7
260	pumpfonzo	7
260	Krowuss	7
260	PaperCanvas	7
260	Hahaa_0	7
260	Jiminbub	7
260	Russiancat1	7
260	NYJ	7
260	GravitySaint	7
260	Spenduh	7
260	LeeMcGee30	7
260	EngagedGrub41	7
276	Batoser	6
276	Groovy_MoonBird	6
276	teslawolf38	6
276	bigstankyy	6
276	Ryker	6
276	BodaciousCake	6
276	QuiCreans	6
276	dopplexd	6
276	Auseawesome	6
276	surfinggiraffejp	6
276	Chromary	6
276	RobotMinion101	6
276	AlexxO_o	6
276	Rasmanden	6
276	StitchCrashes	6
276	sq0id	6
276	Typadopoulos	6
276	Kukkelikuk	6
276	IdeallyGrey	6
276	Zetsey	6
276	Luigipunch989	6
297	Jovaphobic	5
297	_darky1_	5
297	Azorathum	5
297	DepressedCubic	5
