rank	username	minecraft:picked_up/minecraft:redstone_lamp
1	Hyp3rion_	23022
2	beeperbeeper5	1169
3	thewindmillman	1066
4	Xclax101	892
5	eitanzaki	662
6	noam464	645
7	Awyrlas	606
8	pintsizedrogue	516
9	MattieHD	366
10	Jackattack53	268
11	lordpipe	257
12	Werbe	255
13	ROY4LE	232
14	El_Jalapeno	225
15	Eczbek	220
16	Zythose	214
17	fffMike	207
18	Akoot_	188
19	Kakolbus	185
20	MangoTheFish	178
21	ProfessorBee	177
22	ApophisNova	166
22	MyNamaSheff	166
24	EveryonesUncle	161
24	Smoke____	161
26	Blu3beast	142
27	kekhon	123
28	SteveCraftBlocks	115
29	MyNameIsJobo	114
30	lillips	110
31	PlasticOtari	106
32	Mahoose	104
33	Di_infiri	98
34	anbbang	97
35	PhantomsGhost_	95
35	m_be9	95
35	thescout7	95
38	Xalithia	92
38	IamCL4SSY	92
40	Spacewardharpy7	81
41	FreakGenius	79
41	Blaiku	79
41	Rainaldus	79
44	NoChumpChange	76
44	_Karmaa	76
46	legal_tax_evader	69
46	RoofTyler	69
48	OfficerAnvil	68
49	joethahobo	66
50	EMC_	65
50	xolstoi	65
52	Shogunite	64
53	500am	63
53	Lord_Jord	63
55	YungMaki	61
56	burbankbuilder28	60
57	Hisiste	58
58	PortlyPete69	57
59	Mattesco	56
60	HellsSponge	54
61	SkateboardR6	53
61	WyngGoy	53
61	CattSoup	53
64	Crowman1	52
64	The_slideV3	52
66	Prismyst	51
67	SSytex_X	50
68	TheShyPig	48
69	ImpavidArcher	46
70	bigstankyy	42
70	Skippeh	42
72	lcvezra	41
72	Steelynan	41
74	rarrq	40
75	_darky1_	39
76	_Dean_123	38
77	Lez_	37
77	Iamthejo	37
79	07shiny	36
80	TheSecondLord	34
81	luseis	33
82	Ssor69	32
82	TheSeismicDuck	32
84	Fildyr	31
85	SammiWolfGirl	30
85	TechnoNinja64	30
87	Arceus1975	28
87	MakeHistory157	28
87	UCP_TheKingK	28
90	jcool7	26
91	Racengan	25
92	PigDab	24
93	Mythic1130	23
93	ConnorDanky_	23
95	MAns_44	22
95	Soplight	22
97	Kowcio_	21
98	mihimihimihi	20
98	EcksD	20
100	jacxhadow	18
100	FishyBoy3811	18
102	Esme_1	16
102	TheThomas69	16
102	Western_1	16
105	Merv__	15
105	Megarboh	15
105	SlayerCrypto	15
105	Maenara	15
105	Vorlice	15
105	jnp_gaming	15
111	Skylord_Luke	14
112	12Magner05	13
112	AnnieBathory	13
112	pixelviolin	13
112	bloomkieren	13
112	Legendosh	13
117	Winklepicker279	12
117	CalebDHawk	12
117	Nicserso	12
117	561cool	12
121	Euclidoris	11
121	SDMNAEK	11
121	gusstationwerker	11
124	CadenSteele	10
124	dopplexd	10
124	Groundler	10
124	Quotary	10
128	ssleepless	9
128	emrekn	9
128	Fuad_R	9
128	Dusk_95	9
128	Ezekson	9
133	mwrty	8
133	r123moore	8
133	Onennon	8
133	PlzNoBM	8
133	MilleGrug	8
138	MuffinManzz	7
138	NotMeanttoChange	7
140	Frozil20	6
140	CoffeeNoir	6
140	Reamdin	6
140	pappaberg	6
140	Kouridragon	6
140	YungWali	6
140	geekbird	6
140	mobunni	6
140	Enderxz3	6
149	T045RTY	5
149	Blackberry1310	5
149	Comma__	5
149	Touched_Bread	5
149	tobinwilliams	5
149	Donutt	5
149	SpouHn	5
149	vandmanden	5
157	PazinGaming	4
157	eiC_	4
157	Snowflowe	4
157	_Boipl_	4
157	_Bguette_	4
157	madderfall	4
157	BumbleBeever	4
157	Warlord324	4
157	Eraxa	4
157	UltraZombie	4
167	ColeSnyder	3
167	RatatJuice	3
167	xxPipperDipperxx	3
167	RIPB0ZO	3
167	Bumpy419	3
167	RobotMinion101	3
167	Matyyy15	3
167	Rasmanden	3
167	valkam13	3
167	Deathkob	3
167	claivin	3
167	StinkyDiplomat	3
167	sp00ky_ghost977	3
180	gary_	2
180	Mr_Byzantine	2
180	6king6colt6	2
180	RebelAndroid	2
180	LoboTheLobster	2
180	Mercadies	2
180	ThePoliteG	2
180	pr33tu	2
180	XboxPanda	2
180	mimbo1211	2
180	Rumpletaezer	2
180	AlexStrange	2
180	Drewen24	2
180	stuy9	2
180	yulgur1	2
180	LexMakesHistory	2
180	kyouma777	2
180	SvenskaHugo	2
180	RealGroot	2
180	Haadrada	2
180	Wolverine4302	2
180	Jordan_R	2
202	TildaAndrea	1
202	Houstonion	1
202	ivorico	1
202	Jackster03	1
202	shdesolt	1
202	Austine6698	1
202	Fullut	1
202	Smashic	1
202	UncreativeArtist	1
202	Tjhodskins19	1
202	LeauVox4921	1
202	arcanemagic	1
202	mariominejedi	1
202	Queen_Jalapeno	1
202	thebaddruid	1
202	CaptainDeadBread	1
202	seramalen	1
202	ougstur	1
202	ClemenPine	1
202	420BreadLizard	1
202	binman420	1
202	Inbefour	1
202	questbox	1
202	Lifedy	1
202	fluddd	1
202	MightyWertu	1
202	thedreadeddream	1
202	Lord_Doob	1
202	Jij0	1
202	Kyrum2169	1
202	stellarjay	1
202	Dogcorn69420	1
202	mawileite	1
202	Hermanni__	1
202	Mr_Teddiursa_K	1
202	MirielThePastor	1
202	UrbanPlanningEx	1
202	bladeefan2009	1
202	Zoeyfortnite	1
