rank	username	minecraft:picked_up/minecraft:mushroom_stem
1	thewindmillman	90211
2	doublemaki	4823
3	Jimb0nat0r	4171
4	Frozil20	3307
5	EMC_	2540
6	Alteriity	2113
7	pintsizedrogue	1935
8	Blaiku	1866
9	Werbe	1659
10	Enderxz3	1473
11	joethahobo	1428
12	Hyp3rion_	1422
13	Lez_	979
14	SpacesickPrism	948
15	Mattesco	901
16	burbankbuilder28	888
17	Kowcio_	883
18	PortlyPete69	764
19	_Dean_123	692
20	emreknugrlu	586
21	mushroomgirl101	564
22	Di_infiri	543
23	_Huge_Male_	521
24	Yamdalorian	460
25	MightyWertu	447
26	Rumpletaezer	404
27	Crowman1	401
28	ApophisNova	398
28	MyNamaSheff	398
30	PlasticOtari	375
31	Manaateee	369
32	noam464	357
33	diggydog67	347
34	bl1ss0	333
35	luseis	298
36	PazinGaming	290
37	beeperbeeper5	289
38	Huwulling	253
39	XxCookiequeenxX	246
40	ConnorDanky_	239
41	EveryonesUncle	234
42	Hoid_the_Roamer	203
43	craaaash	202
44	corpsecity	199
45	Soplight	197
46	xxPipperDipperxx	186
47	Historical_Sand	182
47	lordpipe	182
49	hermmm_	180
50	Ezekson	166
51	kekhon	156
52	_witch_craft_	151
53	Blackberry1310	140
54	Gregward_Smith	139
55	nattybears	138
56	AuroraValkyrie	127
57	Mahoose	125
58	QuiCreans	124
59	oscminus	121
60	hanaryheatwave	120
61	cuddlyMonster	106
62	Blazebit	105
63	Dakar_	96
64	claivin	93
65	RatatJuice	90
65	OreTheBear	90
67	Jackattack53	88
68	titanlax	84
68	Rebytre	84
70	j5ylim	83
71	CoffeeNoir	82
72	LuvLuvLove	78
73	Marbz_	73
74	PhantomsGhost_	72
74	Krowuss	72
76	eitanzaki	70
77	El_Jalapeno	65
78	MattieHD	64
78	groofles	64
80	Xclax101	63
81	CattSoup	60
82	Mr_Byzantine	58
82	Deathkob	58
84	DinoDoctor_	57
85	gcaisawesome	56
86	Lutres_	54
87	SpaceGrenadier	40
87	Chromary	40
87	Akoot_	40
87	NameGenerat0r	40
91	PigDab	39
92	ShedJr_	38
92	WyngGoy	38
94	Tyrannosplart	37
95	12Magner05	35
95	set67	35
97	TheSecondLord	34
98	RebelAndroid	31
98	Arceus1975	31
100	Jindong	30
101	eclipseboi	29
101	pixelviolin	29
103	Ryker	28
103	royal_2	28
103	ROY4LE	28
106	ImpavidArcher	27
106	TheSeismicDuck	27
108	Lord_Jord	24
109	KomputerDude	22
109	djancak	22
111	Maenara	21
112	shineh10	20
112	Euclidoris	20
112	LexMakesHistory	20
112	Spacewardharpy7	20
112	_3Stump_	20
112	KingMatthew506	20
118	500am	18
119	Killercatty78	17
119	Secret_Canary	17
119	AlexxO_o	17
122	MuffinManzz	16
122	thescout7	16
122	MakeHistory157	16
122	TheKingK_	16
122	stellarjay	16
122	CalebDHawk	16
128	HellsSponge	15
129	Nicserso	14
130	T045RTY	13
130	Awyrlas	13
132	powercas_gamer	12
133	miramyu	11
134	Hpdinosaur	10
134	eviltunix	10
134	txxskx	10
134	Kyrum2169	10
138	lorywithay	9
138	MovingFish7	9
138	Legendosh	9
141	shadowthemonkey	8
141	SuperPooch06	8
141	Onennon	8
141	__tomato	8
141	Steelynan	8
141	Kubeusz2010	8
147	RobotMinion101	7
147	mihimihimihi	7
147	TheBananaKat	7
147	trexgb	7
151	Merv__	6
151	SyntheticSurgeon	6
151	SellyZ	6
151	Kakolbus	6
151	FreakGenius	6
151	TwinTowerV2	6
157	KingFaenor	5
157	Incinere	5
157	SquadMonster	5
157	Cryptacity	5
157	MinttyFressh	5
157	_Nuf	5
157	mwrty	5
157	Inbefour	5
157	IAmTheWalrus910	5
157	ediballbearings	5
157	es0th	5
168	Sleek_Storm_721	4
168	TipDuy3010	4
168	crying_wolf_13	4
168	Vetral1	4
168	Nicky19	4
168	masskedman	4
168	Avocadogerms	4
168	_flud	4
168	BumbleBeever	4
168	Cache3	4
168	AssFullaCum	4
168	Pumpkin_P_Patch	4
168	LeEricc	4
181	diamondgolem35	3
181	gren_ben	3
181	nocturne78	3
181	JESS_THE_RERE	3
181	jcool7	3
181	jnp_gaming	3
187	Xalithia	2
187	SvenskaSara	2
187	Shiirazu	2
187	kimm_e621	2
187	IamCL4SSY	2
192	Napoleonpancake	1
192	Zippyzam	1
192	Malorn_Aetherius	1
192	Sleepy_Evelyn	1
192	Scathra	1
192	QueenCamilla	1
192	PaperCanvas	1
192	CarryLine	1
192	fw3xy	1
192	Fuad_R	1
192	ItsDeltaMC	1
192	robonya_	1
192	Sral7	1
