rank	username	minecraft:picked_up/minecraft:stripped_spruce_wood
1	beeperbeeper5	2423
2	kekhon	456
3	pintsizedrogue	444
4	Rebytre	347
5	noam464	219
6	Enderslayerxz3	161
7	xxPipperDipperxx	131
8	YungMaki	128
9	Mahoose	118
10	rarrq	111
11	Leyna3	96
12	M_Patata	79
13	Groundler	66
14	MasterNueve	60
15	Smoke____	50
16	JESS_THE_RERE	43
17	Legendosh	41
18	Eraxa	38
19	Ezekson	35
20	valkam13	33
20	Soplight	33
22	PigDab	32
23	diamondgolem35	31
24	Frozt99	30
25	Harotio	26
26	Inbefour	24
27	BlancoFlaco	22
27	500am	22
27	Inchef	22
27	MyNameIsJobo	22
31	Deathkob	21
32	Frozil12	19
32	Steelynan	19
34	EcksDofficial	17
35	ImpavidArcher	14
36	Drlzyy	12
37	Blackberry1310	11
38	EveryonesUncle	10
39	Fullut	9
39	NameGenerat0r	9
39	Spacewardharpy7	9
39	Segotep999	9
43	EcksD	8
44	JingleLizi	7
44	BreadBacon	7
46	Marbz_	6
46	Rasmanden	6
46	TechnoNinja64	6
49	TheShyPig	5
49	SammiWolfGirl	5
51	Menthas	4
51	Di_infiri	4
51	HolyVenom	4
51	Spenduh	4
51	WYFYoyo	4
51	diggydog67	4
57	MSK__	3
57	Kakolbus	3
57	JWiseheart	3
57	Akoot_	3
57	_Karmaa	3
57	SvenskaHugo	3
63	strongman951753	2
63	12Magner05	2
63	Chromary	2
63	DAD_1996	2
63	zielkairos	2
63	ApophisNova	2
63	Vetral1	2
63	TTNG	2
63	Hisiste	2
63	IdeallyGrey	2
63	MyNamaSheff	2
74	CueMix	1
74	rachcl	1
74	Natty	1
74	Jackster03	1
74	Historical_Sand	1
74	m_be9	1
74	Enigma0251	1
74	Tmb1	1
74	Kkanot	1
74	GLLogan2	1
74	Zythose	1
74	regulator75	1
74	KeruNatsema	1
74	RodSerlingCringe	1
74	claivin	1
74	lordpipe	1
