rank	username	minecraft:picked_up/minecraft:glow_lichen
1	thewindmillman	53338
2	pintsizedrogue	3443
3	Jiminie	2128
4	EMC_	1006
5	Marbz_	562
6	Smoke____	478
7	Enderslayerxz3	340
8	PlasticOtari	336
9	500am	278
10	beeperbeeper5	124
11	Ryker	99
12	Lutres_Torane	83
13	12Magner05	69
14	Steelynan	68
15	Fuad_R	64
16	SuperPooch06	50
17	wwwwinnebagoooo	48
18	RoskobiOne	46
19	joethahobo	44
20	_Boipl_	37
21	Prismyst	34
22	Blackberry1310	32
23	AuroraSkies	30
24	WYFYoyo	27
25	NomadicRobin_	26
25	Legendosh	26
27	Kakolbus	23
27	Kowcio_	23
29	Akoot_	21
30	ShedJr_	20
31	Mahoose	18
32	RebelAndroid	17
33	orxngejuice	12
34	Jeteight	10
34	kyouma777	10
34	Soplight	10
37	Inchef	9
37	ToastedGamingYT	9
37	Ezekson	9
40	Quotary	8
41	TerraVl	6
41	lordpipe	6
41	EtherealEspresso	6
41	SpacesickPrism	6
45	Freak_Genius	5
45	Vegvisir	5
47	neurotic_a	4
47	Sleepy_Time_	4
47	YungMaki	4
50	Spacewardharpy7	3
50	iSammael	3
50	TheALV	3
53	Flores991	2
53	Da_Boss_Rani	2
53	eli_tschki	2
53	ApophisNova	2
53	Toasty_Tom	2
53	MyNamaSheff	2
59	RatatJuice	1
59	Smashic	1
59	Deathkob	1
59	MyNameIsDakar	1
59	sp00ky_ghost977	1
