rank	username	minecraft:picked_up/minecraft:bubble_coral_block
1	crashomon	1028
2	Enderxz3	1017
3	pintsizedrogue	808
4	TheShyPig	453
5	YungMaki	443
6	ImpavidArcher	375
7	_Dean_123	318
8	Nicserso	311
9	Hyp3rion_	299
10	500am	288
11	HellsSponge	243
12	Kouridragon	240
13	thewindmillman	202
14	skroobiez	169
14	12Magner05	169
16	Di_infiri	150
16	EcksD	150
18	Jovaphobic	141
19	AuroraValkyrie	137
19	Vetral1	137
21	RoskobiOne	129
22	tsohomie	120
23	Merv__	118
23	ApophisNova	118
23	MyNamaSheff	118
26	Mewar	95
27	Fullut	86
27	lordpipe	86
29	Xalithia	84
30	j5ylim	77
31	Kowcio_	76
32	Maenara	74
33	Lez_	72
33	Onennon	72
35	Mahoose	71
35	Marbz_	71
37	livingdaydreams	65
37	xxPipperDipperxx	65
39	excelsionprime	56
40	burbankbuilder28	52
40	djancak	52
42	Jackattack53	49
43	Archsam	47
44	Deathkob	46
45	Iagoku	44
45	TheSeismicDuck	44
47	r123moore	42
48	eiC_	40
48	Skylord_Luke	40
48	Xclax101	40
51	mihimihimihi	33
51	Kura2218	33
53	diggydog67	32
54	urbeans	31
55	emrekn	30
56	Rumpletaezer	29
57	surfinggiraffejp	27
57	Inbefour	27
57	PortlyPete69	27
57	SpacesickPrism	27
61	__tomato	25
61	PlasticOtari	25
63	aec9	22
64	SmashingPump	21
64	Ssor69	21
64	RebytreGT	21
67	dudcreeper	20
67	BodaciousCake	20
67	Legendosh	20
70	TheWickedBird	19
71	Krowuss	18
71	YungWali	18
71	Karbl	18
71	Yamdalorian	18
75	Groovy_MoonBird	17
75	Bandito_Roamer	17
75	Inchef	17
75	Druid95	17
75	laron58	17
75	erkada	17
81	6king6colt6	16
82	_Nat666	15
82	Fizznut909	15
82	Quotary	15
85	CoffeeNoir	14
85	jnp_gaming	14
87	RobotMinion101	13
87	KeruNatsema	13
87	weabis	13
90	joethahobo	12
90	kekhon	12
90	CollinMH06	12
90	Arceus1975	12
90	NameGenerat0r	12
90	WyngGoy	12
90	Powowowow	12
97	F_Uhre	11
97	FreakGenius	11
97	KingMatthew506	11
100	bigstankyy	10
100	Noah_Bez	10
100	Typadopoulos	10
100	Faart	10
104	Historical_Sand	9
105	eitanzaki	8
105	monky_irl	8
107	KarlKaek	7
107	SaucyDark	7
107	titanlax	7
107	Blaiku	7
107	miramyu	7
107	Jimb0nat0r	7
113	PhantomsGhost_	6
113	Prismyst	6
113	noam464	6
113	M_Patata	6
113	Eerini	6
113	El_Jalapeno	6
113	MasterNueve	6
113	IAmTheWalrus910	6
113	BreadBacon	6
113	h2p_emrld	6
123	Kakolbus	5
123	oscminus	5
123	AlexxO_o	5
123	GooseWithin	5
123	claivin	5
123	pixelviolin	5
129	ratglock	4
129	hanaryheatwave	4
129	Voxin2K	4
129	StinkyDiplomat	4
129	censorsheep	4
129	AvaRosey	4
135	Incinere	3
135	crying_wolf_13	3
135	Hiryu27	3
135	_i_ERROR_i_	3
139	Hydro___________	2
139	IamCL4SSY	2
139	EdGalbraith	2
139	TechnoNinja64	2
143	H0UNDFRMH3LL	1
143	ShedJr_	1
143	Cryptacity	1
143	Azmodan_246	1
143	Nicky19	1
143	luseis	1
143	Lekol	1
143	fluddd	1
143	Groundler	1
143	MilleGrug	1
143	Steelynan	1
143	FishisTTV	1
