rank	username	minecraft:picked_up/minecraft:gold_ore
1	Frozil12	48048
2	joethahobo	8482
3	TheShyPig	5182
4	lordpipe	4371
5	YungMaki	3409
6	Fullut	3153
7	Werbe	3006
8	gcaisawesome	2911
9	alderban107	2893
10	Enderslayerxz3	2821
11	Di_infiri	2766
12	chipklip	2603
13	Smoke____	2510
14	The11thDoctor	2459
15	Skippeh	2397
16	livingdaydreams	2362
17	rarrq	2328
18	thewindmillman	2180
19	Steelynan	2127
20	Ezekson	2030
21	Spacewardharpy7	1922
22	Mahoose	1914
23	ROY4LE	1861
24	HellsSponge	1708
25	Hyp3rion_	1647
26	PhantomsGhost_	1624
27	Blaiku	1520
28	Cocoamallows	1509
29	oxfordschool	1502
30	stahouo	1467
31	BobDeBouwer1337	1463
32	Snowflowe	1414
33	mwrty	1409
34	m_be9	1392
35	Freak_Genius	1365
36	Bumpy419	1324
37	claivin	1301
38	Skylord_Luke	1268
39	vandmanden	1258
40	Zaridey	1252
41	pintsizedrogue	1246
42	EMC_	1243
43	MovingFish7	1219
44	Cowison	1173
45	PigDab	1157
46	RodSerlingCringe	1120
47	FallenCorps	1106
48	Miko_Fullbuster	1104
49	MightyWertu	1094
50	beeperbeeper5	1087
51	wezzzi	1069
52	sp00ky_ghost977	1052
53	Barlycorn	1030
54	Rumpletaezer	983
55	500am	977
56	Hoid_the_Roamer	976
57	Hisiste	961
58	SaucyDark	956
59	Kakolbus	953
60	Nicserso	940
61	censorsheep	930
62	Airem_Core	920
63	T045RTY	919
64	Deathkob	910
65	fred870d	905
65	__tomato	905
67	gabriels543	891
68	Xclax101	885
69	awesomeoneme	884
70	Franco093	879
71	yulgur1	877
72	cedric72	862
73	Bandito_Roamer	860
74	kekhon	852
75	MilleGrug	826
76	Vetral1	812
77	Zythose	811
78	TheSecondLord	808
79	thescout7	798
80	TheDankPlatypus	791
81	Blackberry1310	788
82	Maenara	785
83	ApophisNova	781
83	MyNamaSheff	781
85	Dedalus36	777
86	Menthas	769
87	RebelAndroid	742
88	Windo_licker	726
89	Inbefour	719
90	Deodorante	715
91	6king6colt6	712
92	Ecplosive	709
93	MyNameIsJobo	696
94	Legendosh	695
95	Lord_Jord	692
96	mariominejedi	687
97	lcvezra	686
98	Onennon	685
99	h2p_emrld	681
100	PeteO1995	662
101	_naturell	655
101	ayamefag	655
103	AssFullaCum	646
104	Jovaphobic	641
105	PlzNoBM	638
106	Mewar	634
107	12Magner05	632
108	Jackattack53	630
109	DarlaMeow	629
110	TooManyDuck	627
110	EveryonesUncle	627
112	masskedman	624
113	Corbsman	607
114	Groovy_MoonBird	597
115	Nyxiom_	596
115	PlasticOtari	596
117	_8man	593
118	Warlord324	585
119	Euclidoris	576
120	anbbang	571
121	Racengan	570
122	SpaceGrenadier	566
123	RefluxRatio	565
124	EfficientC52	557
125	G1ldor	556
126	Hiryu27	552
127	GoofyBread	548
128	set67	544
129	RadarHz	543
130	Akoot_	536
131	lotarp	534
132	Steven1282598	531
132	Kowcio_	531
132	_TCARREIRA_	531
135	Arceus1975	526
136	Malorn_Aetherius	519
137	youhjjhhhjj	512
138	Meatlaugh	502
139	M_Patata	498
140	_Nuf	493
140	djancak	493
142	KarlKaek	480
143	MasterNueve	479
144	AuroraValkyrie	478
144	I_Am_Mushkin	478
144	Dogcorn69420	478
147	Comma__	474
148	KingMatthew506	471
149	CoffeeNoir	470
150	UncreativeArtist	469
151	Xalithia	468
152	Noah_Bez	467
153	Sabby65	463
154	Vizzoid	458
155	Soplight	455
156	WyngGoy	453
157	fanofbands101	451
158	NomadicRobin_	448
159	XboxPanda	439
160	diamondgolem35	438
161	boog4loo	436
162	Winklepicker279	434
162	SammiWolfGirl	434
164	Typadopoulos	432
165	BlancoFlaco	431
166	_Virify_	430
167	Njensen7	429
168	DarkS0L	425
169	Toriankel	423
169	jcool7	423
171	ImpavidArcher	421
171	zorin123	421
173	TheThomas69	420
174	teslawolf38	418
174	SingedBread	418
176	fkGrim	416
177	Hermanni__	414
178	ProfessorBee	412
179	eitanzaki	411
179	lizardfightclub	411
181	bloomkieren	409
182	RedcatVII	408
183	Soap_Bender	405
184	SuperPooch06	403
184	SSytex_X	403
186	Reamdin	402
187	Sky_light_KING	398
188	MattieHD	396
189	ShedJr_	393
190	H72l9w	391
191	Awyrlas	388
191	epiksk8erduck	388
193	NYJ	386
194	PegLegPete93	385
195	Decaying_Lotus	383
196	TheSeismicDuck	381
197	Kyrum2169	380
198	monky_irl	377
199	Groundler	376
199	TechnoNinja64	376
201	Paint	375
201	fluddd	375
203	ClemenPine	370
204	lewieinnit	369
204	picardred	369
206	Fildyr	368
207	Eczbek	366
208	MangoTheFish	365
209	BumbleBeever	363
210	bloodbiter	359
211	Darkgon	358
211	Powowowow	358
213	NameGenerat0r	355
214	Tobinator_007	352
214	Merv__	352
214	Houstonion	352
217	Russiancat1	351
218	DaviusMaximoose	349
219	SwooshBoi	348
220	Shogunite	347
221	FelixPSY375	346
222	FishyBoy3811	344
223	ImDisconnected_	342
224	Kijiki	340
225	SkateboardR6	338
226	Scathra	334
227	jnp_gaming	333
228	NinjaKnifeKill	331
228	starbits140	331
230	301851	328
231	Zoeyfortnite	327
232	501g	326
233	Historical_Sand	324
233	cytotoxaint	324
233	KG1999	324
236	Zedducius	323
236	Skomo	323
238	1442	322
239	__Fanda__	320
240	surfinggiraffejp	317
240	intropass	317
242	TheTrueClipse	312
243	Covalents	311
244	xxPipperDipperxx	308
245	SeverianTheLame	306
246	Jackster03	301
247	Thaumatarge	299
248	eiC_	298
248	selectrix	298
250	NoChumpChange	297
250	Sral7	297
252	yatsuta	294
252	Dreamdbr14	294
254	amkold	292
255	Quaintster	289
256	RyuNeko932000	288
257	wfk7	287
258	Kamflame10	285
259	MeetTheWollo	283
260	silverpopcorn	282
261	noam464	279
262	FirsTimeGamingTV	278
262	El_Jalapeno	278
264	Factoroni	276
265	NotMeowMix	275
266	IWorkAtIkea	271
267	layabout100	269
268	_Karmaa	268
268	geekbird	268
270	redikul	266
271	Kim_Jong_eel	265
272	Razzgriz	262
273	fffMike	261
274	platinumzero	259
275	CoryJJ	258
276	ssleepless	255
276	eviltunix	255
276	AlphaWolfPlaysMC	255
279	Froste131	253
279	gaziter10	253
281	Batman922	251
282	_3Stump_	250
282	kinas45y5	250
284	Syropatathe	248
285	ExtraDumb	247
285	DTwenty	247
287	TheTommyGun63	246
288	Jiminie	244
289	bigstankyy	243
290	Wooptey	242
291	Ozixar	241
291	Blu3beast	241
291	laron58	241
294	soundad	240
295	07shiny	237
296	Valoth	235
296	ElectricDragon81	235
296	EcksDofficial	235
299	Invisie	232
300	MakeHistory157	231
