rank	username	minecraft:picked_up/minecraft:prismarine_wall
1	Ezekson	1968
2	beeperbeeper5	1128
3	Akoot_	734
4	CliffEmAll	581
5	noam464	349
6	Arceus1975	276
7	Mr_Byzantine	228
8	eitanzaki	145
8	MightyWertu	145
10	Legendosh	114
11	Lord_Jord	112
12	Alteriity	80
13	joethahobo	57
14	Jackattack53	56
15	Blackberry1310	55
16	Merv__	53
17	Di_infiri	45
18	Maenara	43
19	HellsSponge	31
20	Powowowow	30
21	Hiryu27	27
21	Spacewardharpy7	27
23	EMC_	24
24	Hyp3rion_	22
25	Fullut	21
25	FreakGenius	21
25	Yamdalorian	21
28	Enderxz3	16
29	m_be9	13
29	lizardfightclub	13
29	The_slideV3	13
32	Notta	11
32	thewindmillman	11
34	2blox_	10
35	StarCookiees_	9
36	LuvLuvLove	8
37	AuroraValkyrie	7
37	mymayowasgone	7
37	Vorlice	7
40	Tersea_	6
40	djancak	6
42	xDraggin	5
43	Frozil20	4
43	ImpavidArcher	4
43	ShedJr_	4
43	TheSecondLord	4
43	noodlepack	4
43	Druid95	4
43	MakeHistory157	4
43	stavgod	4
43	AltnumberF4	4
52	cuddlyMonster	3
52	_flud	3
54	Apollo_993	2
54	Mahoose	2
54	Hoid_the_Roamer	2
54	Blaiku	2
54	BumbleBeever	2
54	Pumpkin_P_Patch	2
54	Steelynan	2
61	Niklas20114552	1
61	12Magner05	1
61	hanaryheatwave	1
61	TheShyPig	1
61	Manaateee	1
61	Vellu21	1
61	EcksD	1
61	TechnoNinja64	1
61	Jimb0nat0r	1
61	es0th	1
