rank	username	minecraft:picked_up/minecraft:iron_ingot
1	Hyp3rion_	1424421
2	EcksD	769625
3	noam464	554594
4	Blaiku	264337
5	PigDab	153756
6	thewindmillman	134957
7	eitanzaki	111201
8	gcaisawesome	97683
9	Mythic1130	92337
10	Jackattack53	71722
11	EMC_	48248
12	Spacewardharpy7	43494
13	mihimihimihi	37832
14	Di_infiri	28629
15	Hisiste	24190
16	HellsSponge	13224
17	beeperbeeper5	12940
18	Werbe	11799
19	Smoke____	11739
20	thescout7	11553
21	mwrty	7125
22	YungMaki	5805
23	FreakGenius	5568
24	TechnoNinja64	5154
25	Iamthejo	5000
26	Quotary	4621
27	ConnorDanky_	4118
28	jnp_gaming	3442
29	ImpavidArcher	3407
30	MightyWertu	3243
31	Bumpy419	3105
32	Inbefour	2979
33	Lord_Jord	2774
34	Fuad_R	2710
35	Kakolbus	2596
36	Mahoose	2550
37	Jimi7hits	2215
38	fffMike	2067
39	ayamefag	2057
40	El_Jalapeno	1839
41	luseis	1774
42	Historical_Sand	1747
43	masskedman	1743
44	ROY4LE	1705
45	Kijiki	1697
46	joethahobo	1679
47	Chromary	1647
48	youhjjhhhjj	1635
49	kekhon	1623
50	Kowcio_	1528
51	MirielThePastor	1468
52	Toriankel	1427
53	lordpipe	1424
54	The_slideV3	1360
55	MyNameIsJobo	1356
56	xolstoi	1347
57	KingMatthew506	1324
58	Smashic	1268
59	WyngGoy	1246
60	Awyrlas	1219
61	rarrq	1208
62	pintsizedrogue	1202
63	Tyrannosplart	1151
64	Comma__	1093
65	PlasticOtari	1091
66	Soplight	1088
67	r123moore	1062
67	__tomato	1062
69	audiocracked	1013
70	ApophisNova	1009
70	MyNamaSheff	1009
72	Frozil20	1007
73	Lutres_Torane	992
74	AlexxO_o	980
75	PhantomsGhost_	951
76	lizardfightclub	930
77	Legendosh	895
78	Blu3beast	884
79	groofles	875
80	mariominejedi	874
81	Ezekson	858
82	Sral7	845
83	yulgur1	833
84	Akoot_	831
85	T045RTY	822
85	tsitrawhy	822
87	Fullut	804
88	6king6colt6	792
89	TheShyPig	779
90	Groundler	769
91	SyntheticSurgeon	750
92	Corbsman	747
93	Z3braYTIL	745
94	MustaLoordi	734
95	Kubeusz2010	700
96	StinkyDiplomat	699
97	SkateboardR6	689
98	SvenskaHugo	678
99	TheSeismicDuck	654
100	diamondgolem35	646
101	hcb238	622
102	Megarboh	620
102	anbbang	620
104	2bolx_	604
105	MattieHD	596
106	weezygator	591
106	obzii	591
108	Saltymart	584
109	himak1	578
109	Skylord_Luke	578
111	Steelynan	570
112	KarlKaek	536
112	TheDankPlatypus	536
114	_Karmaa	529
115	ThiccExotic	526
116	wTXop	519
117	Cryptacity	492
118	xxPipperDipperxx	485
119	Iagoku	475
120	vandmanden	469
121	TheSecondLord	464
122	eclipseboi	457
123	_Virify_	453
124	Blackberry1310	452
125	Ev0luti0nz	448
126	Eraxa	439
126	Nicserso	439
128	Luminad3	435
129	Sleepy_Time_	432
129	Slavisaa	432
131	TeenMomTom	426
132	seanitoo	425
132	TheWildMateo	425
134	cheerytomato	420
135	weabis	416
136	Wowful	415
137	zToasty69z	407
137	SpacesickPrism	407
139	SaintJosie	406
140	Jeteight	402
141	Groovy_MoonBird	398
142	GoofySilly	396
143	SaucyDark	389
144	hdtpm	380
145	Zoeyfortnite	375
146	Hiryu27	369
147	censorsheep	367
148	Skomo	365
148	claivin	365
150	JESS_THE_RERE	359
151	set67	358
152	Racengan	357
153	DkansK	355
154	RefluxRatio	352
155	Jovaphobic	351
156	gusstationwerker	337
157	Arceus1975	336
158	Inchef	334
159	stavgod	332
160	Prismyst	328
161	Enderxz3	327
162	Powowowow	324
163	Ryker	322
163	Zythose	322
163	SUN_DREAM	322
163	SammiWolfGirl	322
167	WET_WET_WET	319
168	JMK208	314
169	Smussa	311
170	Killercatty78	310
171	ProfessorBee	309
172	KeruNatsema	305
173	laron58	304
174	Scathra	298
175	Maenara	296
176	KingFaenor	295
176	cedric72	295
176	Eczbek	295
179	F_Uhre	292
180	Lez_	291
181	Dogcorn69420	290
182	Marbz_	289
183	Shogunite	286
184	yatsuta	285
184	bladeefan2009	285
186	jewbacaman	280
187	DanTheBuilderino	279
188	burbankbuilder28	278
188	Burge_r	278
188	07shiny	278
191	Syropatathe	277
192	_Bguette_	276
193	intropass	271
193	Kubelz	271
195	Bandito_Roamer	268
196	Njensen7	266
197	Huwulling	263
198	DirtyDalle	261
198	MinttyFressh	261
200	sp00ky_ghost977	254
201	Soul_Atreus	252
202	Flores991	251
203	Flapjacker687	250
203	NomadicRobin_	250
205	tsohomie	246
206	Xclax101	245
206	smogfrog	245
208	lcvezra	244
209	eviltunix	243
210	benediktine1	242
211	m_be9	237
212	BlancoFlaco	235
212	Xalithia	235
212	Rainaldus	235
212	EngagedGrub41	235
216	NameGenerat0r	232
216	xzvu	232
216	PlzNoBM	232
219	MyNameIsDakar	231
219	LeeMcGee30	231
219	DigDoug30	231
222	picardred	230
223	I_Am_Mushkin	227
223	Hpdinosaur	227
223	Snowflowe	227
226	Hoid_the_Roamer	226
227	RebelAndroid	224
227	Valoth	224
227	KSI	224
230	djancak	223
231	Eman__1	221
231	gabriels543	221
233	Jiminbub	220
234	SDMNAEK	218
235	emrekn	212
236	Onennon	211
237	fluddd	210
237	Jij0	210
239	fanofbands101	208
239	Vellu21	208
241	surfinggiraffejp	205
242	Deerfoot	204
243	Dusk_95	203
244	Alteriity	202
245	IamCL4SSY	199
246	bloodbiter	198
247	Cowison	197
247	DaviusMaximoose	197
249	RatatJuice	194
249	Adlair	194
249	ooga47	194
252	bruh072	193
253	Drewen24	190
253	Fakiuss	190
253	DTwenty	190
256	MousePlays	189
257	dudcreeper	188
257	paranoid_plant	188
259	jimintyy	187
259	lillips	187
261	jushykins	185
262	SuperPooch06	183
263	AssFullaCum	179
264	ManUtdBoy_	178
265	Warlord324	177
265	cichy096	177
267	Kyrum2169	176
268	fade_emerge78823	175
268	John6970	175
268	legal_tax_evader	175
268	420BreadLizard	175
272	Lord_Zacler	172
272	monky_irl	172
274	4774	171
274	RobotMinion101	171
276	Mr_Byzantine	170
277	wezzzi	168
277	OffWithTheirHead	168
279	boog4loo	166
280	squigglybones	164
280	Wooptey	164
280	Rebytre	164
280	ReyTheLegend	164
284	AvaRosey	162
285	Tjhodskins19	161
286	BRRRN179	159
287	Meepcraft	155
288	gaziter10	154
288	MovingFish7	154
288	K_a__a_n	154
288	MayonaiseMonkey	154
292	OG_Songsee	153
293	2Stout	152
293	Fildyr	152
295	TooManyDuck	151
295	Ripzch	151
297	ewsophie	150
297	jcool7	150
299	Rich_Kat	149
300	elleparo	147
