rank	username	minecraft:picked_up/minecraft:dirt
1	EveryonesUncle	444843
2	joethahobo	382396
3	TheShyPig	218194
4	Smoke____	159000
5	Di_infiri	154416
6	Spacewardharpy7	154304
7	HellsSponge	152519
8	Ezekson	135509
9	pintsizedrogue	124925
10	PigDab	123108
11	Freak_Genius	120717
12	gcaisawesome	120035
13	LordSpeed37	119737
14	YungMaki	108437
15	beeperbeeper5	106863
16	awesomeoneme	102228
17	thescout7	94594
18	El_Jalapeno	91183
19	Skylord_Luke	87337
20	Legendosh	86751
21	Miko_Fullbuster	80876
22	Menthas	74500
23	Blaiku	72980
24	eitanzaki	71420
25	noam464	70806
26	Lord_Jord	68158
27	burbankbuilder28	66860
28	Werbe	62613
29	kekhon	62187
30	Frozil12	61053
31	Arceus1975	56846
32	Blackberry1310	56599
33	Cowison	56516
34	m_be9	55984
35	lordpipe	54438
36	ROY4LE	52446
37	cedric72	51262
38	Jovaphobic	50299
39	rarrq	48716
40	Mahoose	48614
41	ApophisNova	48057
41	MyNamaSheff	48057
43	Enderslayerxz3	45961
44	CoffeeNoir	44251
45	himak1	43715
46	Akoot_	42748
47	Steelynan	40912
48	Onennon	37582
49	500am	36712
50	TechnoNinja64	36066
51	TooManyDuck	35435
52	thewindmillman	35328
53	ImpavidArcher	35251
54	Blu3beast	35102
55	mwrty	34034
56	Kakolbus	33977
57	hcb238	33898
58	Zythose	33449
59	Hyp3rion_	32906
60	stahouo	32366
61	Deathkob	31989
62	TheSecondLord	31740
63	MightyWertu	31384
64	lcvezra	30300
65	xxPipperDipperxx	30031
66	BlancoFlaco	29858
67	Snowflowe	28810
68	FelixPSY375	28757
69	vandmanden	28593
70	Fullut	27829
71	jnp_gaming	27578
72	EMC_	27418
73	RebelAndroid	27290
74	Racengan	27252
75	Merv__	26585
76	Inchef	26429
77	Hermanni__	26346
78	EcksD	25900
79	_Dean_123	25208
80	MyNameIsJobo	25117
81	NoChumpChange	23540
82	12Magner05	22867
83	emrekn	22809
84	ExtraDumb	22510
85	EcksDofficial	22390
86	OfficerAnvil	22000
87	Jackattack53	21800
88	Lutres_Torane	21726
89	wezzzi	21633
90	Inbefour	21534
91	Rebytre	21475
92	Groovy_MoonBird	21160
93	Wooptey	21148
94	Bumpy419	21008
95	Warlord324	20970
96	RodSerlingCringe	20585
97	set67	20547
98	chimpmunker	20512
99	fffMike	20504
100	_Bguette_	20261
101	Soplight	20242
102	PhantomsGhost_	19853
103	SuperPooch06	19825
104	lillips	19771
105	KarlKaek	19487
