rank	username	minecraft:picked_up/minecraft:iron_boots
1	Hyp3rion_	1114
2	thewindmillman	434
3	oscminus	397
4	noam464	321
5	Blaiku	253
6	eitanzaki	82
7	Di_infiri	57
8	AdmiralSmoke	56
9	masskedman	51
10	FreakGenius	46
11	OreTheBear	40
12	T045RTY	39
13	pintsizedrogue	38
14	diamondgolem35	34
15	gcaisawesome	33
16	beeperbeeper5	31
17	Jackattack53	30
18	ediballbearings	29
19	luseis	28
20	Legendosh	27
21	PigDab	24
22	TheSecondLord	22
22	cichy096	22
24	Smashic	21
24	Spacewardharpy7	21
26	rarrq	20
26	El_Jalapeno	20
28	Soplight	19
28	EcksD	19
30	Mahoose	18
31	ShedJr_	17
31	mwrty	17
31	Akoot_	17
31	PlasticOtari	17
31	xolstoi	17
36	Kakolbus	16
36	Eraxa	16
36	Kowcio_	16
36	YungMaki	16
36	xzvu	16
36	Jimb0nat0r	16
42	Jokerman369	14
42	lillips	14
44	SmashingPump	13
44	_Mythic____	13
46	Frozil20	12
46	Fullut	12
46	diggydog67	12
49	Rebytre	11
49	TheShyPig	11
49	Manaateee	11
49	HellsSponge	11
53	Werbe	10
53	Groundler	10
53	mihimihimihi	10
53	__tomato	10
53	Quotary	10
58	bigstankyy	9
58	RebelAndroid	9
58	12Magner05	9
58	set67	9
58	wezzzi	9
58	fluddd	9
58	lordpipe	9
65	joethahobo	8
65	Blackberry1310	8
65	emrekn	8
65	Chromary	8
65	Parcc	8
65	EveryonesUncle	8
65	sufjanlover	8
65	pixelviolin	8
65	laron58	8
65	ConnorDanky_	8
75	Mr_Byzantine	7
75	PhantomsGhost_	7
75	MoistMicrowave	7
75	Historical_Sand	7
75	kekhon	7
75	DAD_1996	7
75	Luminad3	7
75	Lord_Jord	7
75	hdtpm	7
75	Segotep999	7
75	ProbsNotNova	7
75	TechnoNinja64	7
87	I_Am_Mushkin	6
87	ImpavidArcher	6
87	Euclidoris	6
87	picardred	6
87	ROY4LE	6
87	Bumpy419	6
87	Deathkob	6
87	NameGenerat0r	6
87	Hisiste	6
87	lcvezra	6
87	NATE_the_HALO	6
87	Njensen7	6
87	Ezekson	6
100	_Virify_	5
100	CLG_Kata	5
100	tramizu	5
100	jacxhadow	5
100	MattieHD	5
100	Lumien_	5
100	ooga47	5
100	yulgur1	5
100	Inbefour	5
100	_Bguette_	5
100	tlustyCZARNY	5
100	Toriankel	5
100	monky_irl	5
100	fffMike	5
100	Kubeusz2010	5
115	chipklip	4
115	6king6colt6	4
115	_Razaria	4
115	Huwulling	4
115	Myszoaz	4
115	CliffEmAll	4
115	Rich_Kat	4
115	ABUSNA1996	4
115	Kkanot	4
115	Nach0Bear	4
115	thescout7	4
115	IforgotCS_Source	4
115	Eraza	4
115	Marbz_	4
115	Rumpletaezer	4
115	_Boipl_	4
115	AlexxO_o	4
115	Jimi7hits	4
115	Gryglu583	4
115	XxCookiequeenxX	4
115	Shogunite	4
115	501g	4
115	censorsheep	4
115	MakeHistory157	4
115	IvarEXE	4
115	djancak	4
115	Rainaldus	4
115	jnp_gaming	4
143	Apollo_993	3
143	CloroxBleach385	3
143	Napoleonpancake	3
143	Merv__	3
143	Jackster03	3
143	Prismyst	3
143	SquadMonster	3
143	bloodbiter	3
143	TheDiamondCG	3
143	excelsionprime	3
143	2Stout	3
143	hanaryheatwave	3
143	Zythose	3
143	Felenov	3
143	out1s	3
143	seramalen	3
143	The_Cruncy	3
143	HolyVenom	3
143	lizardfightclub	3
143	DarlaMeow	3
143	Racengan	3
143	ayamefag	3
143	AssFullaCum	3
143	_i_ERROR_i_	3
143	CalebDHawk	3
143	VentiHilton	3
143	Enderxz3	3
143	UrbanPlanningEx	3
143	skrongus	3
143	00000000-0000-0000-0009-01ff0c3e5e4f	3
173	weezygator	2
173	marguang	2
173	Groovy_MoonBird	2
173	k_ce	2
173	NatalieTW	2
173	JohnnyFyes	2
173	dudcreeper	2
173	xyct	2
173	fanofbands101	2
173	Vaarde	2
173	JohnnyMines	2
173	teslawolf38	2
173	Nekowu	2
173	xXTheWolfmanXx	2
173	Creativebuilder2	2
173	Iagoku	2
173	IronArshXS	2
173	NotP0tato	2
173	livingdaydreams	2
173	ActualPatbaf	2
173	Alteriity	2
173	ZaneABrain	2
173	Lez_	2
173	Cartoonmaniac	2
173	Stright_	2
173	ccwildfire1	2
173	heckface	2
173	Ozixar	2
173	dopplexd	2
173	Upstro10	2
173	cheerytomato	2
173	Crowman1	2
173	Auseawesome	2
173	Phlp	2
173	m_be9	2
