rank	username	minecraft:picked_up/minecraft:tropical_fish
1	thewindmillman	8550
2	noam464	6272
3	nataliecool	1283
4	Arceus1975	632
5	Hyp3rion_	404
6	EMC_	379
7	kekhon	344
8	SammiWolfGirl	244
9	YungMaki	220
10	Mahoose	203
11	pintsizedrogue	185
12	EveryonesUncle	140
13	Blackberry1310	136
14	WyngGoy	133
14	Soplight	133
16	loveseeker	124
17	eitanzaki	121
18	lizardfightclub	115
18	Spacewardharpy7	115
20	Ryker	114
21	Myszoaz	107
21	joethahobo	107
21	beeperbeeper5	107
24	Jiminie	103
25	LordSpeed37	88
26	Marbz_	86
27	bloodbiter	78
27	Zythose	78
27	SvenskaHugo	78
30	EcksDofficial	75
31	MilleGrug	74
32	TheSecondLord	73
32	Inchef	73
34	TheShyPig	71
35	SvenskaAlvar	70
36	Kyrum2169	68
37	ayamefag	67
38	Ezekson	65
39	CliffEmAll	64
40	xxPipperDipperxx	62
41	Racengan	61
42	Rumpletaezer	60
43	12Magner05	58
44	HellsSponge	57
45	rarrq	51
45	ApophisNova	51
45	MyNamaSheff	51
48	Groovy_MoonBird	50
49	Bumpy419	49
49	censorsheep	49
51	PlasticOtari	48
52	Wooptey	46
53	m_be9	44
54	ImpavidArcher	43
55	Smoke____	42
56	oxfordschool	41
57	The11thDoctor	40
58	Dusk_95	39
58	_TCARREIRA_	39
60	Enderslayerxz3	38
61	JayToe	37
62	Akoot_	35
63	PhantomsGhost_	34
63	AlexxO_o	34
63	Frozil12	34
63	Segotep999	34
67	Jackattack53	33
67	SuperPooch06	33
67	burbankbuilder28	33
70	masskedman	28
70	jnp_gaming	28
72	Blu3beast	26
73	NomadicRobin_	25
74	teslawolf38	24
75	Alteriity	22
75	Human_Resource	22
75	MovingFish7	22
75	SlimeBOI03	22
79	Valoth	21
79	Fullut	21
79	Kkanot	21
79	Felenov	21
79	Legendosh	21
84	livingdaydreams	20
84	titanlax	20
84	500am	20
84	DarlaMeow	20
84	EcksD	20
89	T045RTY	19
89	Xalithia	19
89	DASH_X7	19
89	Njensen7	19
93	RebelAndroid	18
93	Di_infiri	18
95	hm947	17
95	Donutt	17
97	Malcman2013	16
97	NotoriousNina	16
97	djancak	16
100	CollinMH06	15
100	MyNameIsJobo	15
100	Jeteight	15
100	Onennon	15
100	claivin	15
100	GlitchyPlate810	15
106	Froste131	14
106	ssleepless	14
106	SaucyDark	14
106	jacxhadow	14
106	Deathkob	14
106	lordpipe	14
106	__tomato	14
106	Steelynan	14
114	milkedit	13
114	Zaridey	13
114	Hiryu27	13
114	rylikesrawtoast	13
114	lillips	13
114	_Dri_	13
120	Merv__	12
120	Frxnkz	12
120	Mewar	12
120	Snowflowe	12
120	Rebytre	12
120	EtherealEspresso	12
126	set67	11
126	ROY4LE	11
126	2Stout	11
126	gcaisawesome	11
126	TheDankPlatypus	11
126	Kouridragon	11
126	KeruNatsema	11
126	IdeallyGrey	11
126	AltnumberF4	11
126	h2p_emrld	11
136	BobDeBouwer1337	10
136	_Nuf	10
136	SteveCraftBlocks	10
136	Werbe	10
136	Renchi19	10
136	NameGenerat0r	10
136	athereall	10
136	Skippeh	10
144	6king6colt6	9
144	Firecracker320	9
144	Ardennes	9
144	SHAOBADMAN	9
144	selectrix	9
144	RodSerlingCringe	9
144	Lord_Zacler	9
144	DemTechAlpha	9
144	MightyWertu	9
144	wwwwinnebagoooo	9
144	Quotary	9
144	TechnoNinja64	9
156	Smashic	8
156	Cambo5000	8
156	ItsAki_	8
156	fred870d	8
156	dartwaffle	8
156	Rasmanden	8
156	Russiancat1	8
156	DanTheBuilderino	8
156	ediballbearings	8
156	lcvezra	8
166	pZygh0st	7
166	AuroraValkyrie	7
166	thescout7	7
166	Touched_Bread	7
166	mimbo1211	7
166	LilyNova	7
166	LilLizardWizard	7
166	AuroraSkies	7
166	TheSeismicDuck	7
166	Lutres_Torane	7
166	Freak_Genius	7
166	Travka100	7
178	Elprone266	6
178	KarlKaek	6
178	Paleshield	6
178	Khelvoryk	6
178	Nicky_H225	6
178	MethylRadical	6
178	Skylord_Luke	6
178	Fuad_R	6
178	1442	6
178	Blaiku	6
178	Keeogwi	6
178	Toriankel	6
178	Yahir091	6
178	monky_irl	6
178	MakeHistory157	6
178	Soul_Atreus	6
178	TheEnderman548	6
178	bloomkieren	6
178	RadarHz	6
178	Powowowow	6
198	Bandito_Roamer	5
198	FujiBS	5
198	diamondgolem35	5
198	MSK__	5
198	Euclidoris	5
198	GingerNeutron	5
198	Motsaro	5
198	Covalents	5
198	MEMES4_LIFE	5
198	CharlieButt	5
198	regulator75	5
198	Huic_ostiarius	5
198	wezzzi	5
198	Wowful	5
198	Warlord324	5
198	TheOuterCore	5
198	Nicserso	5
198	JohnPrice	5
216	_Virify_	4
216	Jalvajar	4
216	dudcreeper	4
216	_stets	4
216	MobiMachine	4
216	youhjjhhhjj	4
216	TAKrules	4
216	SquadMonster	4
216	ratglock	4
216	Cryptacity	4
216	MattieHD	4
216	ProfessorBee	4
216	slkiey	4
216	eviltunix	4
216	Patwannabegamer	4
216	pumpfonzo	4
216	seramalen	4
216	fxiryglitch	4
216	ToastedGamingYT	4
216	Stephenpoling	4
216	Lord_Jord	4
216	KlausVonStiglitz	4
216	QueenShuvi	4
216	MustaLoordi	4
216	SkateboardR6	4
216	AvaRosey	4
216	Nagasaki_Riku	4
216	Eraxa	4
216	plato2066	4
216	Spenduh	4
216	Western_1	4
216	PlzNoBM	4
216	Hermanni__	4
216	adiccting01	4
216	kinas45y5	4
251	Jovaphobic	3
251	KazmaninSapi	3
251	MayorEden	3
251	RoskobiOne	3
251	TildaAndrea	3
251	DepressedCubic	3
251	TheBlackDeth	3
251	Seyaboy	3
251	SidorAlex	3
251	Da_Boss_Rani	3
251	Megarboh	3
251	G1ldor	3
251	Nach0Bear	3
251	mwrty	3
251	HoltGrim	3
251	M_Patata	3
251	TableTim	3
251	RustyKedel	3
251	gabriels543	3
251	Norrhede	3
251	jedi_george	3
251	JitteryJared2	3
251	Voxin2K	3
251	HyperCave	3
251	PigDab	3
251	Capss	3
251	aec9	3
251	TJawesome09	3
251	Maenara	3
251	SpookyDraggin	3
251	Fuhrer_Teemo	3
251	the_russell1611	3
251	jambvds	3
251	Nycteus_	3
251	fluddd	3
251	_czarny	3
251	Groundler	3
251	MasterNueve	3
251	Meeerkat	3
251	Zetsey	3
251	Kowcio_	3
251	SSytex_X	3
251	PortlyPete69	3
251	jcool7	3
251	_AAZAR	3
251	Sral7	3
297	wylify	2
297	Jorrdi	2
297	JEWISHBadenBeele	2
297	Paint	2
