rank	username	minecraft:picked_up/minecraft:spruce_leaves
1	beeperbeeper5	18459
2	Ezekson	6890
3	Mahoose	5984
4	Zythose	5352
5	HesDemonPants	4933
6	m_be9	4694
7	Freak_Genius	4528
8	PlasticOtari	4220
9	Spacewardharpy7	4195
10	Skippeh	3992
11	ApophisNova	3323
11	MyNamaSheff	3323
13	fred870d	3262
14	Mistruth	3112
15	thescout7	2840
16	500am	2757
17	Negriuke	2729
18	TheShyPig	2532
19	Merv__	2507
20	EcksD	2380
21	lordpipe	2306
22	Snowflowe	2285
23	_Dean_123	2157
24	Eraxa	2146
25	Chromary	2037
26	EcksDofficial	1921
27	El_Jalapeno	1656
28	Groundler	1649
29	Frozil12	1597
30	pintsizedrogue	1559
31	xxPipperDipperxx	1547
32	claivin	1527
33	PhantomsGhost_	1483
34	Flores991	1462
35	Smoke____	1454
36	Nicserso	1430
37	ogoa	1177
38	titanlax	1172
39	ROY4LE	1168
40	set67	1139
40	NebulousBadger	1139
42	Jiminie	1116
43	eitanzaki	1049
44	CoffeeNoir	1034
45	valkam13	1001
46	Inchef	931
47	Werbe	923
48	Legendosh	896
49	kekhon	885
50	YungMaki	816
51	ImpavidArcher	786
52	Ssor69	765
52	Miko_Fullbuster	765
54	SaltineDream	729
55	seanitoo	690
56	Di_infiri	676
57	Onennon	671
58	2blox	670
59	Tommhh	661
59	lcvezra	661
61	Cowison	647
62	Enderslayerxz3	633
63	Bumpy419	620
64	rotten_mango	602
65	YoshikageBites	600
66	TheSecondLord	589
67	Hermanni__	579
68	HellsSponge	566
69	UncleDanDan	559
70	Rumpletaezer	558
71	Blackberry1310	549
72	Matyyy15	540
73	Soplight	537
74	fkGrim	531
75	TheMilkerOfCats	525
76	BreadBacon	524
77	CruncyIsTaken	513
78	Fullut	504
79	_stets	498
80	Myszoaz	484
81	squigglybones	446
82	noam464	438
83	rarrq	435
84	pixelviolin	431
85	Blaiku	426
86	Groovy_MoonBird	420
87	NameGenerat0r	412
88	Historical_Sand	400
89	Racengan	396
90	Deathkob	395
91	ewpunk	392
92	Gamergirl420628	383
93	__Fanda__	378
94	SammiWolfGirl	375
95	obzii	336
96	Xclax101	331
97	burbankbuilder28	322
98	Eczbek	320
99	joethahobo	312
100	Meatlaugh	303
101	master9067	301
102	DemTechAlpha	297
103	Inbefour	282
104	Kowcio_	280
105	Cocoamallows	278
106	Arceus1975	277
107	mwrty	265
108	wezzzi	263
109	MightyWertu	261
110	Cryptacity	259
111	TechnoNinja64	257
112	Dusk_95	254
113	killmeiamtraitor	252
114	UrbanPlanner1978	249
115	sxc_	248
116	Kyrum2169	239
117	Chuglyfe	238
118	sebastiensaborio	235
119	Frozt99	233
120	Cortexia	232
120	BigCronkin	232
122	1442	231
123	avalan64	224
124	zorin123	219
125	dabloons	213
126	_Bguette_	210
126	PortlyPete69	210
128	SUN_DREAM	201
129	RedcatVII	198
130	CalebDHawk	196
131	ibarker21	193
132	RodSerlingCringe	192
132	The_slideV3	192
134	Marbz_	188
134	EveryonesUncle	188
136	ReyTheLegend	173
136	jnp_gaming	173
138	_Karmaa	172
139	Valoth	169
139	Xalithia	169
141	Rebytre	162
142	SexcMf	160
143	XboxPanda	158
144	Hoid_the_Roamer	155
145	ewsophie	152
146	Akoot_	147
147	ColeSnyder	142
147	CollinMH06	142
149	Blu3beast	139
150	anbbang	136
151	Natty	135
152	SquadMonster	132
153	LexMakesHistory	131
154	TheGameArchitect	128
155	Omar_Alone	127
156	heysushii	124
157	gabriels543	121
158	KarlKaek	120
159	Vetral1	118
159	Optiprimus	118
161	benediktine1	116
162	Sleek_Storm_721	114
162	Unitas_isa	114
164	IAmTheWalrus910	112
165	ShedJr_	110
165	breadbowlgamer	110
165	ooga47	110
168	Sral7	108
169	NoxxxxiS	104
170	DarkFisto	103
171	stellarjay	100
172	XxCookiequeenxX	99
173	diggydog67	98
174	soundad	96
174	MinttyFressh	96
174	Kubelz	96
177	MyNameIsJobo	95
178	Ragnar2105	93
179	ProfessorDiaper	90
180	Lukeee33	89
181	GravitySaint	88
182	Lord_Jord	86
183	kyouma777	81
183	oxfordschool	81
185	DirtyDalle	79
185	Auseawesome	79
187	Mr_Byzantine	78
188	Renchi19	76
188	jcool7	76
190	WyngGoy	75
191	PegLegPete93	73
192	H72l9w	70
193	PeteO1995	69
194	_Virify_	68
194	SaucyDark	68
194	PigDab	68
197	Tolhart	65
197	CarryLine	65
199	bigstankyy	64
200	Wooptey	63
201	jpoxman	62
201	Cartoonmaniac	62
201	Bobby808	62
201	John6970	62
205	Dedalus36	60
206	Crowvens	59
207	Adlair	57
208	ZaneABrain	55
209	egglapras	52
209	SpicyMeatballs	52
209	SuperPooch06	52
209	VentiHilton	52
213	Shavrin	50
214	Ernnous	48
215	kinas45y5	46
216	MunkaKris	44
217	DC_XII	43
217	Smiguli_	43
219	gaziter10	42
219	Hyp3rion_	42
221	layabout100	38
221	Yogscast_Manden	38
223	selectrix	37
223	fkndweeb	37
225	drumine	36
226	MakeHistory157	34
227	eclipseboi	33
228	Bad_At_Names_Guy	32
228	JESS_THE_RERE	32
230	theonlymagikarp	31
230	Toasty_Tom	31
232	noodlepack	30
232	Wowful	30
234	MangoTheFish	29
234	Kokeech	29
236	Quotary	28
237	Natofthese	27
237	lionmindset	27
237	Warlord324	27
240	ProfessorBee	26
240	ConcretePirate	26
242	Jackattack53	25
243	picardred	24
243	EfficientC52	24
245	Froste131	23
245	thewindmillman	23
247	BlueZabu	21
248	MattieHD	20
248	Covalents	20
248	erkada	20
251	cog	19
252	dopplexd	18
252	AlphaWolfPlaysMC	18
254	Cambo5000	17
254	Sky_light_KING	17
254	chipklip	17
254	sp00ky_ghost977	17
258	SlayerCrypto	16
259	gcaisawesome	15
259	loveseeker	15
259	The_Quack_Dealer	15
262	CrateOfBoxes	14
262	epiksk8erduck	14
264	redikul	13
265	EMC_	12
265	NinjaKnifeKill	12
265	Septemb3r	12
265	Bazongoman	12
265	DarlaMeow	12
270	Hpdinosaur	11
270	RobotMinion101	11
270	_KuruKuru	11
273	_czarny	9
273	radioactv_jelly	9
275	0R_6	8
275	FroggoTheDoggo	8
275	TheTrueClipse	8
278	Bruh77	7
278	T045RTY	7
278	12Magner05	7
278	shyshyannne	7
278	Ecplosive	7
283	Winklepicker279	6
283	djancak	6
283	Winston_Ingram	6
286	Drlzyy	5
286	UncreativeArtist	5
286	CookTheChef3	5
289	hm947	4
289	KomputerDude	4
289	Ozixar	4
289	Comma__	4
289	surfinggiraffejp	4
289	ayqq	4
289	dnlksl	4
289	natajimi	4
289	iTheRaiden	4
289	Ze_BaronKrigler	4
289	SSytex_X	4
300	MrExplorer	3
