rank	username	minecraft:picked_up/minecraft:black_bed
1	PigDab	215
2	pintsizedrogue	175
3	Freak_Genius	80
4	Racengan	50
5	Bucscw24	44
6	TheSecondLord	36
7	kekhon	30
8	_Virify_	28
9	burbankbuilder28	26
10	thewindmillman	25
11	EveryonesUncle	15
12	Blackberry1310	14
12	Akoot_	14
14	Gryglu583	13
15	joethahobo	10
15	500am	10
15	Blu3beast	10
18	numbra	9
18	H72l9w	9
18	Ssor69	9
18	Solar_Power	9
18	Kubeusz2010	9
23	mwrty	8
24	Groovy_MoonBird	7
24	Jimi7hits	7
24	Kowcio_	7
24	PortlyPete69	7
24	cichy096	7
24	jnp_gaming	7
30	AuroraValkyrie	6
30	Vizzoid	6
30	Onennon	6
30	Jordan_R	6
34	ShedJr_	5
34	Stiar	5
34	Zaridey	5
34	AuroraSkies	5
34	El_Jalapeno	5
34	lcvezra	5
40	Paint	4
40	beeperbeeper5	4
40	eiC_	4
40	Felenov	4
40	TheWildMateo	4
40	fluddd	4
40	Lord_Doob	4
40	Slapface522	4
48	bigstankyy	3
48	TooManyDuck	3
48	tramizu	3
48	LoboTheLobster	3
48	BobDeBouwer1337	3
48	MrExplorer	3
48	_HoneySlime_	3
48	UncleDanDan	3
48	Bumpy419	3
48	Truckoss	3
48	Kokeech	3
48	Jiminie	3
48	Renchi19	3
48	Spacewardharpy7	3
48	sp00ky_ghost977	3
48	CalebDHawk	3
64	chrolus	2
64	Natty	2
64	SquadMonster	2
64	rarrq	2
64	12Magner05	2
64	eclipseboi	2
64	xxPipperDipperxx	2
64	loveseeker	2
64	HolyVenom	2
64	MyNameIsDakar	2
64	iHuntWeeaboos	2
64	Kyrum2169	2
64	ScarmedLeft	2
64	Lowjinx	2
64	h2p_emrld	2
79	Mr_Worthless	1
79	SugarMyNuggets	1
79	teslawolf38	1
79	Mahoose	1
79	fr0stss	1
79	Frxnkz	1
79	Ardennes	1
79	Guillemet	1
79	zMarciano	1
79	_Dean_123	1
79	Gingayy	1
79	mrnosetackle	1
79	himak1	1
79	prizm_	1
79	Justins_Juliet	1
79	Arceus1975	1
79	GreedyFern8581	1
79	MaGro2010	1
79	The_Fulgurator	1
79	ApophisNova	1
79	CruncyIsTaken	1
79	TheShyPig	1
79	SpookyDraggin	1
79	SpouHn	1
79	HwamzUK	1
79	MinuteMira	1
79	SolicitedPuma101	1
79	Fuad_R	1
79	Soap_Bender	1
79	_Karmaa	1
79	claivin	1
79	MightyWertu	1
79	LazySupport00	1
79	lordpipe	1
79	WyngGoy	1
79	carbo_bro	1
79	xof_on_microwave	1
79	Nargotah	1
79	MyNamaSheff	1
79	UrbanPlanner1978	1
79	BiggieDawg	1
79	FishisTTV	1
79	Umbreon900	1
79	diggydog67	1
