rank	username	minecraft:picked_up/minecraft:nether_gold_ore
1	Snowflowe	2643
2	thewindmillman	1695
3	Zythose	1440
4	Cowison	1218
5	RebelAndroid	1142
6	joethahobo	760
7	livingdaydreams	702
8	Jiminie	563
9	set67	530
10	EcksD	509
11	_Virify_	468
12	Kakolbus	445
13	yulgur1	401
14	Enderslayerxz3	369
15	Deathkob	360
16	Hermanni__	333
17	Smoke____	329
18	NomadicRobin_	295
18	Spacewardharpy7	295
20	r123moore	284
21	noam464	274
22	Ryker	239
23	Miko_Fullbuster	206
24	M_Patata	186
24	MasterNueve	186
26	mariominejedi	180
27	Ezekson	176
28	_Yonk_	171
29	kekhon	160
30	Smashic	154
30	Leyna3	154
32	Kubeusz2010	141
33	masskedman	139
34	Werbe	137
35	Arceus1975	136
36	Fullut	125
37	07shiny	118
38	TheSecondLord	117
38	BobDeBouwer1337	117
38	EveryonesUncle	117
38	SammiWolfGirl	117
42	diggydog67	115
43	Segotep999	113
44	ogoa	112
44	SingedBread	112
46	HellsSponge	107
47	Mahoose	100
48	fanofbands101	99
49	Hpdinosaur	98
49	TAKrules	98
51	Historical_Sand	91
52	TheShyPig	88
52	Quotary	88
54	Lutres_Torane	84
55	Winklepicker279	82
55	DemTechAlpha	82
55	oxfordschool	82
58	KG1999	81
59	Freak_Genius	79
60	teslawolf38	77
61	Hisiste	76
62	hm947	69
62	Blaiku	69
64	Menthas	65
64	MSK__	65
66	WYFYoyo	64
67	Hyp3rion_	62
68	PhantomsGhost_	61
69	Drlzyy	53
70	MightyWertu	52
71	PlasticOtari	50
72	Sleepy_Time_	48
73	YungMaki	47
74	ImpavidArcher	46
75	T045RTY	45
75	TheEnderman548	45
77	HolyVenom	42
78	RoskobiOne	41
78	EcksDofficial	41
80	whoaluv	40
81	gcaisawesome	38
81	LexMakesHistory	38
83	Flores991	37
83	Soplight	37
85	12Magner05	36
86	Erased_Identity	35
87	CliffEmAll	34
87	KGTV	34
87	Dusk_95	34
90	Awyrlas	32
90	Kowcio_	32
92	XxCookiequeenxX	30
92	Skippeh	30
94	brofrickcheaters	29
95	EMC_	28
96	4383	26
96	Chromary	26
98	pintsizedrogue	25
98	DinoDoctor_	25
98	eitanzaki	25
98	lizardfightclub	25
102	Megarboh	23
102	NameGenerat0r	23
104	thescout7	22
105	jiggywraps	20
105	500am	20
105	KnightmareD	20
105	Gab4101	20
105	AltnumberF4	20
110	Jackattack53	19
110	Eraxa	19
110	MilleGrug	19
113	MixerDixer	17
113	Di_infiri	17
115	NinjaKnifeKill	16
115	ShedJr_	16
115	NotMeowMix	16
118	mwrty	15
118	SvenskaHugo	15
120	titanlax	14
121	CoffeeNoir	13
121	DanTheBuilderino	13
121	WyngGoy	13
124	SteveCraftBlocks	12
124	Solar_Power	12
124	DarlaMeow	12
124	pixelviolin	12
124	Eczbek	12
124	trexgb	12
130	KarlKaek	11
130	Alteriity	11
130	beeperbeeper5	11
130	rarrq	11
130	PigDab	11
130	groofles	11
130	obzii	11
137	MinttyFressh	10
137	ApophisNova	10
137	Akoot_	10
137	Frozil12	10
137	LazySupport00	10
137	jcool7	10
137	MyNamaSheff	10
144	Groovy_MoonBird	9
144	JEWISHBadenBeele	9
144	I_Am_Mushkin	9
144	Scathra	9
144	Racengan	9
144	lordpipe	9
150	himak1	8
150	theonlymagikarp	8
150	TheDankPlatypus	8
150	DTwenty	8
154	Swexti	7
154	xxPipperDipperxx	7
154	KartivGal	7
154	Fuad_R	7
154	sp00ky_ghost977	7
154	IvarEXE	7
154	Steelynan	7
154	2blox	7
162	JohnnyFyes	6
162	itburb	6
162	Base_Tempest	6
162	Blackberry1310	6
162	Marbz_	6
162	Hiryu27	6
162	Skylord_Luke	6
162	wwwwinnebagoooo	6
162	Ze_BaronKrigler	6
162	PortlyPete69	6
162	Sheldor097	6
162	fffMike	6
162	MissCeleste7	6
175	Xalithia	5
175	Windo_licker	5
175	Maenara	5
175	ProfessorDiaper	5
175	anbbang	5
180	bigstankyy	4
180	ExtraDumb	4
180	tramizu	4
180	burbankbuilder28	4
180	Razzgriz	4
180	Spenduh	4
180	Teebone15	4
180	FishisTTV	4
188	AuroraValkyrie	3
188	Huwulling	3
188	_Dean_123	3
188	CarltheCuck	3
188	MangoTheFish	3
188	lillips	3
188	stahouo	3
188	Lord_Lollo	3
188	FelixPSY375	3
197	dimondking777	2
197	NieToksikpl	2
197	Kkanot	2
197	Rebytre	2
197	fw3xywashere	2
197	Shogunite	2
203	Haficzeq6984	1
203	jushykins	1
203	TheThomas69	1
203	orxngejuice	1
203	Lord_Jord	1
203	DarkS0L	1
203	claivin	1
203	SkateboardR6	1
203	ItsDeltaMC	1
203	djancak	1
203	Legendosh	1
203	jnp_gaming	1
203	h2p_emrld	1
