rank	username	minecraft:picked_up/minecraft:stone_stairs
1	pintsizedrogue	1393
2	m_be9	1230
3	Freak_Genius	1217
4	Historical_Sand	854
5	EveryonesUncle	670
6	Onennon	511
7	Winklepicker279	487
8	burbankbuilder28	480
9	Werbe	468
10	Mahoose	453
11	Lord_Jord	451
12	Snowflowe	423
13	Maenara	411
14	cedric72	405
15	Di_infiri	400
16	eviltunix	376
17	PigDab	352
18	PlasticOtari	339
19	RoskobiOne	331
19	ImpavidArcher	331
21	_stets	326
22	beeperbeeper5	316
23	Smoke____	313
24	Merv__	308
25	Sky_light_KING	305
26	Eczbek	301
27	Legendosh	270
28	joethahobo	261
29	Racengan	259
30	LordBlaze11	249
31	CoffeeNoir	233
32	TheShyPig	225
33	TheSecondLord	220
34	Meatlaugh	211
35	fkGrim	209
36	Enderslayerxz3	200
37	EcksDofficial	183
38	Inchef	161
39	NameGenerat0r	159
40	EMC_	144
41	Soplight	142
42	Fullut	137
43	ssleepless	133
44	Chromary	132
45	Jiminie	131
45	Ezekson	131
47	YungJakobo	122
48	WyngGoy	119
49	Kubeusz2010	112
50	Spacewardharpy7	109
51	500am	108
52	Deathkob	106
53	diamondgolem35	104
54	Kowcio_	99
55	Cartoonmaniac	97
55	SuperPooch06	97
57	ShedJr_	92
58	abramgray	91
59	rarrq	86
60	Cryptacity	83
61	Skylord_Luke	78
62	Malorn_Aetherius	76
63	Akoot_	74
64	Blackberry1310	73
65	BlankityMcBlank	72
66	2blox	70
67	Prismyst	68
67	r123moore	68
69	Hyp3rion_	67
70	Nycteus_	66
71	MangoTheFish	62
72	PuFY	61
73	ApophisNova	60
73	Blu3beast	60
73	MyNamaSheff	60
76	Dusk_95	59
77	eitanzaki	58
78	theonlymagikarp	56
79	soundad	54
79	cog	54
81	Ailmast	53
81	TheOnlyRake	53
83	ExtraDumb	52
83	Shiirazuku	52
83	lordpipe	52
83	CalebDHawk	52
83	little_dUki	52
88	kekhon	49
88	_Karmaa	49
90	Hanselhoof	46
90	valkam13	46
92	RatatJuice	45
92	Incinere	45
92	Ssor69	45
92	UCP_TheKingK	45
96	T045RTY	44
96	Zythose	44
96	El_Jalapeno	44
96	Quotary	44
100	jnp_gaming	43
101	Groovy_MoonBird	42
101	TheMilkerOfCats	42
101	XxCookiequeenxX	42
104	Notta	41
104	ElectricDragon81	41
104	Eraxa	41
107	whoaluv	40
107	Blaiku	40
109	pappaberg	39
109	Steelynan	39
109	TechnoNinja64	39
112	Menthas	38
112	Hisiste	38
114	Dedalus36	36
114	thescout7	36
114	BlueZabu	36
114	Vorlice	36
118	tartanboy	35
119	Wooptey	34
119	Smashic	34
121	masskedman	33
122	StabbyRoomba	32
122	Aangezet	32
124	SyK7	31
124	_Bguette_	31
126	DemTechAlpha	30
126	07shiny	30
126	YungMaki	30
129	BronkerBrum	29
129	lcvezra	29
131	Inbefour	28
131	radioactv_jelly	28
133	jiggywraps	27
133	MyNameIsDakar	27
135	ProbablyNick	26
135	Jackattack53	26
135	oxfordschool	26
138	hollowww	25
138	M_Patata	25
138	DTwenty	25
138	RedcatVII	25
142	titanlax	24
142	NoxxxxiS	24
142	PortlyPete69	24
145	BobDeBouwer1337	22
146	Sabby65	21
146	jimintyy	21
146	Avrelion	21
146	MyNameIsJobo	21
146	Soap_Bender	21
146	The_slideV3	21
152	Bandito_Roamer	20
152	gcaisawesome	20
152	Kubelz	20
152	Hiryu27	20
156	Xalithia	19
157	dabloons	18
157	SpaceGrenadier	18
157	DermeinUser	18
157	CarltheCuck	18
157	CACTUSLAD	18
162	PhantomsGhost_	17
162	Mewar	17
162	Freeman666	17
162	AlexxO_o	17
162	GravitySaint	17
162	Soffbord	17
162	Nargotah	17
162	AltnumberF4	17
170	_NieToksikpl_	16
170	seramalen	16
170	MinuteMira	16
170	SingedBread	16
170	SvenskaHugo	16
170	Fizznut909	16
176	ogoa	15
176	jcool7	15
178	KGTV	14
178	2Stout	14
178	Kouridragon	14
178	RadarHz	14
182	Sleek_Storm_721	13
182	DarkDescent2392	13
182	_Dean_123	13
182	Bumpy419	13
182	RobotMinion101	13
182	jewbacaman	13
182	chipklip	13
182	Frozil12	13
182	MasterNueve	13
182	MakeHistory157	13
192	Ardennes	12
192	wiqor	12
192	NotMeanttoChange	12
192	Rumpletaezer	12
192	layabout100	12
192	Luigipunch989	12
198	6king6colt6	11
198	Euclidoris	11
198	PegLegPete93	11
198	Noah_Bez	11
202	Huwulling	10
202	ProfessorBee	10
202	Kakolbus	10
202	ooga47	10
202	KeruNatsema	10
202	FishyBoy3811	10
202	geekbird	10
202	Sheldor097	10
202	Powowowow	10
211	bloodbiter	9
211	Masssonnn	9
211	StylesK	9
211	CollinMH06	9
211	420BreadLizard	9
211	Quaintster	9
211	the__Reaper4999	9
211	Conrad139	9
211	Skippeh	9
220	Sparky_KT	8
220	NotKaden_	8
220	FetteMutter	8
220	Nyxiom_	8
220	Mattesco	8
220	Lutres_Torane	8
220	Karbl	8
220	Xclax101	8
220	MilleGrug	8
229	LordlessAbyss	7
229	BlancoFlaco	7
229	Natty	7
229	Meme25327	7
229	set67	7
229	mwrty	7
229	gabriels543	7
229	_Cloverbelle_	7
229	AlphaWolfPlaysMC	7
229	Steven1282598	7
229	pixelviolin	7
229	Teebone15	7
229	Freedrik	7
242	jspwn	6
242	TildaAndrea	6
242	tramizu	6
242	heckface	6
242	loveseeker	6
242	lizardfightclub	6
242	HellsSponge	6
242	Cyntrical	6
242	Smiguli_	6
242	sp00ky_ghost977	6
242	Hermanni__	6
242	smogfrog	6
254	Drlzyy	5
254	Barjas	5
254	H72l9w	5
254	Da_Boss_Rani	5
254	CrookedKaptain	5
254	noam464	5
254	fallingemma	5
254	andy_rex	5
254	Genius4Hire	5
254	Wowful	5
254	ElderRifken	5
254	wobn	5
254	Groundler	5
254	Ze_BaronKrigler	5
254	SexcMf	5
254	IdeallyGrey	5
254	SammiWolfGirl	5
254	WYFYoyo	5
254	561cool	5
273	fingerguns__	4
273	xyct	4
273	12Magner05	4
273	Megarboh	4
273	CarbonatedCola	4
273	iTurbo	4
273	fred870d	4
273	LibertyMutual	4
273	Fuhrer_Teemo	4
273	Airem_Core	4
273	robotemo	4
273	Kyrum2169	4
273	tsitrawhy	4
273	obzii	4
273	ZeroKraken	4
273	KingMatthew506	4
289	seanitoo	3
289	Cowison	3
289	bigstankyy	3
289	fr0stss	3
289	IWorkAtIkea	3
289	Mimiir345	3
289	TinMaster	3
289	Allanon1235	3
289	Kkanot	3
289	Ecplosive	3
289	thewindmillman	3
289	_8man	3
