rank	username	minecraft:picked_up/minecraft:copper_trapdoor
1	Mr_Byzantine	163
2	thewindmillman	21
3	Enderxz3	18
4	k_ce	11
5	pixelviolin	6
5	Eczbek	6
5	TheWickedBird	6
8	pintsizedrogue	3
9	Buuck_	2
10	Lorcout	1
