rank	username	minecraft:picked_up/minecraft:gray_concrete
1	noam464	37805
2	Hyp3rion_	15821
3	Enderxz3	15798
4	myaccountwasgone	14949
5	NameGenerat0r	7579
6	Inchef	6428
7	Hiryu27	5626
8	Ezekson	5374
9	Spacewardharpy7	5049
10	Quotary	4468
11	PlasticOtari	3784
12	ImpavidArcher	3730
13	Jackattack53	3618
14	thescout7	3506
15	eitanzaki	3146
16	_Huge_Male_	2798
17	TheWickedBird	2457
18	Snowflowe	2313
19	Di_infiri	2226
20	Mahoose	2216
21	Lez_	1998
22	_Karmaa	1860
23	skitzxo	1828
24	LexMakesHistory	1529
25	PigDab	1296
26	YungMaki	1294
27	Blaiku	1269
28	Manaateee	1136
29	EngagedGrub41	1132
30	TheSecondLord	1077
31	rarrq	1073
32	Dan_Scha	924
33	ConnorDanky_	921
34	Syropatathe	845
35	Diavri	811
36	Merv__	808
37	emreknugrlu	719
38	Frozil20	669
39	TheBiggestFeller	666
40	KarlKaek	640
41	Blackberry1310	631
42	_Mythic____	608
43	EcksD	591
44	Blu3beast	582
45	Rich_Kat	552
46	oreee	541
47	groofles	528
48	beeperbeeper5	526
49	Ssor69	518
50	ApophisNova	489
51	xxPipperDipperxx	477
52	titanlax	473
53	bl1ss0	472
54	ItsGrayWolf	467
54	pintsizedrogue	467
56	Glumb0	464
57	TeenMomTom	444
58	MyNamaSheff	441
59	luseis	405
60	lordpipe	404
61	yaboo88	393
62	ShedJr_	381
63	JayToe	380
64	I_Am_Mushkin	368
65	PortlyPete69	367
66	thebaddruid	361
67	joethahobo	315
68	Buuck_	311
69	MakeHistory157	308
70	PazinGaming	298
71	500am	294
72	Xclax101	285
73	RoskobiOne	271
74	TheShyPig	267
75	IKeepDying	265
76	AJplaysMC_	243
77	audiocracked	241
78	teslawolf38	221
79	Mattesco	217
80	MunkaKris	214
81	IamCL4SSY	205
81	Akoot_	205
83	HUNTERmaun	203
83	TechnoNinja64	203
85	Kowcio_	199
86	DinoDoctor_	197
86	Olib3ar	197
88	Soplight	192
89	Inbefour	190
90	RebytreGT	180
91	Mr_Sun15	179
92	LordSpeed37	173
93	Sral7	164
94	thewindmillman	161
95	BlankityMcBlank	157
96	EveryonesUncle	149
96	Yamdalorian	149
98	jnp_gaming	148
99	crashomon	145
100	Arceus1975	128
101	fragrantmonke444	127
102	MattieHD	126
103	AltnumberF4	118
104	Incinere	116
105	The_slideV3	113
106	Jimb0nat0r	103
107	sp00ky_ghost977	96
108	Hoid_the_Roamer	90
109	MilleGrug	82
110	Marbz_	73
110	Fuad_R	73
112	U_Mos_	71
113	Truckoss	70
114	H0UNDFRMH3LL	65
114	skroobiez	65
116	bigstankyy	64
116	NotMeanttoChange	64
118	stavgod	57
119	Eraxa	50
120	r123moore	38
121	HellsSponge	36
121	FishisTTV	36
123	mihimihimihi	35
123	TheKingK_	35
125	shadowthemonkey	34
126	Covalents	32
127	CalebDHawk	29
128	Spenduh	26
128	Skippeh	26
130	PhantomsGhost_	21
131	ECstardust	20
132	Historical_Sand	19
133	77Holly7	18
133	__tomato	18
135	Sheldor097	17
136	Mr_Byzantine	16
137	FiguraDei	15
138	emrekn	14
139	Gundam_Steven	13
140	Blammm	12
141	deleteduser3c11b	11
141	SvenskaHugo	11
141	jcool7	11
144	m_be9	10
144	Onennon	10
144	Deathkob	10
147	xzvu	9
148	SmashingPump	8
148	Rumpletaezer	8
148	Werbe	8
148	The11thDoctor	8
148	Lord_Jord	8
148	starbits140	8
154	That_tech_head	7
155	theonlymagikarp	6
156	CLG_Kata	5
156	CollinMH06	5
156	FreakGenius	5
156	THEKINGLyric10	5
156	miramyu	5
156	Dogcorn69420	5
162	Secret_Canary	4
162	oscminus	4
162	k1ngGilgamesh	4
162	Cruncy_	4
162	AspenLightVT	4
162	The_Quack_Dealer	4
162	weabis	4
162	ConnorTG5	4
170	Jindong	3
170	Rox_The_Box	3
170	Fullut	3
170	ROY4LE	3
170	nstuartwilliams1	3
170	hanaryheatwave	3
170	fw3xy74	3
170	EdGalbraith	3
170	fffMike	3
170	VentiHilton	3
170	little_dUki	3
181	6king6colt6	2
181	Appleten	2
181	Da_Boss_Rani	2
181	eclipseboi	2
181	SuperPooch06	2
181	GreedyFern8581	2
181	Leyna3	2
181	Tiktola01	2
181	Benzito07	2
181	jake314810	2
181	Soap_Bender	2
181	SlinkyPinky	2
181	Deerfoot	2
181	blackeemperor	2
181	fluddd	2
181	TheTommyGun63	2
181	00000000-0000-0000-0009-01f358e1a055	2
198	Jovaphobic	1
198	ItsColin11	1
198	Natty	1
198	Hetti301	1
198	SteveCraftBlocks	1
198	mwrty	1
198	M_Patata	1
198	corpsecity	1
198	Krowuss	1
198	guiltybastard	1
198	Skylord_Luke	1
198	ChampBoii	1
198	avalan64	1
198	claivin	1
198	El_Jalapeno	1
198	pretty_pink_reno	1
198	BumbleBeever	1
198	MasterNueve	1
198	Ze_BaronKrigler	1
198	ReyTheLegend	1
198	y0shik	1
198	hermmm_	1
198	Vellu21	1
