rank	username	minecraft:picked_up/minecraft:crossbow
1	sp00ky_ghost977	427
2	Hyp3rion_	338
3	noam464	226
4	Historical_Sand	207
5	thewindmillman	181
6	HellsSponge	167
7	Fuad_R	146
8	NameGenerat0r	141
9	SmashingPump	125
10	YungMaki	119
11	Soplight	106
12	beeperbeeper5	99
13	Spacewardharpy7	88
14	Sral7	83
15	Werbe	79
16	eitanzaki	73
17	FelixPSY375	70
18	Lez_	67
19	Legendosh	65
20	TechnoNinja64	64
20	AdmiralSmoke	64
22	Apollo_993	61
23	Manaateee	55
24	EcksD	54
25	pintsizedrogue	53
26	EMC_	49
27	rarrq	48
27	12Magner05	48
29	Da_Boss_Rani	45
29	Segotep999	45
31	Lord_Jord	44
32	Onennon	43
32	audiocracked	43
34	TheSecondLord	36
34	kekhon	36
36	Skippeh	34
37	NatalieTW	33
38	Mahoose	32
39	Fullut	31
40	PhantomsGhost_	30
40	Di_infiri	30
42	pixelviolin	29
43	Smashic	28
43	TheShyPig	28
45	Alteriity	27
45	FirsTimeGamingTV	27
45	Hail_the_wombat	27
45	Maenara	27
49	emrekn	26
49	hanaryheatwave	26
51	_Virify_	25
51	Blackberry1310	25
53	RebelAndroid	24
53	Jackattack53	24
53	Tyrannosplart	24
56	ooga47	23
56	Enderxz3	23
58	oscminus	21
58	luseis	21
58	claivin	21
58	FreakGenius	21
62	Blaiku	20
63	Merv__	19
63	mwrty	19
63	Akoot_	19
66	Eraxa	17
67	Frozil20	16
67	joethahobo	16
67	Vizzoid	16
67	Jonte0599	16
67	Kowcio_	16
72	T045RTY	15
72	Rebytre	15
74	Bumpy419	14
74	F_Uhre	14
74	fw3xy74	14
74	WyngGoy	14
74	Jimb0nat0r	14
74	h2p_emrld	14
80	Blu3beast	13
80	jnp_gaming	13
80	vandmanden	13
83	ImpavidArcher	12
83	ThePoliteG	12
83	500am	12
86	ItsColin11	11
86	Hpdinosaur	11
86	MattieHD	11
86	thescout7	11
86	AstreaTSS	11
86	FishisTTV	11
92	ITDV	10
92	TheBananaKat	10
94	I_Am_Mushkin	9
94	Euclidoris	9
94	PoofHairGuy	9
94	lorpus	9
94	ApophisNova	9
94	Kynigito	9
94	Groundler	9
94	Ezekson	9
94	ConnorDanky_	9
94	MyNamaSheff	9
94	Nicserso	9
94	xolstoi	9
106	dimondking777	8
106	6king6colt6	8
106	livingdaydreams	8
106	Natty	8
106	JitteryJared2	8
106	Lutres_	8
106	SkateboardR6	8
106	xzvu	8
106	fffMike	8
106	KingMatthew506	8
106	TheOuterCore	8
106	PlasticOtari	8
118	Groovy_MoonBird	7
118	Bandito_Roamer	7
118	AuroraValkyrie	7
118	KarlKaek	7
118	xxPipperDipperxx	7
118	M_Patata	7
118	ImDisconnected_	7
