rank	username	minecraft:picked_up/minecraft:red_candle
1	Luminad3	94
2	Lez_	85
3	Kakolbus	82
4	xxPipperDipperxx	29
5	pintsizedrogue	26
6	Mr_Byzantine	25
7	k_ce	24
8	beeperbeeper5	16
8	doublemaki	16
8	Enderxz3	16
11	Mahoose	13
11	Kowcio_	13
11	Yamdalorian	13
14	kekhon	10
14	cutelilreno	10
14	Pumpkin_P_Patch	10
17	_Huge_Male_	8
17	PosPsycher	8
17	Snowflowe	8
17	Jimb0nat0r	8
21	_witch_craft_	7
21	pixelviolin	7
23	thewindmillman	6
23	robonya_	6
23	Legendosh	6
26	craaaash	5
27	Minimize501	4
27	Marbz_	4
27	Mattesco	4
27	Buuck_	4
31	Merv__	3
31	philandr	3
31	PlasticOtari	3
34	Samificator	2
34	Racengan	2
34	KamFurnace	2
37	PazinGaming	1
37	Crowman1	1
37	TheSecondLord	1
37	imcombxt	1
37	CosmicStardustt	1
37	thatbeanyboi	1
37	Jackattack53	1
37	FiguraDei	1
37	Myntsys	1
37	Eraxa	1
37	Soplight	1
37	DairyNickel756	1
37	Etnavn373	1
