rank	username	minecraft:picked_up/minecraft:cyan_carpet
1	noam464	2936
2	Swexti	2627
3	joethahobo	1196
4	eitanzaki	690
5	KingMatthew506	328
6	beeperbeeper5	313
7	Lez_	279
8	Ezekson	251
9	mwrty	206
10	Fullut	197
11	Inbefour	141
12	YungMaki	117
13	luseis	116
14	pintsizedrogue	111
15	Spacewardharpy7	99
16	mariominejedi	97
17	HellsSponge	94
18	heckface	91
18	IamCL4SSY	91
20	Rumpletaezer	88
21	Smoke____	72
22	ImpavidArcher	61
23	Merv__	53
24	ZeroKraken	49
25	AlphaWolfPlaysMC	47
25	Quotary	47
27	jnp_gaming	44
28	ConnorDanky_	42
29	SaucyDark	41
30	xolstoi	37
31	Fildyr	36
32	Matyyy15	30
33	PlasticOtari	24
34	Frozil20	23
35	Blaiku	22
36	Mahoose	21
36	NameGenerat0r	21
36	Legendosh	21
39	TheSecondLord	18
39	emrekn	18
41	Dr0xzy	17
42	TechnoNinja64	14
43	Factoroni	13
44	AuroraSkies	12
44	CattSoup	12
46	TheShyPig	11
47	pappaberg	10
47	Hermanni__	10
49	RebelAndroid	9
49	Soplight	9
51	Apollo_993	8
51	pixelviolin	8
51	Njensen7	8
51	Steelynan	8
55	r123moore	7
56	Huwulling	6
56	500am	6
56	Iamthejo	6
59	Cowison	5
59	Hysna	5
59	IWorkAtIkea	5
59	Crowman1	5
59	kekhon	5
59	UCP_TheKingK	5
65	SteveCraftBlocks	4
65	Snowflowe	4
65	Blu3beast	4
65	iSammael	4
65	Nicserso	4
70	fr_ser	3
70	Werbe	3
70	00000000-0000-0000-0009-01f6557d802a	3
73	ImNotYuqii	2
73	rarrq	2
73	pr33tu	2
73	XboxPanda	2
73	Deathkob	2
73	xzvu	2
73	EngagedGrub41	2
80	FazeObama69	1
80	PhantomsGhost_	1
80	teslawolf38	1
80	Incinere	1
80	oreee	1
80	Blackberry1310	1
80	Chickenchaser2	1
80	bloodbiter	1
80	m_be9	1
80	LeauVox4921	1
80	Touched_Bread	1
80	Shiirazu	1
80	cedric72	1
80	PineappleZ215	1
80	RoofTyler	1
80	Racengan	1
80	mihimihimihi	1
80	Kowcio_	1
80	lcvezra	1
80	_Yonk_	1
80	CalebDHawk	1
80	Sral7	1
