rank	username	minecraft:picked_up/minecraft:orange_terracotta
1	MilleGrug	23729
2	oxfordschool	18363
3	lordpipe	11191
4	Inbefour	9585
5	Freak_Genius	9493
6	TheShyPig	7581
7	Spacewardharpy7	6017
8	Snowflowe	5008
9	mariominejedi	4911
10	Hermanni__	4822
11	PhantomsGhost_	4786
12	Rumpletaezer	4516
13	Steelynan	4293
14	ROY4LE	4279
15	KingMatthew506	4135
16	EMC_	3539
17	gabriels543	2740
18	joethahobo	2671
19	__tomato	2475
20	Xalithia	2440
21	Karbl	2181
22	Hoid_the_Roamer	1990
22	Werbe	1990
24	beeperbeeper5	1977
25	tuckerdoodle	1953
26	Dusk_95	1931
27	Nicserso	1839
28	Deerfoot	1760
29	thewindmillman	1750
30	_Karmaa	1738
31	Steven1282598	1492
32	SvenskaHugo	1484
33	SDMNAEK	1437
33	mwrty	1437
35	Blaiku	1386
36	diggydog67	1374
37	EcksD	1371
38	claremackie	1344
39	Hyp3rion_	1330
40	Mahoose	1274
41	Kakolbus	1246
42	YungMaki	1190
43	the_russell1611	1106
44	Parcc	1044
45	El_Jalapeno	1036
46	CoffeeNoir	977
47	_8man	952
48	Sral7	885
49	Barlycorn	882
50	TheSecondLord	849
51	noam464	846
52	Onennon	783
53	Kamflame10	771
54	SuperPooch06	747
55	Syropatathe	721
56	set67	710
57	fred870d	688
58	bloodbiter	674
59	_Nuf	647
60	QueenShuvi	642
61	Blackberry1310	577
62	cog	563
63	NameGenerat0r	489
64	UrbanPlanner1978	476
65	kekhon	470
66	EcksDofficial	468
67	NomadicRobin_	466
68	Merv__	463
69	wirelesstree	453
70	AuroraValkyrie	428
71	MeetTheWollo	422
72	Enderslayerxz3	403
73	djancak	391
74	pintsizedrogue	390
75	ApophisNova	372
76	DarlaMeow	350
77	eitanzaki	342
78	Jackattack53	321
79	Swexti	311
80	TechnoNinja64	306
81	EveryonesUncle	301
82	XxCookiequeenxX	279
83	Nyxiom_	266
84	Legendosh	251
85	Fullut	244
86	thgrocks	243
87	MyNameIsJobo	242
88	Frozil12	234
89	censorsheep	216
90	ooga47	208
91	error10101	204
91	Lord_Jord	204
93	audiocracked	201
94	Akoot_	200
95	MovingFish7	199
96	Blu3beast	196
97	Di_infiri	191
98	Historical_Sand	186
99	Kowcio_	168
100	theonlymagikarp	155
101	500am	154
102	BobDeBouwer1337	149
103	Groovy_MoonBird	147
103	Nycteus_	147
105	Smoke____	133
106	Inchef	131
107	livingdaydreams	129
108	00000000-0000-0000-0009-01f898304150	128
109	SteveCraftBlocks	125
110	FreddyFart	120
111	MyNamaSheff	112
112	PortlyPete69	111
