rank	username	minecraft:picked_up/minecraft:cornflower
1	thewindmillman	260503
2	noam464	50855
3	DarlaMeow	3014
4	PlasticOtari	2503
5	lordpipe	1907
6	beeperbeeper5	1211
7	Marbz_	989
8	eitanzaki	854
9	lillips	849
10	RoboTramp7865	768
11	Hyp3rion_	672
12	Blu3beast	645
13	joethahobo	642
14	Di_infiri	617
15	audiocracked	531
16	Groundler	499
17	ROY4LE	479
18	thescout7	432
19	Quotary	404
20	EveryonesUncle	394
21	Inbefour	374
22	MousePlays	351
23	Legendosh	328
24	AltnumberF4	321
25	Freak_Genius	307
26	500am	305
27	TechnoNinja64	304
28	Kakolbus	289
29	Lord_Jord	280
30	Jackattack53	279
31	YungMaki	266
32	kekhon	262
33	EMC_	234
34	TheShyPig	232
35	Snowflowe	212
36	Warlord324	207
37	KartivGal	193
37	Akoot_	193
39	Lez_	191
40	BlancoFlaco	164
41	Smoke____	160
42	pintsizedrogue	135
43	00000000-0000-0000-0009-01ff0c3e5e4f	133
44	Rasmanden	125
45	Fullut	121
46	HellsSponge	117
47	LotusProject	114
47	Nicserso	114
49	ImpavidArcher	112
50	SammiWolfGirl	110
51	gcaisawesome	106
52	hcb238	101
52	Winklepicker279	101
54	Skylord_Luke	95
55	Wooptey	93
56	breadbowlgamer	86
57	Yatitay	85
58	Racengan	84
59	Mahoose	83
59	MattieHD	83
61	Merv__	80
61	MAns_44	80
63	LeauVox4921	79
63	wezzzi	79
65	KingMatthew506	78
66	KeruNatsema	76
67	titanlax	73
68	JitteryJared2	69
69	Inchef	66
69	Arceus1975	66
69	__tomato	66
69	Steelynan	66
73	G1ldor	64
73	XxCookiequeenxX	64
75	xxPipperDipperxx	63
76	wwwwinnebagoooo	60
77	MyNameIsDakar	58
77	Kowcio_	58
79	cedric72	57
80	dopplexd	56
80	_zzoe	56
80	djancak	56
80	00000000-0000-0000-0009-01f532a65833	56
84	KarlKaek	54
84	Roosje69	54
84	Frozil12	54
84	Blaiku	54
84	monky_irl	54
89	MrExplorer	53
90	HesDemonPants	52
90	EcksDofficial	52
92	Blackberry1310	51
92	Mattesco	51
94	Chromary	49
95	SellyZ	47
95	M_Patata	47
95	AnnieBathory	47
95	MasterNueve	47
99	shyshyannne	45
99	CollinMH06	45
101	Kubelz	44
101	oxfordschool	44
103	Wolf_Mauler_73	43
103	FishyBoy3811	43
103	Maenara	43
106	TheSecondLord	41
106	emrekn	41
106	King_Pancake1	41
106	Kubeusz2010	41
110	Deathkob	40
111	TheFlfthHorseman	39
112	Tommhh	38
113	Spacewardharpy7	37
113	Ezekson	37
113	YoshikageBites	37
116	RatatJuice	36
116	PigDab	36
116	LordSpeed37	36
119	lcvezra	35
120	Menthas	34
120	The_slideV3	34
120	PortlyPete69	34
123	Miko_Fullbuster	33
124	Lutres_Torane	32
124	adiccting01	32
126	RoskobiOne	31
126	CoffeeNoir	31
126	_AceOfSpace_	31
126	ProfessorBee	31
126	burbankbuilder28	31
126	TheSeismicDuck	31
126	SkateboardR6	31
126	WyngGoy	31
126	Lirael42	31
126	diggydog67	31
136	Groovy_MoonBird	29
136	teslawolf38	29
136	Notta	29
136	himak1	29
136	Luigipunch989	29
136	anbbang	29
142	ExtraDumb	28
142	NotMeanttoChange	28
142	chipklip	28
142	El_Jalapeno	28
146	SaucyDark	27
146	MSK__	27
146	Dali1465	27
146	SeverianTheLame	27
146	SuperPooch06	27
146	Vetral1	27
146	Kim_Jong_eel	27
146	jnp_gaming	27
154	Jiminie	26
155	Mowelan	25
155	Whiterooster001	25
155	surfinggiraffejp	25
155	_Boipl_	25
159	Bandito_Roamer	24
159	vampgey	24
159	pappaberg	24
159	DTwenty	24
159	claivin	24
164	Awyrlas	23
164	Xalithia	23
164	Toasty_Tom	23
164	ori0le	23
164	Ze_BaronKrigler	23
164	Soplight	23
164	mobunni	23
171	Scathra	22
171	07shiny	22
171	SvenskaHugo	22
174	phomic	21
174	groofles	21
174	RedcatVII	21
174	_TCARREIRA_	21
174	ScarmedLeft	21
179	cowgirlkasia	20
179	Cryptacity	20
179	bloodbiter	20
179	PeteO1995	20
179	whoaluv	20
179	_Karmaa	20
179	Dusk_95	20
179	Winston_Ingram	20
179	obtusely	20
188	ShedJr_	19
188	Koffeeinz	19
188	m_be9	19
188	Smashic	19
188	KlausVonStiglitz	19
188	LordAurum	19
188	MilleGrug	19
195	PhantomsGhost_	18
195	Werbe	18
195	NomadicRobin_	18
198	PegLegPete93	17
198	Touched_Bread	17
198	AJplaysMC_	17
198	RobotMinion101	17
198	AuroraSkies	17
198	DemTechAlpha	17
198	Hisiste	17
198	stahouo	17
198	Njensen7	17
207	Myszoaz	16
207	TuesdayEpisode	16
207	orxngejuice	16
207	xorompole	16
211	JingleLizi	15
211	Windo_licker	15
211	CarryLine	15
211	MinuteMira	15
211	RadarHz	15
216	Jovaphobic	14
216	Hormones	14
216	TastyPorkchop	14
216	Ssor69	14
216	picardred	14
216	masskedman	14
222	seanitoo	13
222	lotarp	13
222	Prismyst	13
222	slkiey	13
222	Kokeech	13
222	_naturell	13
222	Fuad_R	13
222	Xovalt_	13
230	6king6colt6	12
230	jacxhadow	12
230	NoraTheYandere	12
230	Onennon	12
230	Skomo	12
230	Nycteus_	12
230	Th6masss	12
230	IAmTheWalrus910	12
230	Shin69	12
230	GlitchyPlate810	12
230	Deguns123	12
230	Lord_Lollo	12
230	2blox	12
243	CompAir	11
243	Huwulling	11
243	ATrojansLegend	11
243	Frxnkz	11
243	set67	11
243	MaGro2010	11
243	Rebytre	11
243	fred870d	11
243	Jiminbub	11
243	Sheldor097	11
253	T045RTY	10
253	WarHammer3	10
253	SoftSix	10
253	noodlepack	10
253	TheDiamondCG	10
253	__TheNorseMan__	10
253	2Stout	10
253	r123moore	10
253	0nly_sn1per	10
253	jewbacaman	10
253	fkGrim	10
253	MightyWertu	10
253	sp00ky_ghost977	10
253	Serval2000	10
267	heysushii	9
267	livingdaydreams	9
267	ewsophie	9
267	12Magner05	9
267	NoxxxxiS	9
267	The11thDoctor	9
267	NameGenerat0r	9
267	Vicemaniac	9
267	Kyrum2169	9
267	Enderslayerxz3	9
267	h2p_emrld	9
278	Alteriity	8
278	NieToksikpl	8
278	Ardennes	8
