rank	username	minecraft:picked_up/minecraft:cyan_bed
1	ItsColin11	82
2	xolstoi	78
3	mariominejedi	70
4	eitanzaki	62
5	Jackattack53	32
6	TheShyPig	31
7	2Stout	25
8	NameGenerat0r	23
9	Mattesco	21
10	Ezekson	18
11	benediktine1	14
11	luseis	14
11	Legendosh	14
14	DarlaMeow	13
15	Vizzoid	12
15	Shogunite	12
15	Zoeyfortnite	12
18	Blu3beast	11
19	Lutres_Torane	10
20	FreddyFart	9
20	FreakGenius	9
20	stellarjay	9
23	pintsizedrogue	8
23	TheDankPlatypus	8
23	CollinMH06	8
23	Kim_Jong_eel	8
27	4774	6
27	Tyrannosplart	6
27	RoofTyler	6
27	Toriankel	6
31	Base_Tempest	5
31	Kakolbus	5
31	gabriels543	5
31	Werbe	5
31	audiocracked	5
31	Blaiku	5
31	CrazyPotater	5
38	JohnnyFyes	4
38	Mahoose	4
38	joethahobo	4
38	Cryptacity	4
38	ProfessorBee	4
38	eclipseboi	4
38	xxPipperDipperxx	4
38	Eerini	4
38	Xclax101	4
38	fluddd	4
38	RedcatVII	4
38	SvenskaHugo	4
38	little_dUki	4
51	SlavBylat	3
51	rarrq	3
51	ThePoliteG	3
51	Fullut	3
51	noam464	3
51	Ebsen05	3
51	Skylord_Luke	3
51	fw3xywashere	3
51	_Karmaa	3
51	claivin	3
51	El_Jalapeno	3
51	Nicserso	3
63	Mr_Byzantine	2
63	Jackster03	2
63	Alphanzt99	2
63	Comma__	2
63	boog4loo	2
63	Xalithia	2
63	gcaisawesome	2
63	thebaddruid	2
63	handsome_strong	2
63	THEKINGLyric10	2
63	Hisiste	2
63	Soplight	2
63	Nekomin0	2
63	MissCeleste7	2
63	bladeefan2009	2
78	Groovy_MoonBird	1
78	diminub	1
78	teslawolf38	1
78	Frozil20	1
78	Hyugo	1
78	SaucyDark	1
78	m_be9	1
78	MrExplorer	1
78	kekhon	1
78	noodlepack	1
78	Secret_Canary	1
78	500am	1
78	G1ldor	1
78	UncreativeArtist	1
78	mwrty	1
78	r123moore	1
78	TylerDupree	1
78	John6970	1
78	thewindmillman	1
78	burbankbuilder28	1
78	WarMachina	1
78	Bumpy419	1
78	Voxin2K	1
78	ApophisNova	1
78	BRRRN179	1
78	Hyperphoenix42	1
78	MousePlays	1
78	ADEXTV	1
78	Dabatha	1
78	Inbefour	1
78	iSammael	1
78	widgewee	1
78	lilguppy	1
78	TheEnderMan548	1
78	tsitrawhy	1
78	Whitecker	1
78	ItsJunoIGuess	1
78	erkada	1
78	hauspool	1
78	ManOShway	1
78	MyNamaSheff	1
78	Kateesaur	1
78	Calbo_	1
