rank	username	minecraft:picked_up/minecraft:music_disc_chirp
1	HellsSponge	89
2	Tyrannosplart	82
3	Kubeusz2010	48
4	Mattesco	47
5	Blu3beast	39
6	NomadicRobin_	31
7	Inchef	28
8	lcvezra	26
9	pintsizedrogue	25
10	Mahoose	23
10	TechnoNinja64	23
12	Blackberry1310	21
12	Hyp3rion_	21
14	Skylord_Luke	20
15	ImpavidArcher	18
15	Kynigito	18
15	Soplight	18
18	Prismyst	17
18	oscminus	17
18	claivin	17
18	Luigipunch989	17
22	H72l9w	16
22	CalebDHawk	16
24	_Bguette_	15
24	Kura2218	15
24	YungMaki	15
27	Incinere	14
27	beeperbeeper5	14
27	kekhon	14
27	PlasticOtari	14
31	Fullut	12
31	skrongus	12
33	eitanzaki	11
33	T045RTY	11
33	SteveCraftBlocks	11
33	FreakGenius	11
33	sadvavilloso	11
38	PhantomsGhost_	10
38	12Magner05	10
40	Pofen	9
40	Guillemet	9
40	epiksk8erduck	9
40	Kowcio_	9
44	youhjjhhhjj	8
45	joethahobo	7
45	jessewegottacook	7
45	heckface	7
45	surfinggiraffejp	7
45	The_Cruncy	7
45	fffMike	7
51	Mr_Byzantine	6
51	SmashingPump	6
51	Awyrlas	6
51	xxPipperDipperxx	6
51	Di_infiri	6
51	thewindmillman	6
51	Akoot_	6
51	wezzzi	6
51	El_Jalapeno	6
51	fluddd	6
51	ediballbearings	6
51	SammiWolfGirl	6
63	Apollo_993	5
63	Euclidoris	5
63	bloodbiter	5
63	_Dean_123	5
63	switchNat	5
63	ROY4LE	5
63	Maenara	5
63	Lord_Jord	5
63	Eraxa	5
63	Legendosh	5
63	AdmiralSmoke	5
74	TheSecondLord	4
74	Parcc	4
74	RobotMinion101	4
74	Onennon	4
74	SingedBread	4
74	Spacewardharpy7	4
74	SexcMf	4
74	Njensen7	4
74	Steelynan	4
74	EcksD	4
84	teslawolf38	3
84	hm947	3
84	Hpdinosaur	3
84	Dblikstad	3
84	Notta	3
84	_lildarki3	3
84	excelsionprime	3
84	mwrty	3
84	noam464	3
84	Kakolbus	3
84	Arceus1975	3
84	JitteryJared2	3
84	ApophisNova	3
84	thgrocks	3
84	DTwenty	3
84	luseis	3
84	Deodorante	3
84	DarlaMeow	3
84	MAns_44	3
84	WyngGoy	3
84	Spenduh	3
84	_3Stump_	3
84	MyNamaSheff	3
84	Enderxz3	3
84	jnp_gaming	3
84	FishisTTV	3
110	SaphLaseer	2
110	Merv__	2
110	KarlKaek	2
110	SyntheticSurgeon	2
110	ivorico	2
110	ShedJr_	2
110	MOSS000	2
110	SpaceGrenadier	2
110	lunathelemon	2
110	_Nat666	2
110	corvidpartyfor6	2
110	Secret_Canary	2
110	500am	2
110	thescout7	2
110	2Stout	2
110	TheDankPlatypus	2
110	SuperPooch06	2
110	Chromary	2
110	Rumpletaezer	2
110	Zythose	2
110	BronkerBrum	2
110	Rebytre	2
110	TheShyPig	2
110	sammidk	2
110	Nicky19	2
110	EveryonesUncle	2
110	SkateboardR6	2
110	Jjackoe	2
110	bloomkieren	2
110	xzvu	2
110	Dreamdbr14	2
110	TheBananaKat	2
110	Ezekson	2
110	ConnorDanky_	2
144	Groovy_MoonBird	1
144	MuffinManzz	1
144	heysushii	1
144	CLG_Kata	1
144	TrNrGhost	1
144	Foof13	1
144	6king6colt6	1
144	Ryan_GEMS	1
144	DinoDoctor_	1
144	Natty	1
144	Huwulling	1
144	Myszoaz	1
144	Historical_Sand	1
144	rarrq	1
144	Prodiginus	1
144	Comma__	1
144	jushykins	1
144	DarkDescent2392	1
144	ItsDed	1
144	Kkanot	1
144	Kamflame10	1
144	paranoid_plant	1
144	Pineapplesugr	1
144	gcaisawesome	1
144	Dyosy	1
144	fr_ser	1
144	Jackattack53	1
144	hanaryheatwave	1
144	Snowflowe	1
144	ibarker21	1
144	LAVA129	1
144	_Boipl_	1
144	JETrotter	1
144	drompje	1
144	Bumpy419	1
144	TheWildMateo	1
144	MinerDec	1
144	Hyperphoenix42	1
144	PaperCanvas	1
144	FishyBoy3811	1
144	theofiel	1
144	sxc_	1
144	SaintJosie	1
144	audiocracked	1
144	ese_wn_po	1
144	DemTechAlpha	1
144	JESS_THE_RERE	1
144	shrimp_flips	1
144	StinkyDiplomat	1
144	Bloo2406	1
144	GravitySaint	1
144	Hisiste	1
144	Breb74	1
144	Druid95	1
144	bruh072	1
144	sp00ky_ghost977	1
144	layabout100	1
144	Shin69	1
144	yatsuta	1
144	Retroke	1
144	Kijiki	1
144	Daedalus342	1
144	jcool7	1
144	88Hazza88	1
144	Hermanni__	1
144	alderban107	1
144	_KuruKuru	1
144	cichy096	1
144	scarletwarrior1	1
144	Powowowow	1
144	00000000-0000-0000-0009-01f570995a20	1
