rank	username	minecraft:picked_up/minecraft:brown_dye
1	thewindmillman	329507
2	noam464	38470
3	Smoke____	760
4	Onennon	315
5	Hyp3rion_	231
6	NomadicRobin_	197
7	ConnorDanky_	192
8	jnp_gaming	182
9	kekhon	163
10	beeperbeeper5	135
11	jessemgaming	128
12	YungMaki	104
13	TheSecondLord	65
14	jessewegottacook	64
14	Rebytre	64
14	Wowful	64
14	OffWithTheirHead	64
14	AltnumberF4	64
19	Werbe	63
20	MousePlays	58
21	PhantomsGhost_	48
22	FreakGenius	46
23	___James____	44
24	Iamthejo	36
25	Blackberry1310	34
25	Spacewardharpy7	34
27	Lez_	33
28	Hiryu27	32
28	The_SlideV5	32
30	_Dean_123	30
31	KingMatthew506	22
32	titanlax	18
32	Akoot_	18
34	StinkyDiplomat	16
35	xxPipperDipperxx	14
36	joethahobo	10
37	eitanzaki	9
37	Quotary	9
39	bloodbiter	8
39	EveryonesUncle	8
41	ebanana	7
41	lcvezra	7
43	SaintJosie	6
44	Mahoose	5
44	HellsSponge	5
44	xzvu	5
47	500am	4
47	Lord_Jord	4
49	hm947	2
49	SteveCraftBlocks	2
49	Inchef	2
49	Kynigito	2
49	luseis	2
49	Racengan	2
49	Kowcio_	2
49	EcksD	2
57	6king6colt6	1
57	Ryker	1
57	CoffeeNoir	1
57	CyrusIsTired	1
57	mwrty	1
57	Ecplosive	1
57	Marbz_	1
57	gabriels543	1
57	WET_WET_WET	1
57	AlexStrange	1
57	ougstur	1
57	lillips	1
57	Shogunite	1
57	MAns_44	1
57	lordpipe	1
57	Eraxa	1
57	MilleGrug	1
57	ZeroKraken	1
57	Kubeusz2010	1
57	Ezekson	1
57	Legendosh	1
