rank	username	minecraft:picked_up/minecraft:pink_concrete_powder
1	Hyp3rion_	254160
2	Jackattack53	1727
3	LuvLuvLove	1356
4	Kowcio_	1021
5	jnp_gaming	732
6	mwrty	637
7	thewindmillman	282
8	pintsizedrogue	251
9	Yamdalorian	239
10	Deguns123	225
11	EMC_	192
12	Crowman1	153
13	Steelynan	138
14	noam464	130
14	Manaateee	130
16	beeperbeeper5	113
17	royal_2	100
17	ROY4LE	100
19	RoboTramp7865	91
20	xzvu	86
21	__tomato	83
22	QuiCreans	82
23	Mr_Byzantine	72
24	Parcc	33
25	Legendosh	29
26	Mattesco	27
27	EveryonesUncle	23
28	lordpipe	21
28	LordSpeed37	21
30	HellsSponge	19
31	Enderxz3	16
32	mymayowasgone	14
33	Tobinator_007	12
34	Truckoss	8
34	CattSoup	8
36	ConnorDanky_	6
37	cuddlyMonster	5
37	remmisrat	5
39	IamCL4SSY	3
39	Tyrannosplart	3
39	Cyntrical	3
39	MakeHistory157	3
43	Fullut	2
43	obzii	2
45	hanaryheatwave	1
45	LexMakesHistory	1
45	lunkuku	1
45	Spacewardharpy7	1
45	Cache3	1
45	SvenskaHugo	1
45	Pumpkin_P_Patch	1
45	Jimb0nat0r	1
