rank	username	minecraft:picked_up/minecraft:string
1	Hyp3rion_	133211
2	thewindmillman	57691
3	Eczbek	31841
4	noam464	21517
5	Jackattack53	18841
6	Bumpy419	7852
7	Deathkob	6669
8	mwrty	6610
9	eitanzaki	6206
10	HellsSponge	5605
11	pintsizedrogue	5470
12	joethahobo	4582
13	Werbe	4406
14	Blaiku	4312
15	Awyrlas	4236
16	Spacewardharpy7	4210
17	lillips	4118
18	Smoke____	4059
19	Historical_Sand	3950
20	beeperbeeper5	3931
21	corvidpartyfor6	3804
22	TheSecondLord	3752
23	sp00ky_ghost977	3684
24	Di_infiri	3471
25	Blackberry1310	3045
26	TheShyPig	3042
27	Malorn_Aetherius	2791
28	YungMaki	2771
29	Ezekson	2645
30	El_Jalapeno	2445
31	Fullut	2383
32	EcksD	2332
33	PigDab	2287
34	fffMike	2213
35	lordpipe	2118
36	Steelynan	2055
37	Legendosh	1968
38	Mahoose	1954
39	Enderxz3	1847
40	FreakGenius	1829
41	Shogunite	1792
42	kekhon	1769
43	luseis	1767
44	gcaisawesome	1690
45	Hiryu27	1670
46	rarrq	1655
47	Frozil20	1623
47	mihimihimihi	1623
49	thescout7	1537
50	EveryonesUncle	1535
51	CrateOfBoxes	1524
52	Powowowow	1514
53	PhantomsGhost_	1435
54	Akoot_	1393
55	ImpavidArcher	1352
56	12Magner05	1351
57	Quincannon	1341
57	Kowcio_	1341
59	jnp_gaming	1338
60	Racengan	1324
61	EMC_	1278
62	500am	1267
63	Bazongoman	1219
64	m_be9	1204
65	ApophisNova	1181
65	MyNamaSheff	1181
67	The11thDoctor	1171
68	PlasticOtari	1154
69	Rumpletaezer	1149
70	diggydog67	1139
71	Snowflowe	1112
72	ConnorDanky_	1104
73	Shiirazu	1097
74	Lord_Jord	1094
75	RealGroot	1058
76	Groundler	1039
77	07shiny	1037
78	Huwulling	1007
79	Lez_	995
80	Tyrannosplart	965
81	RebelAndroid	956
82	ROY4LE	909
83	Ryker	902
84	Eraxa	871
85	Flores991	865
86	censorsheep	832
87	CoffeeNoir	831
88	Hisiste	826
89	claivin	789
90	RoofTyler	782
91	DarlaMeow	781
92	fanofbands101	780
93	set67	762
94	TechnoNinja64	751
95	Cowison	736
96	Mattesco	730
97	Skippeh	719
98	TheDankPlatypus	690
99	ThisUserIsStump	668
100	Winklepicker279	660
101	Kakolbus	656
102	MilleGrug	645
103	SuperPooch06	642
104	Mewar	634
105	Maenara	622
106	Masssonnn	600
107	Zythose	593
108	Mythic1130	586
109	Njensen7	585
110	Blu3beast	584
111	ThatMan_Dave	563
112	Barlycorn	554
113	_Virify_	542
113	starbits140	542
115	fade_emerge78823	539
115	NameGenerat0r	539
117	xxPipperDipperxx	535
118	Merv__	529
118	Quotary	529
120	Onennon	526
121	ZA07	524
122	FazeObama69	523
123	Zoeyfortnite	521
124	FishyBoy3811	519
124	Luigipunch989	519
126	T045RTY	513
127	XboxPanda	507
128	Kubelz	506
129	ProfessorBee	505
130	F_Uhre	504
131	ooga47	501
132	Smashic	494
133	Wowful	484
134	_Dean_123	480
135	Chromary	476
135	Lord_Zacler	476
135	Soplight	476
138	M_Patata	472
138	SingedBread	472
140	ExtraDumb	464
141	Bandito_Roamer	462
141	IamCL4SSY	462
143	_TCARREIRA_	458
144	NatalieTW	455
145	SammiWolfGirl	453
146	Apollo_993	451
146	00000000-0000-0000-0009-01ff0c3e5e4f	451
148	SUN_DREAM	448
149	_Bguette_	444
150	gabriels543	443
150	SaintJosie	443
152	TheThomas69	441
152	Kamflame10	441
154	Euclidoris	436
155	Rebytre	433
156	Nicserso	430
157	RadarHz	429
158	Inbefour	428
159	MasterNueve	427
160	Xclax101	418
161	fluddd	413
162	gusstationwerker	406
163	youhjjhhhjj	405
164	TheWildMateo	401
164	Warlord324	401
166	wezzzi	400
167	JayToe	399
168	bloodbiter	396
169	orxngejuice	394
170	KeruNatsema	392
171	tuckerdoodle	390
172	xzvu	381
173	Groovy_MoonBird	378
174	Creativebuilder2	376
175	CharlieButt	373
176	TheSeismicDuck	371
176	Sral7	371
178	lotarp	366
179	bladeefan2009	364
180	diamondgolem35	363
181	SmashingPump	362
181	Alteriity	362
183	livingdaydreams	361
183	Arceus1975	361
185	whoaluv	357
186	masskedman	351
187	thebaddruid	347
188	UrbanPlanningEx	346
189	cedric72	342
190	WyngGoy	341
191	obzii	340
192	MyNameIsJobo	335
192	SvenskaHugo	335
194	ItzYaBoiPicard	331
195	gary_	330
196	MightyWertu	329
197	tsitrawhy	328
197	remmisrat	328
199	LilLizardWizard	327
199	Deodorante	327
201	MS_Pryxx	326
202	non089	322
203	paranoid_plant	321
204	MAns_44	320
205	LordSpeed37	317
205	pixelviolin	317
207	q_wq	314
208	NotMeanttoChange	313
208	MineMaster0012	313
210	MattieHD	310
211	ThiccExotic	307
212	Crowman1	306
212	djancak	306
214	Mr_Byzantine	305
215	SaucyDark	303
216	lcvezra	294
217	NomadicRobin_	289
218	binman420	285
219	KarlKaek	281
220	Tolhart	279
221	Dusk_95	278
222	SpaceGrenadier	274
223	RobotMinion101	272
224	301851	267
224	TheTrueClipse	267
226	legal_tax_evader	262
227	himak1	261
227	burbankbuilder28	261
229	knzil	260
230	Jorrdi	258
231	PortlyPete69	257
232	h2p_emrld	256
233	PazinGaming	253
233	Inchef	253
233	KingMatthew506	253
236	Jovaphobic	251
236	H72l9w	251
238	RatatJuice	250
238	Fuad_R	250
238	monky_irl	250
238	MakeHistory157	250
242	DarkS0L	249
243	eviltunix	247
243	mariominejedi	247
243	zToasty69z	247
246	Vetral1	246
246	smogfrog	246
248	RoskobiOne	245
248	Covalents	245
250	r123moore	243
250	weabis	243
252	MirielThePastor	242
253	QueenShuvi	241
254	emrekn	239
254	andy_rex	239
256	ougstur	237
257	Jimb0nat0r	234
258	StinkyDiplomat	231
259	Skylord_Luke	230
260	Airem_Core	228
261	benediktine1	227
262	jacxhadow	224
263	CollinMH06	221
264	AlexxO_o	220
264	MyNameIsDakar	220
266	Rocco_Lane	218
267	Secret_Canary	216
268	platinumzero	214
268	cytotoxaint	214
270	CliffEmAll	212
270	AlexStrange	212
272	EngagedGrub41	211
273	Leyna3	208
273	_KuruKuru	208
275	zorin123	207
275	_Karmaa	207
277	SkateboardR6	206
278	__tomato	205
279	PeteO1995	204
280	Prismyst	202
281	Meatlaugh	201
282	ITDV	199
282	ReSynced	199
282	SSytex_X	199
282	Iamthejo	199
286	TooManyDuck	198
286	alderban107	198
288	ogoa	197
289	jushykins	196
290	Nycteus_	195
291	xolstoi	194
292	AuroraValkyrie	193
293	RefluxRatio	191
294	Hoid_the_Roamer	190
295	Megarboh	188
296	I_Am_Mushkin	187
297	Nicky_H225	186
297	Corbsman	186
297	Dogcorn69420	186
300	Kim_Jong_eel	184
