rank	username	minecraft:picked_up/minecraft:jungle_wood
1	Jackattack53	2298
2	TheSecondLord	296
3	lordpipe	195
4	Onennon	103
5	Hyp3rion_	71
6	SvenskaHugo	63
7	Kferno	58
8	Mahoose	51
9	Mattesco	33
10	CollinMH06	23
11	EngagedGrub41	19
12	xxPipperDipperxx	14
12	Bumpy419	14
14	Maenara	12
15	Lekol	11
16	ConnorDanky_	10
17	Airem_Core	9
17	KingMatthew506	9
17	Smoke____	9
20	Franco093	8
20	Prodiginus	8
20	Cryptacity	8
20	epiksk8erduck	8
20	Inbefour	8
25	ShedJr_	6
25	thescout7	6
27	HellsSponge	5
28	H72l9w	4
28	BronkerBrum	4
30	Incinere	3
30	Michaelelelelele	3
30	SteveCraftBlocks	3
30	MyNameIsJobo	3
34	SaucyDark	2
34	InfernalMound	2
34	noam464	2
34	RobotMinion101	2
34	SaintJosie	2
34	jnp_gaming	2
40	_Virify_	1
40	Kryszmatic	1
40	Kowcio_	1
40	PlasticOtari	1
