rank	username	minecraft:picked_up/minecraft:netherite_ingot
1	EcksD	7221
2	Hyp3rion_	167
3	Werbe	110
4	thewindmillman	85
5	NomadicRobin_	81
6	Creativebuilder2	56
6	Huwulling	56
8	eitanzaki	50
9	RealGroot	48
10	kekhon	43
11	Lez_	32
11	fw3xywashere	32
13	ConnorDanky_	28
14	beeperbeeper5	25
15	SammiWolfGirl	22
16	monky_irl	21
17	Frozil20	20
17	Kowcio_	20
19	noam464	19
20	Chromary	18
20	Steelynan	18
20	Smoke____	18
23	bigstankyy	17
24	Enderxz3	16
25	gren_ben	14
25	Syropatathe	14
25	xolstoi	14
28	SmashingPump	13
28	Kkanot	13
28	Winklepicker279	13
28	F_Uhre	13
28	Racengan	13
28	alderban107	13
34	Xalithia	12
34	zToasty69z	12
36	Smashic	11
36	fade_emerge78823	11
36	benediktine1	11
36	PigDab	11
36	AlexxO_o	11
36	501g	11
42	6king6colt6	10
42	Afinnity	10
42	RoofTyler	10
42	MilleGrug	10
46	AuroraValkyrie	9
46	joethahobo	9
46	SkateboardR6	9
46	fffMike	9
50	Esme_1	8
50	MattieHD	8
50	set67	8
50	Zythose	8
50	burbankbuilder28	8
50	Mattesco	8
50	ZA07	8
50	HellsSponge	8
58	MixerDixer	7
58	Jindong	7
58	Mahoose	7
58	Blackberry1310	7
58	Crowman1	7
58	mwrty	7
58	spellmre	7
58	Not_Insom	7
58	gusstationwerker	7
58	obzii	7
68	pintsizedrogue	6
68	FazeObama69	6
68	PhantomsGhost_	6
68	Yatitay	6
68	CliffEmAll	6
68	Flapjacker687	6
68	whoaluv	6
68	CheesyToess	6
68	Jonte0599	6
68	KeruNatsema	6
68	Wowful	6
68	CalebDHawk	6
68	Ezekson	6
81	Incinere	5
81	Alteriity	5
81	Myszoaz	5
81	Da_Boss_Rani	5
81	shyshyannne	5
81	lorpus	5
81	gcaisawesome	5
81	mimbo1211	5
81	CollinMH06	5
81	Jackattack53	5
81	HAIRYCLOUD626	5
81	fxiryglitch	5
81	ogoa	5
81	binman420	5
81	masskedman	5
81	Spacewardharpy7	5
81	Airem_Core	5
81	djancak	5
81	GlitchyPlate810	5
81	FelixPSY375	5
101	_Virify_	4
101	CloroxBleach385	4
101	H72l9w	4
101	TheSecondLord	4
101	_Dean_123	4
101	XboxPanda	4
101	Di_infiri	4
101	Arceus1975	4
101	Akoot_	4
101	EveryonesUncle	4
101	luseis	4
101	MyNameIsDakar	4
101	Fuad_R	4
101	NameGenerat0r	4
101	Blu3beast	4
101	mihimihimihi	4
101	iSammael	4
101	WyngGoy	4
101	Eraxa	4
101	YungMaki	4
101	xzvu	4
101	non089	4
101	Winston_Ingram	4
101	DiamondShaff	4
125	teslawolf38	3
125	diamondgolem35	3
125	hm947	3
125	T045RTY	3
125	CoffeeNoir	3
125	jushykins	3
125	NotTrixi	3
125	Gmoney390	3
125	sammidk	3
125	FishyBoy3811	3
125	Dusk_95	3
125	UCP_TheKingK	3
125	Eczbek	3
125	Erased_Identity	3
125	bladeefan2009	3
140	ImpavidArcher	2
140	NinjaKnifeKill	2
140	ShedJr_	2
140	Historical_Sand	2
140	NieToksikpl	2
140	Jakobo1337	2
140	paranoid_plant	2
140	Awyrlas	2
140	pumpfonzo	2
140	Marbz_	2
140	LAVA129	2
140	MangoTheFish	2
140	KartivGal	2
140	Lutres_Torane	2
140	jake314810	2
140	Cavetorch	2
140	Vorlice	2
140	Siguy__	2
140	Soplight	2
140	PortlyPete69	2
140	Sheldor097	2
140	Skippeh	2
140	AltnumberF4	2
140	PlasticOtari	2
140	Freedrik	2
140	00000000-0000-0000-0009-01ff0c3e5e4f	2
166	NatalieTW	1
166	soundad	1
166	PazinGaming	1
166	LeDuctTape	1
166	ccwildfire1	1
166	Moyd_	1
166	ArdaAslan02	1
166	Sloths_Ender	1
166	Lumien_	1
166	500am	1
166	Yirtle	1
166	PegLegPete93	1
166	ROY4LE	1
166	LittleIan365	1
166	olliebollie48	1
166	Windo_licker	1
166	GamingStyle325	1
166	gabriels543	1
166	SuperPooch06	1
166	Jonafrog99	1
166	Snowflowe	1
166	Rebytre	1
166	SvenskaAlvar	1
166	TheShyPig	1
166	DC_XII	1
166	MrQuanQuan	1
166	ReSynced	1
166	Emily_Rosa	1
166	Aoiraa	1
166	FreakGenius	1
166	EfficientC52	1
166	fluddd	1
166	Blaiku	1
166	OffWithTheirHead	1
166	Jahbouris	1
166	lordpipe	1
166	TheTommyGun63	1
166	TheEnderMan548	1
166	lcvezra	1
166	jcool7	1
166	ZoomieZoomie	1
166	TheOuterCore	1
166	CattSoup	1
166	Biites	1
