rank	username	minecraft:picked_up/minecraft:diamond
277	burbankbuilder28	433
277	_Karmaa	433
277	EfficientC52	433
280	Kura2218	428
281	trexgb	426
282	dudcreeper	425
283	SellyZ	424
283	MS_Pryxx	424
285	lorpus	423
285	SwooshBoi	423
285	FelixPSY375	423
288	Warlord324	422
289	shrimp_flips	421
290	RoskobiOne	417
290	Rich_Kat	417
292	RadarHz	415
293	WET_WET_WET	412
294	Mewar	409
295	Kubelz	407
296	SSytex_X	406
297	sammidk	401
298	xDraggin	400
299	Luigipunch989	399
300	_Yonk_	396
