rank	username	minecraft:picked_up/minecraft:deepslate_tile_slab
1	thewindmillman	2189
2	Jackattack53	1920
3	Hyp3rion_	401
4	Solar_Power	333
5	Jimi7hits	307
6	Ryker	243
7	Smoke____	229
8	LeauVox4921	226
9	ImpavidArcher	222
10	500am	200
11	Megarboh	199
12	00000000-0000-0000-0009-01ff0c3e5e4f	186
13	pintsizedrogue	150
14	EMC_	127
15	Ezekson	115
16	SquadMonster	114
17	Marbz_	112
18	SvenskaHugo	105
19	RebelAndroid	95
20	rarrq	91
21	Hermanni__	70
22	Kowcio_	68
23	The_Fulgurator	59
24	12Magner05	49
25	benediktine1	44
26	Winklepicker279	41
27	Mahoose	35
28	PlasticOtari	27
29	Lord_Doob	24
30	kyouma777	22
30	Steelynan	22
32	TAKrules	19
33	91stCataclysm	14
34	hm947	13
35	Huwulling	12
36	breadbowlgamer	11
37	TheSecondLord	9
38	Spacewardharpy7	8
38	AltnumberF4	8
40	beeperbeeper5	7
41	RadarHz	6
42	UCP_TheKingK	5
42	CalebDHawk	5
44	PigDab	4
45	T045RTY	3
45	Blackberry1310	3
45	Inchef	3
45	sp00ky_ghost977	3
49	joethahobo	2
49	Moofyman	2
49	lordpipe	2
49	microcrisp	2
53	MinttyFressh	1
53	mobunni	1
