rank	username	minecraft:picked_up/minecraft:lime_bed
1	HellsSponge	90
2	SvenskaHugo	69
3	T045RTY	67
4	Blu3beast	61
5	eitanzaki	60
6	jcool7	21
7	kekhon	20
8	Vizzoid	19
8	Kim_Jong_eel	19
10	pixelviolin	18
11	noam464	15
11	benediktine1	15
11	Kakolbus	15
11	layabout100	15
15	kaiwill0w	13
15	jnp_gaming	13
17	TheDankPlatypus	12
17	audiocracked	12
19	beeperbeeper5	11
19	QuiCreans	11
21	pintsizedrogue	10
21	Blackberry1310	10
21	Kamflame	10
21	FreakGenius	10
25	500am	9
25	set67	9
25	ProfessorDiaper	9
25	Yamdalorian	9
29	Creativebuilder2	8
29	Hyugo	8
29	TableTim	8
29	The_slideV3	8
29	Blaiku	8
29	LuvLuvLove	8
35	MattieHD	7
35	Werbe	7
35	HeraclesOGU	7
35	MilleGrug	7
35	Enderxz3	7
40	craaaash	6
40	Olib3ar	6
40	parodypatient	6
43	ActualPatbaf	5
43	heckface	5
43	purpolepickle	5
43	Bumpy419	5
43	PaperCanvas	5
43	Kukkelikuk	5
43	The_SlideV5	5
50	gcaisawesome	4
50	yheece	4
50	DanielMmm	4
50	TheEnderMan548	4
50	doublemaki	4
50	little_dUki	4
56	shineh10	3
56	bigstankyy	3
56	_themselves	3
56	Arivana	3
56	SuperPooch06	3
56	BRRRN179	3
56	jewbacaman	3
56	TheShyPig	3
56	m2wa	3
56	El_Jalapeno	3
56	Spacewardharpy7	3
56	MakeHistory157	3
56	PortlyPete69	3
56	hermmm_	3
70	_Huge_Male_	2
70	Deu_Stew	2
70	iElijah_	2
70	Ilinca_Io	2
70	SaucyDark	2
70	Mahoose	2
70	joethahobo	2
70	TheRealGameBoy24	2
70	Smashic	2
70	UncreativeArtist	2
70	Dali1465	2
70	genesis2501	2
70	Maenara	2
70	Vanni9	2
70	Groundler	2
70	Segotep999	2
70	Kekoo	2
70	stellarjay	2
70	Nicserso	2
89	fanofbands101	1
89	imNP	1
89	Alteriity	1
89	m_be9	1
89	o0z	1
89	Xalithia	1
89	TylerDupree	1
89	ARandomHedge	1
89	XboxPanda	1
89	Marbz_	1
89	MyNameIsJobo	1
89	Jackattack53	1
89	Hyp3rion_	1
89	burbankbuilder28	1
89	WarMachina	1
89	Rebytre	1
89	PigDab	1
89	victorLIE	1
89	spellmre	1
89	XeroByMyth	1
89	Akoot_	1
89	fw3xy	1
89	Gryglu583	1
89	_Karmaa	1
89	Stylessz	1
89	ReflexCode	1
89	GravitySaint	1
89	sollyumber	1
89	Barlycorn	1
89	Burge_r	1
89	OPTOMA_KING	1
89	Seindi	1
89	EcksD	1
89	liljohnjawnjon	1
89	Sral7	1
