rank	username	minecraft:picked_up/minecraft:anvil
1	eitanzaki	485
2	PlasticOtari	431
3	rarrq	276
4	noam464	225
5	Groundler	182
6	kekhon	178
7	Mahoose	161
8	HellsSponge	120
8	jnp_gaming	120
10	beeperbeeper5	93
11	Hyp3rion_	85
12	thewindmillman	82
13	ImpavidArcher	72
13	Freak_Genius	72
15	ROY4LE	67
16	Historical_Sand	66
17	Smoke____	64
18	thescout7	62
19	lillips	59
20	pintsizedrogue	58
21	YungMaki	55
22	Frozil12	53
23	Akoot_	52
24	Blackberry1310	50
25	mwrty	49
26	Awyrlas	46
27	500am	45
28	NameGenerat0r	42
29	Racengan	41
30	EcksD	36
31	Blaiku	34
32	PhantomsGhost_	32
32	Chromary	32
34	TheShyPig	30
35	Di_infiri	27
35	jcool7	27
37	MattieHD	26
37	lordpipe	26
39	Onennon	25
39	KingMatthew506	25
41	set67	24
41	MangoTheFish	24
43	Eraxa	23
43	Enderslayerxz3	23
45	Merv__	22
46	joethahobo	21
46	NomadicRobin_	21
48	Cowison	20
49	12Magner05	18
49	stahouo	18
51	Spacewardharpy7	17
51	fffMike	17
51	Legendosh	17
54	XboxPanda	16
54	Inbefour	16
54	laron58	16
54	TechnoNinja64	16
54	Earlesstrain4	16
59	sammidk	15
59	Soplight	15
59	Ezekson	15
59	kinas45y5	15
63	sebastiensaborio	14
64	H72l9w	13
64	Werbe	13
64	SpookyDraggin	13
64	El_Jalapeno	13
64	lcvezra	13
69	Drlzyy	12
69	Fullut	12
69	Snowflowe	12
72	teslawolf38	11
72	Jackattack53	11
72	PigDab	11
72	Lutres_Torane	11
72	claivin	11
72	Blu3beast	11
72	KG1999	11
72	Kubeusz2010	11
72	oxfordschool	11
81	Groovy_MoonBird	10
81	SaucyDark	10
81	Incinere	10
81	gcaisawesome	10
81	loveseeker	10
81	LilyNova	10
81	Nycteus_	10
81	MovingFish7	10
81	MakeHistory157	10
90	Jovaphobic	9
90	EMC_	9
90	himak1	9
90	gabriels543	9
90	Rebytre	9
90	ApophisNova	9
90	Sky_light_KING	9
90	Meatlaugh	9
90	Kowcio_	9
90	Spenduh	9
90	MyNamaSheff	9
101	Tommhh	8
101	hm947	8
101	TheSecondLord	8
101	__TheNorseMan__	8
101	MyNameIsJobo	8
101	fred870d	8
101	FishyBoy3811	8
101	chipklip	8
101	DarlaMeow	8
101	stavgod	8
101	Skippeh	8
112	_Virify_	7
112	Dedalus36	7
112	Wooptey	7
112	m_be9	7
112	_Dean_123	7
112	surfinggiraffejp	7
112	fr_ser	7
112	Arceus1975	7
112	Bumpy419	7
112	_Bguette_	7
112	Steven1282598	7
112	SSytex_X	7
112	Hermanni__	7
112	amkold	7
112	Nicserso	7
127	ZaneABrain	6
127	awesomeoneme	6
127	Swexti	6
127	Frxnkz	6
127	Cryptacity	6
127	Kamflame10	6
127	Inchef	6
127	Marbz_	6
127	Skylord_Luke	6
127	RodSerlingCringe	6
127	Lord_Jord	6
127	DarkS0L	6
127	GlitchMixed	6
127	censorsheep	6
127	fluddd	6
127	MightyWertu	6
127	BumbleBeever	6
127	Warlord324	6
127	WyngGoy	6
127	sp00ky_ghost977	6
127	PortlyPete69	6
127	obzii	6
127	TheOnlyRake	6
127	HesDemonPants	6
127	vandmanden	6
152	maxdacatv2	5
152	Bandito_Roamer	5
152	SpaceGrenadier	5
152	eclipseboi	5
152	Cambo5000	5
152	2Stout	5
152	r123moore	5
152	Rumpletaezer	5
152	CrateOfBoxes	5
152	RobotMinion101	5
152	HyperCave	5
152	TheTrueClipse	5
152	AlphaWolfPlaysMC	5
152	Soap_Bender	5
152	FlashMigma	5
152	Xclax101	5
152	Hisiste	5
152	Factoroni	5
152	33sudo	5
152	TheEnderman548	5
152	UltraZombie	5
173	Hpdinosaur	4
173	Flores991	4
173	_Razar	4
173	RebelAndroid	4
173	WarHammer3	4
173	gaziter10	4
173	picardred	4
173	jacxhadow	4
173	YungJakobo	4
173	MinttyFressh	4
173	Megarboh	4
173	BilboBaggins23	4
173	redikul	4
173	Flapjacker687	4
173	Mewar	4
173	xxPipperDipperxx	4
173	hcb238	4
173	TheDankPlatypus	4
173	Karetoko	4
173	SuperPooch06	4
173	King_Pancake1	4
173	EtherealSilveon	4
173	HAIRYCLOUD626	4
173	Truckoss	4
173	epiksk8erduck	4
173	ChrisKyleST3	4
173	EveryonesUncle	4
173	Deodorante	4
173	Deathkob	4
173	LexMakesHistory	4
173	balin55	4
173	MyNameIsDakar	4
173	The_slideV3	4
173	ItzWqlfy	4
173	silverpopcorn	4
173	NotMeowMix	4
173	Kyrum2169	4
173	starbits140	4
173	SammiWolfGirl	4
173	CalebDHawk	4
173	ZeroKraken	4
173	cichy096	4
173	RadarHz	4
173	2blox	4
173	The_SlideV5	4
173	EcksDofficial	4
219	6king6colt6	3
219	KarlKaek	3
219	error10101	3
219	CoffeeNoir	3
219	Arteriana	3
219	MSK__	3
219	Mercadies	3
219	ratglock	3
219	Comma__	3
219	Z3braYTIL	3
219	TheHarryMeister	3
219	egglapras	3
219	Xalithia	3
219	Septemb3r	3
219	Diavri	3
219	ayqq	3
219	Freeman666	3
219	LAVA129	3
219	impossibleteapot	3
219	RyuNeko932000	3
219	pappaberg	3
219	iTurbo	3
219	Corbsman	3
219	MonitorLizards	3
219	Aangezet	3
219	wezzzi	3
219	masskedman	3
219	fkGrim	3
219	proxivitoid	3
219	GoofyBread	3
219	Quincannon	3
219	Matorz	3
219	OG_Songsee	3
219	Cocoamallows	3
219	layabout100	3
219	CSG_Haru	3
219	__tomato	3
219	Luigipunch989	3
219	GlitchyPlate810	3
219	mawileite	3
219	Physics_Breaker	3
260	MunkaKris	2
260	Lepthymo	2
260	JohnnyFyes	2
260	abramgray	2
260	JEWISHBadenBeele	2
260	Paint	2
260	Ze1ig	2
260	lewieinnit	2
260	Yatitay	2
260	numbra	2
260	I_Am_Mushkin	2
260	xXTheWolfmanXx	2
260	bigstankyy	2
260	Firecracker320	2
260	Zippyzam	2
260	Batman922	2
260	_Frepp_	2
260	ShedJr_	2
260	MOSS000	2
260	Fractured_	2
260	Alphanzt99	2
260	TheFlfthHorseman	2
260	Euclidoris	2
260	Malorn_Aetherius	2
260	SDMNAEK	2
260	bloodbiter	2
260	ProfessorBee	2
260	boog4loo	2
260	Nach0Bear	2
260	PegLegPete93	2
260	Covalents	2
260	NotKaden_	2
260	_Gabae	2
260	Kakolbus	2
260	Winklepicker279	2
260	CollinMH06	2
260	Norrhede	2
260	Zythose	2
260	burbankbuilder28	2
260	domagawha	2
260	Hoid_the_Roamer	2
