rank	username	minecraft:picked_up/minecraft:dried_kelp_block
1	Hyp3rion_	29253
2	non089	12213
3	thewindmillman	10342
4	El_Jalapeno	5636
5	Snowflowe	2663
6	himak1	2106
7	PhantomsGhost_	1985
8	Legendosh	1714
9	EcksD	1708
10	BumbleBeever	1541
11	TechnoNinja64	1452
12	Optiprimus	1328
13	Ezekson	1138
14	MightyWertu	983
15	jcool7	980
16	Lord_Jord	968
17	jnp_gaming	762
18	IAmTheWalrus910	722
19	Comma__	685
20	thescout7	676
21	Groovy_MoonBird	642
22	FreakGenius	581
23	SpacesickPrism	440
24	Spacewardharpy7	433
25	Werbe	400
26	crashomon	378
27	Yamdalorian	375
28	xxPipperDipperxx	358
29	bigstankyy	300
30	DemTechAlpha	283
31	QuiCreans	249
32	KingMatthew506	238
33	Fuhrer_Teemo	225
34	Manaateee	217
35	annebolyn	215
36	Skippeh	207
37	MattieHD	193
38	Steelynan	157
39	Paleshield	150
40	hermmm_	134
41	Lutres_	128
42	ConnorDanky_	108
43	Ssor69	101
44	Powowowow	93
45	MonitorLizards	90
46	07shiny	88
47	Blaiku	81
48	the_fireminer	77
49	Fullut	76
50	ImpavidArcher	74
51	wezzzi	73
52	gcaisawesome	69
53	Bad_At_Names_Guy	64
53	popcanter	64
53	lordpipe	64
56	TheShyPig	58
57	ROY4LE	50
58	YungMaki	44
59	seanitoo	39
60	pintsizedrogue	37
61	Mr_Byzantine	35
62	Incinere	33
62	500am	33
64	philandr	31
65	Mahoose	30
66	eitanzaki	29
67	The_slideV3	28
67	LetsDoItLive	28
69	Blackberry1310	27
69	ooga47	27
69	PlasticOtari	27
72	Segotep999	23
72	Nicserso	23
74	NoChumpChange	21
75	djancak	20
76	EveryonesUncle	15
77	fkGrim	14
78	titanlax	12
78	Nicky19	12
78	KasterNM	12
81	AuroraValkyrie	11
81	Niklas20114552	11
81	T045RTY	11
81	joethahobo	11
81	stellarjay	11
81	calamariclam_I	11
87	picardred	9
88	sandmire	8
89	Marbz_	7
89	SuperPooch06	7
89	Jimi7hits	7
92	k_ce	6
92	CoffeeNoir	6
92	skroobiez	6
92	Touched_Bread	6
92	Akoot_	6
92	spencersolberg	6
92	RadarHz	6
99	ShedJr_	5
99	iTurbo	5
99	Tyrannosplart	5
99	monky_irl	5
99	TheOnlyRake	5
104	ProfessorBee	4
104	Tjhodskins19	4
104	luseis	4
104	robotemo	4
108	Napoleonpancake	3
108	beeperbeeper5	3
108	valiSW	3
108	MinerDec	3
108	Blu3beast	3
108	IdeallyGrey	3
114	Merv__	2
114	teslawolf38	2
114	Frozil20	2
114	LeberkasWeckerl	2
114	Digcove	2
114	rarrq	2
114	heckface	2
114	eclipseboi	2
114	excelsionprime	2
114	_Minnty_	2
114	yheece	2
114	Zythose	2
114	RobotMinion101	2
114	LibertyMutual	2
114	DeltGod01704	2
114	_TCARREIRA_	2
114	Drawgirl	2
114	Iamthejo	2
114	little_dUki	2
133	Dilshooter	1
133	Jovaphobic	1
133	6king6colt6	1
133	Gundam_Steven	1
133	KomputerDude	1
133	boysnort	1
133	lorpus	1
133	TheSansMan	1
133	Cubeses333	1
133	noam464	1
133	Xx_Example_xX	1
133	Maenara	1
133	GooseWithin	1
133	CrumplyBanjo_	1
133	blackeemperor	1
133	the__Reaper4999	1
133	Kura2218	1
133	Kowcio_	1
133	Western_1	1
133	CalebDHawk	1
133	Kferno	1
133	Kubeusz2010	1
133	UrbanPlanningEx	1
