rank	username	minecraft:picked_up/minecraft:gray_bed
1	Historical_Sand	67
2	PlasticOtari	58
3	TheOuterCore	34
4	Tyrannosplart	26
5	Kkanot	25
6	Fuad_R	24
7	Soplight	23
7	smogfrog	23
9	IdeallyGrey	22
10	SmashingPump	20
10	kekhon	20
12	mwrty	19
13	Prismyst	18
14	lorpus	16
14	EveryonesUncle	16
16	starbits140	15
17	alkrie	14
18	diamondgolem35	13
18	noam464	13
20	epiksk8erduck	11
20	_Karmaa	11
20	Shin69	11
23	Lez_	10
24	Rumpletaezer	9
24	BumbleBeever	9
26	picardred	8
27	Mahoose	7
27	Ozixar	7
27	Doom_melon	7
27	Onennon	7
27	El_Jalapeno	7
27	non089	7
33	Chickenchaser2	6
33	Akoot_	6
33	cog	6
33	__tomato	6
33	gusstationwerker	6
33	FGamerJ	6
39	Xalithia	5
40	Merv__	4
40	beeperbeeper5	4
40	eiC_	4
40	Shogunite	4
40	Burge_r	4
40	RealGroot	4
40	Steelynan	4
47	Reamdin	3
47	Meme25327	3
47	Hyp3rion_	3
47	theofiel	3
47	Aangezet	3
47	ReyTheLegend	3
47	Legendosh	3
47	Zoeyfortnite	3
47	Smoke____	3
47	diggydog67	3
57	pintsizedrogue	2
57	Cryptacity	2
57	ConcretePirate	2
57	FennYuzuna	2
57	Werbe	2
57	Kouridragon	2
57	Drewen24	2
57	Lord_Zacler	2
57	fkGrim	2
57	FreakGenius	2
57	Blaiku	2
57	Eraxa	2
57	fffMike	2
57	bieeee	2
71	Lepthymo	1
71	RoskobiOne	1
71	BoopDoop_123	1
71	teslawolf38	1
71	Healthing	1
71	Frozil20	1
71	SaucyDark	1
71	Incinere	1
71	fr0stss	1
71	Cartoonmaniac	1
71	Cambo5000	1
71	groggregg42	1
71	gcaisawesome	1
71	NotKaden_	1
71	Jackattack53	1
71	Chromary	1
71	DAD_1996	1
71	shockdocta	1
71	HAPPYfaceO1	1
71	TheShyPig	1
71	sammidk	1
71	CJPerson	1
71	atz513v2	1
71	binman420	1
71	Nycteus_	1
71	pixelviolin	1
71	Kyrum2169	1
71	Nictoon	1
71	FelixPSY375	1
71	FishisTTV	1
