rank	username	minecraft:picked_up/minecraft:jungle_trapdoor
1	Spacewardharpy7	1309
2	HellsSponge	819
3	Mahoose	312
4	EveryonesUncle	300
5	AdmiralSmoke	289
6	PlasticOtari	207
7	MilleGrug	178
8	MightyWertu	141
9	thescout7	132
10	soundad	116
11	FreakGenius	95
12	Manaateee	92
13	eitanzaki	89
13	Factoroni	89
15	SaucyDark	86
16	FreddyFart	84
17	Kowcio_	76
18	SvenskaAlvar	74
19	TheShyPig	70
20	NotMeanttoChange	69
21	Apollo_993	66
21	ImpavidArcher	66
21	CattSoup	66
24	BronkerBrum	64
25	luseis	61
26	MyNameIsJobo	58
27	beeperbeeper5	53
28	Hyp3rion_	51
29	SvenskaHugo	49
30	Steelynan	47
31	ShedJr_	46
32	noodlepack	39
32	Di_infiri	39
34	lunathelemon	35
35	OffWithTheirHead	33
36	Winklepicker279	32
36	Deathkob	32
38	himak1	31
39	500am	30
40	Swexti	29
40	skrongus	29
42	SpacesickPrism	27
43	hanaryheatwave	26
43	yulgur1	26
43	The_slideV3	26
46	pintsizedrogue	25
46	Mr_Byzantine	25
46	4774	25
49	Crowman1	24
49	Secret_Canary	24
51	CoffeeNoir	23
51	12Magner05	23
51	Eraza	23
54	THEKINGLyric10	19
55	Fullut	18
55	AnnieBathory	18
57	Xalithia	17
57	jnp_gaming	17
59	Lez_	16
59	Soplight	16
61	sxc_	14
62	tuckerdoodle	13
63	CLG_Kata	12
63	Ailmast	12
63	Deerfoot	12
66	DemTechAlpha	11
67	M_Patata	10
67	legal_tax_evader	10
67	Inbefour	10
67	MasterNueve	10
71	fluddd	9
71	JayToe	9
73	_Huge_Male_	8
73	ECstardust	8
73	Cryptacity	8
73	valkam13	8
73	Druid95	8
73	jcool7	8
73	Enderxz3	8
73	Legendosh	8
81	joethahobo	7
81	Prodiginus	7
81	Akoot_	7
81	censorsheep	7
85	Bandito_Roamer	6
85	_Virify_	6
85	rarrq	6
85	SteveCraftBlocks	6
85	Airem_Core	6
85	stellarjay	6
85	ConnorDanky_	6
85	Nicserso	6
93	Ryan_GEMS	5
93	H72l9w	5
93	nocturne78	5
93	Blackberry1310	5
93	kekhon	5
93	_Nuf	5
93	_Dean_123	5
93	xxPipperDipperxx	5
93	PigDab	5
93	KeruNatsema	5
93	KingMatthew506	5
104	Maenara	4
104	07shiny	4
106	H0UNDFRMH3LL	3
106	titanlax	3
106	noam464	3
106	OreTheBear	3
106	JESS_THE_RERE	3
106	MAns_44	3
106	Kukkelikuk	3
106	YungMaki	3
106	Spenduh	3
106	Quotary	3
116	teslawolf38	2
116	Silenttieg	2
116	Cats_Fly	2
116	drunkeeez	2
116	Rocketlaunchers	2
116	Skylord_Luke	2
116	F_Uhre	2
116	ese_wn_po	2
116	fkGrim	2
116	_Bguette_	2
116	Fuad_R	2
116	weabis	2
128	the_fireminer	1
128	QuiCreans	1
128	Ssor69	1
128	FirsTimeGamingTV	1
128	mwrty	1
128	Inchef	1
128	Werbe	1
128	Mattesco	1
128	AlexxO_o	1
128	Kim_Jong_eel	1
128	Shogunite	1
128	Typadopoulos	1
128	iSammael	1
128	AssFullaCum	1
128	__tomato	1
128	SkinnyBois	1
128	ItsJunoIGuess	1
128	AstroLightz_	1
128	The_SlideV5	1
128	Jordan_R	1
128	h2p_emrld	1
