rank	username	minecraft:picked_up/minecraft:dragon_egg
1	claivin	6
2	ProbsNotNova	4
3	MattieHD	3
3	TheShyPig	3
5	ApophisNova	2
5	MyNamaSheff	2
5	TechnoNinja64	2
8	eitanzaki	1
8	kekhon	1
8	Di_infiri	1
8	Akoot_	1
8	GoofyBread	1
8	El_Jalapeno	1
8	Blu3beast	1
8	Racengan	1
8	Spacewardharpy7	1
8	Professor_x8	1
