rank	username	minecraft:picked_up/minecraft:medium_amethyst_bud
1	Mahoose	211
2	lordpipe	67
3	thewindmillman	54
4	Enderslayerxz3	50
5	Frozil12	39
6	pintsizedrogue	35
7	TheSecondLord	32
8	pixelviolin	24
9	Hyp3rion_	23
10	diamondgolem35	21
11	Flores991	15
12	ShedJr_	8
13	sebastiensaborio	7
14	OtariCharlie	6
14	YungMaki	6
16	Myszoaz	5
17	ApophisNova	4
17	MyNamaSheff	4
19	Kakolbus	3
19	Kowcio_	3
21	500am	2
21	starbits140	2
21	Soplight	2
21	TheOuterCore	2
21	WYFYoyo	2
26	MSK__	1
26	Xalithia	1
26	PigDab	1
26	NomadicRobin_	1
26	_Karmaa	1
26	Spenduh	1
26	Skippeh	1
26	smogfrog	1
