rank	username	minecraft:picked_up/minecraft:chiseled_quartz_block
1	Di_infiri	577
2	Hyp3rion_	388
3	lordpipe	374
4	Akoot_	345
5	The_slideV3	232
6	wwwwinnebagoooo	199
7	Blackberry1310	185
8	Freak_Genius	168
9	Xclax101	163
10	Lutres_Torane	146
11	beeperbeeper5	121
12	ApophisNova	111
12	MyNamaSheff	111
14	kekhon	98
15	Incinere	96
16	Blaiku	94
17	MovingFish7	93
18	EcksDofficial	90
19	Lord_Jord	86
20	Werbe	73
21	Mewar	69
21	MilleGrug	69
23	Eraxa	59
23	MeetTheWollo	59
25	Maenara	58
26	himak1	57
27	m_be9	49
27	NameGenerat0r	49
29	MakeHistory157	47
30	Dusk_95	45
31	Merv__	42
32	Soplight	39
33	Inbefour	38
34	HellsSponge	33
35	eitanzaki	31
35	Comma__	31
37	noam464	29
37	TheShyPig	29
39	Mahoose	26
39	Spacewardharpy7	26
39	The_SlideV5	26
42	xxPipperDipperxx	25
43	Jovaphobic	24
44	KarlKaek	23
45	Optiprimus	21
46	Ezekson	20
47	SaucyDark	18
48	ImpavidArcher	17
48	NotMeanttoChange	17
48	Eczbek	17
51	FishyBoy3811	15
52	Rumpletaezer	13
52	NomadicRobin_	13
54	NatrixxddxYT	12
55	Barlycorn	11
55	alderban107	11
55	Legendosh	11
58	EcksD	10
59	TechnoNinja64	9
59	Smoke____	9
61	joethahobo	8
61	titanlax	8
61	Onennon	8
61	KliBeast21	8
61	Frozil12	8
61	Racengan	8
61	stahouo	8
61	Quotary	8
69	RobotMinion101	7
69	Enderslayerxz3	7
69	Sral7	7
72	Historical_Sand	6
72	MyNameIsJobo	6
72	burbankbuilder28	6
72	YungMaki	6
72	mobunni	6
77	T045RTY	5
77	tobinwilliams	5
77	Razzgriz	5
77	Skippeh	5
81	pintsizedrogue	4
81	rarrq	4
81	Fullut	4
81	_Bguette_	4
81	chipklip	4
81	SammiWolfGirl	4
81	jnp_gaming	4
88	Jackster03	3
88	SquadMonster	3
88	Groundler	3
88	Kowcio_	3
88	jcool7	3
88	oxfordschool	3
94	DiscardedCE	2
94	EMC_	2
94	Sabby65	2
94	Arceus1975	2
94	fred870d	2
94	LexMakesHistory	2
94	Winston_Ingram	2
101	Groovy_MoonBird	1
101	Tolhart	1
101	Hpdinosaur	1
101	Ssor69	1
101	TheSecondLord	1
101	Ardennes	1
101	Smashic	1
101	Tjhodskins19	1
101	CharlieButt	1
101	thewindmillman	1
101	MangoTheFish	1
101	Skylord_Luke	1
101	The11thDoctor	1
101	Ender_Souls	1
101	Drewen24	1
101	fw3xywashere	1
101	420BreadLizard	1
101	radioactv_jelly	1
101	TheEnderman548	1
101	Spenduh	1
101	GlitchyPlate810	1
