rank	username	minecraft:picked_up/minecraft:blue_stained_glass
1	Hyp3rion_	525282
2	Jackattack53	66277
3	Alteriity	10278
4	Hiryu27	2849
5	hanaryheatwave	1860
6	Yamdalorian	1855
7	beeperbeeper5	1515
8	Manaateee	1255
9	Ezekson	1115
10	U_Mos_	1023
11	MightyWertu	959
12	noam464	879
13	mymayowasgone	870
14	Blackberry1310	861
15	Lez_	707
16	NinjaKnifeKill	552
17	Studio4x32	510
18	Powowowow	457
19	sp00ky_ghost977	423
20	EMC_	403
21	fffMike	389
22	diamondgolem35	384
23	EcksD	374
24	Tersea_	365
25	pintsizedrogue	361
26	thewindmillman	355
27	LuvLuvLove	345
28	Krowuss	292
29	Zythose	273
30	CliffEmAll	259
31	Z3braYTIL	253
32	joethahobo	249
32	Notta	249
34	Blu3beast	215
35	Skippeh	214
36	ImpavidArcher	206
37	TheSecondLord	191
38	XboxPanda	190
39	Steelynan	176
40	Mattesco	166
41	Kowcio_	160
42	eitanzaki	139
43	Spacewardharpy7	133
44	craaaash	124
45	FreakGenius	120
46	cuddlyMonster	110
46	MilleGrug	110
48	PhantomsGhost_	108
48	rarrq	108
50	2Stout	104
51	lordpipe	103
52	TheShyPig	100
53	luseis	96
54	Mahoose	91
55	ShedJr_	83
56	AuroraValkyrie	82
56	Blaiku	82
58	Merv__	78
59	The_slideV3	72
60	dartwaffle	68
60	ConnorDanky_	68
62	KingMatthew506	67
63	xxPipperDipperxx	66
64	Inchef	65
65	Whiterooster001	60
66	Euclidoris	50
67	fallingemma	49
68	ssleepless	45
68	Nicserso	45
70	Enderxz3	43
71	500am	42
71	Di_infiri	42
71	Syropatathe	42
74	Franco093	41
75	hermmm_	39
76	Huwulling	38
76	Literally_Rat	38
78	Swexti	35
79	burbankbuilder28	34
79	domagawha	34
81	RatatJuice	32
81	eviltunix	32
83	Arceus1975	31
84	catandmoose	30
84	Doom_melon	30
84	TechnoNinja64	30
87	T045RTY	29
87	nocturne78	29
89	PlasticOtari	28
90	CattSoup	27
91	kekhon	25
91	thescout7	25
93	SuperPooch06	23
93	robonya_	23
95	Groundler	20
96	bl1ss0	19
96	Eraxa	19
98	El_Jalapeno	18
99	MattieHD	17
99	miramyu	17
101	VentiHilton	16
102	Pumpkin_P_Patch	15
103	Vellu21	14
104	Maenara	13
105	Archsam	12
105	Saucepeh	12
107	Olib3ar	11
107	XxCookiequeenxX	11
107	Segotep999	11
110	titanlax	10
110	Fullut	10
110	_i_ERROR_i_	10
113	Smashic	9
113	Onennon	9
113	Factoroni	9
113	Earlesstrain4	9
117	6king6colt6	8
117	Inbefour	8
117	NameGenerat0r	8
117	LordSpeed37	8
117	_Mythic____	8
122	Jovaphobic	7
122	Sleek_Storm_721	7
122	m_be9	7
122	Vanni9	7
122	Fuad_R	7
122	The_SlideV5	7
122	diggydog67	7
129	mwrty	6
129	walll	6
129	Jiminbub	6
129	Soplight	6
133	Mr_Byzantine	5
133	peach0s	5
133	heckface	5
133	MAns_44	5
137	CLG_Kata	4
137	_stets	4
137	PazinGaming	4
137	_Nuf	4
137	emrekn	4
137	KingEgg1	4
137	Werbe	4
137	HellsSponge	4
137	ItsDeltaMC	4
137	MakeHistory157	4
137	Spenduh	4
137	xzvu	4
137	SammiWolfGirl	4
137	ZoomieZoomie	4
151	Secret_Canary	3
151	Luminad3	3
151	Tyrannosplart	3
151	little_dUki	3
151	Jimb0nat0r	3
156	_Huge_Male_	2
156	Apollo_993	2
156	RoskobiOne	2
156	royal_2	2
156	12Magner05	2
156	ROY4LE	2
156	gloominq	2
156	Marbz_	2
156	F_Uhre	2
156	hoaimi	2
156	Lutres_	2
156	ReflexCode	2
156	doublemaki	2
156	TheKingK_	2
156	Quotary	2
156	es0th	2
156	trexgb	2
173	Frozil20	1
173	Iagoku	1
173	Rani_R	1
173	Zxhir	1
173	Crowman1	1
173	Crizma_	1
173	philandr	1
173	Xalithia	1
173	GooseWithin	1
173	Wowful	1
173	emreknugrlu	1
173	DarlaMeow	1
173	blackeemperor	1
